"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"汽车/Na/XIN_CMN_20030523_wpr/61889",-0.0718023657760331,0.0746819031972172,"汽车","XIN","2003","6/Neu 名/Nf 儿童/Na 。/PERIODCATEGORY<br>巴武装/Na 人员/Na 随即/D 向/P<br>这/Nep 辆/Nf/4.273 <b>汽车/Na</b><br>开火/VA/3.271 ,/COMMACATEGORY<br>驻守/VCL 定居点/Na/2.080 的/DE<br>以色列/Nc 士兵/Na 向/P 开火/Nv<br>方向/Na","6/Neu 名/Nf 儿童/Na 。/PERIODCATEGORY<br>巴武装/Na 人员/Na 随即/D 向/P<br>这/Nep 辆/Nf/4.273 <b>汽车/Na</b><br>开火/VA/3.271 ,/COMMACATEGORY<br>驻守/VCL 定居点/Na/2.080 的/DE<br>以色列/Nc 士兵/Na 向/P 开火/Nv<br>方向/Na","ML"
"车辆/Na/XIN_CMN_20030717_wpr/87246",-0.0505552413354567,-0.0138218045468177,"车辆","XIN","2003","在/P 车轮/Na/2.471 下/Ng<br>严重/VH 变形/Nv/1.998 。/PERIODCATEGORY<br>上海/Nc 警方/Na/1.386 对/P<br>肇事/Nv/5.145 <b>车辆/Na</b><br>进行/VC/1.065 了/Di 技术/Na<br>鉴定/VE/1.757 ,/COMMACATEGORY<br>发现/Nv/1.490 设备/Na/2.052<br>完好/VH ,/COMMACATEGORY<br>制动/b","在/P 车轮/Na/2.471 下/Ng<br>严重/VH 变形/Nv/1.998 。/PERIODCATEGORY<br>上海/Nc 警方/Na/1.386 对/P<br>肇事/Nv/5.145 <b>车辆/Na</b><br>进行/VC/1.065 了/Di 技术/Na<br>鉴定/VE/1.757 ,/COMMACATEGORY<br>发现/Nv/1.490 设备/Na/2.052<br>完好/VH ,/COMMACATEGORY<br>制动/b","ML"
"汽车/Na/CNA_CMN_20001225_wpr/2234",-0.0336241584960017,0.0512725089289424,"汽车","CNA","2000","居民/Na 人口/Na 一千万/Neu/1.597<br>人/Na 的/DE 第一/Neu 工商/A<br>大城/Na 伊斯坦堡/Nc ,/COMMACATEGORY<br><b>汽车/Na</b> 总数/Na 约/Da<br>两/Neu 百三十万/Neu/4.309<br>辆/Nf/4.273 ,/COMMACATEGORY<br>其中/Nep 百分之七十五/Neqa 使用/Na/1.140<br>有/V_2","居民/Na 人口/Na 一千万/Neu/1.597<br>人/Na 的/DE 第一/Neu 工商/A<br>大城/Na 伊斯坦堡/Nc ,/COMMACATEGORY<br><b>汽车/Na</b> 总数/Na 约/Da<br>两/Neu 百三十万/Neu/4.309<br>辆/Nf/4.273 ,/COMMACATEGORY<br>其中/Nep 百分之七十五/Neqa 使用/Na/1.140<br>有/V_2","TW"
"车辆/Na/CNA_CMN_20001114_wpr/117978",-0.0530221006481462,-0.0215230498525263,"车辆","CNA","2000",",/COMMACATEGORY 九/Neu<br>分钟/Nf 内/Ng 扑灭/VC/1.242<br>火势/Na ,/COMMACATEGORY<br>并/Cbb 持续/VL 朝/P <b>车辆/Na</b><br>喷水/Nv/3.840 降温/Nv/4.399<br>警戒/Nv/2.044 。/PERIODCATEGORY<br>事故/Na/2.001 现场/Nc/1.009<br>佔据/VC 部分/Na/1.038 高速/Na/2.432<br>公路/Na/2.738",",/COMMACATEGORY 九/Neu<br>分钟/Nf 内/Ng 扑灭/VC/1.242<br>火势/Na ,/COMMACATEGORY<br>并/Cbb 持续/VL 朝/P <b>车辆/Na</b><br>喷水/Nv/3.840 降温/Nv/4.399<br>警戒/Nv/2.044 。/PERIODCATEGORY<br>事故/Na/2.001 现场/Nc/1.009<br>佔据/VC 部分/Na/1.038 高速/Na/2.432<br>公路/Na/2.738","TW"
"汽车/Na/XIN_CMN_20030720_wpr/7101",0.140045837791501,-0.3615609376308,"汽车","XIN","2003",",/COMMACATEGORY 从/P 车模/Na<br>上/Ng 我们/Nh 不但/Cbb 可以/D<br>感受到/VK 其/Nep 原型/Na/3.507<br><b>汽车/Na</b> 带给/VD 我们/Nh<br>的/DE 美感/Na/1.364 ,/COMMACATEGORY<br>还/D 别/D 有/V_2 一番/Neu<br>乐趣/Na",",/COMMACATEGORY 从/P 车模/Na<br>上/Ng 我们/Nh 不但/Cbb 可以/D<br>感受到/VK 其/Nep 原型/Na/3.507<br><b>汽车/Na</b> 带给/VD 我们/Nh<br>的/DE 美感/Na/1.364 ,/COMMACATEGORY<br>还/D 别/D 有/V_2 一番/Neu<br>乐趣/Na","ML"
"汽车/Na/XIN_CMN_20001014_wpr/18533",0.0917913817365212,-0.122502261511268,"汽车","XIN","2000","个/Nf 。/PERIODCATEGORY<br>同时/Nd ,/COMMACATEGORY<br>还/VD 捐赠衣/Na 被/P 473万/Neu/5.290<br>件/Nf/1.007 及/Caa <b>汽车/Na</b><br>、/PAUSECATEGORY 彩电/Na/2.408<br>、/PAUSECATEGORY 电脑/Na<br>、/PAUSECATEGORY 音响/Na/3.157<br>、/PAUSECATEGORY 冰箱/Na/1.279<br>、/PAUSECATEGORY 图书/Na","个/Nf 。/PERIODCATEGORY<br>同时/Nd ,/COMMACATEGORY<br>还/VD 捐赠衣/Na 被/P 473万/Neu/5.290<br>件/Nf/1.007 及/Caa <b>汽车/Na</b><br>、/PAUSECATEGORY 彩电/Na/2.408<br>、/PAUSECATEGORY 电脑/Na<br>、/PAUSECATEGORY 音响/Na/3.157<br>、/PAUSECATEGORY 冰箱/Na/1.279<br>、/PAUSECATEGORY 图书/Na","ML"
"汽车/Na/XIN_CMN_20001127_wpr/48055",-0.0831233030490909,0.23208793448668,"汽车","XIN","2000","尤其/D 是/SHI 有/V_2 了/Di<br>ABS/FW/2.381 ,/COMMACATEGORY<br>紧急/Nv 刹车/Na/3.344 后/Ng<br>,/COMMACATEGORY <b>汽车/Na</b><br>不但/Cbb 不/D 跑偏/VA/5.983<br>,/COMMACATEGORY 而且/Cbb<br>依然/D 可以/VH 控制/VC 行车/VA/1.603<br>方向/Na","尤其/D 是/SHI 有/V_2 了/Di<br>ABS/FW/2.381 ,/COMMACATEGORY<br>紧急/Nv 刹车/Na/3.344 后/Ng<br>,/COMMACATEGORY <b>汽车/Na</b><br>不但/Cbb 不/D 跑偏/VA/5.983<br>,/COMMACATEGORY 而且/Cbb<br>依然/D 可以/VH 控制/VC 行车/VA/1.603<br>方向/Na","ML"
"汽车/Na/XIN_CMN_20030415_wpr/42448",0.170385977894009,-0.0112141684678331,"汽车","XIN","2003","的/DE 背景/Na 下/Ng ,/COMMACATEGORY<br>投/VC 资/VL 者/Na 对/P 石化/Na/3.035<br>、/PAUSECATEGORY <b>汽车/Na</b><br>、/PAUSECATEGORY 金融/Na<br>、/PAUSECATEGORY 钢铁/Na/3.182<br>等/Cab 行业/Na/2.408 整体/Na<br>业绩/Na 提升/Nv 的/DE","的/DE 背景/Na 下/Ng ,/COMMACATEGORY<br>投/VC 资/VL 者/Na 对/P 石化/Na/3.035<br>、/PAUSECATEGORY <b>汽车/Na</b><br>、/PAUSECATEGORY 金融/Na<br>、/PAUSECATEGORY 钢铁/Na/3.182<br>等/Cab 行业/Na/2.408 整体/Na<br>业绩/Na 提升/Nv 的/DE","ML"
"汽车/Na/XIN_CMN_20030709_wpr/27447",0.175666994112111,0.0537839870608653,"汽车","XIN","2003","9日/Nd 在/P 参观/VC 中/Ng<br>韩/Nc 合资/VA/3.464 的/DE<br>北京/Nc 现/D 代/Na <b>汽车/Na</b><br>有限公司/Nc/3.120 时/Ng 表示/VE<br>,/COMMACATEGORY 北京/Nc<br>现代/Nd/1.623 所/D 取得/Nv<br>的/DE 成就/Na","9日/Nd 在/P 参观/VC 中/Ng<br>韩/Nc 合资/VA/3.464 的/DE<br>北京/Nc 现/D 代/Na <b>汽车/Na</b><br>有限公司/Nc/3.120 时/Ng 表示/VE<br>,/COMMACATEGORY 北京/Nc<br>现代/Nd/1.623 所/D 取得/Nv<br>的/DE 成就/Na","ML"
"汽车/Na/XIN_CMN_20030406_wpr/8445",0.0341996137184295,0.0438151814652537,"汽车","XIN","2003","需/VK 时间/Na 约/Da 一/Neu<br>周/Nf 。/PERIODCATEGORY<br>本次/Nh 环/Na 塔克拉玛干/Nb/4.491<br>沙漠/Na/2.264 <b>汽车/Na</b><br>集结赛/Na/6.197 由/P 中国/Nc/1.314<br>汽车/Na/3.208 运动/Na/1.275<br>联合会/Na/1.804 主办/VC ,/COMMACATEGORY<br>新/VH 疆/Na","需/VK 时间/Na 约/Da 一/Neu<br>周/Nf 。/PERIODCATEGORY<br>本次/Nh 环/Na 塔克拉玛干/Nb/4.491<br>沙漠/Na/2.264 <b>汽车/Na</b><br>集结赛/Na/6.197 由/P 中国/Nc/1.314<br>汽车/Na/3.208 运动/Na/1.275<br>联合会/Na/1.804 主办/VC ,/COMMACATEGORY<br>新/VH 疆/Na","ML"
