"id","x","y","variant","corpus","year","text","lect"
"变化/Na/XIN_CMN_20030420_wpr/24566",-0.071279394183305,0.0416667385308629,"变化","XIN","2003","可以/VH 通过/VC “/PARENTHESISCATEGORY<br>酶联/Nb ”/PARENTHESISCATEGORY<br>反应/VE 使/VL 试剂/Na 发生/Nv<br>颜色/Na <b>变化/Na</b> ,/COMMACATEGORY<br>明/Nd 确/D 显示/VK 病毒/Na<br>的/DE 感染/Nv 。/PERIODCATEGORY<br>据/P 中科院/Nc","ML"
"改变/Na/ZBN_CMN_20030710_wpr/14959",-0.00198505158633212,-0.020686158389256,"改变","ZBN","2003","政府/Na 并/D 没有/D 向/P 外界/Ncd<br>透露/VE 该/Nes 政策/Na 上/Ncd<br>的/DE <b>改变/Na</b> ，/COMMACATEGORY<br>主要/D 是/SHI 不/D 想/VE 在/P<br>那些/Neqa 比较/VC 保守/VC 的/DE","SG"
"变化/Na/CNA_CMN_20001226_wpr/39740",-0.0685477341288815,0.130009871304799,"变化","CNA","2000","郝雪卿/Nb 台中市/Nc 二十六日电/Na<br>)/PARENTHESISCATEGORY<br>入冬/VH 之后/Ng ,/COMMACATEGORY<br>由/P 于/P 气温/Na <b>变化/Na</b><br>大/VH ,/COMMACATEGORY<br>台中市/Nc 林新/Nb 医院/Nc 胸腔/Na<br>内科/Nc 主任/Na 王德源/Nb 今/Nd","TW"
"改变/Na/XIN_CMN_20030714_wpr/24099",0.0580750093109797,0.0136156292299593,"改变","XIN","2003","的/DE 发布/Nv ,/COMMACATEGORY<br>将/D 使/VL 这/Nep 一/Neu<br>局面/Na 开始/VH 得到/Nv <b>改变/Na</b><br>。/PERIODCATEGORY 拥有/Nv<br>近/VH 百年/Nb 酒店/Nc 顾问/Na<br>经验/Na 的/DE 浩华/Nb 国际/Nc","ML"
"变化/Na/XIN_CMN_20030710_wpr/8711",-0.030804307183004,0.025220578631632,"变化","XIN","2003","文章/Na 出来/VA 后/Ng ,/COMMACATEGORY<br>三/Neu 大/VH 网站/Na 出现/Nv<br>了/T 一些/Neqa <b>变化/Na</b><br>,/COMMACATEGORY 但/Cbb<br>三/Neu 大/VH 网站/Na 的/DE<br>负责人/Na 表示/VE ,/COMMACATEGORY<br>删改/VC","ML"
"变化/Na/XIN_CMN_20001009_wpr/69949",0.00555037178914466,-0.00214447207016251,"变化","XIN","2000","舒适/VH ”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 当地/Nc<br>同志/Na 说/VE ,/COMMACATEGORY<br>牧民/Na 居住/VA 的/DE <b>变化/Na</b><br>是/SHI 牧民/Na 生活观/Na 念/VC<br>和/Caa 生活/Na 方式/Na 变化/Na<br>的/DE 晴雨表/Na","ML"
"变化/Na/XIN_CMN_20001102_wpr/7268",0.024065611165896,0.0444559278048274,"变化","XIN","2000","、/PAUSECATEGORY 渔业/Na<br>和/Caa 地区/Nc 发展/Na 政策/Na<br>,/COMMACATEGORY 以便/Cbb<br>把/P 气候/Na <b>变化/Na</b><br>因素/Na 充分/VH 考虑/Nv 进去/VC<br>。/PERIODCATEGORY 报告/Na<br>还/D 呼吁/VE 人/Na 们/Na","ML"
"变化/Na/XIN_CMN_20010108_wpr/19057",0.00103591824257864,0.00120608219775682,"变化","XIN","2001","了/Di 满意/Nv 程度/Na 测评/Na<br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br>完/VH )/PARENTHESISCATEGORY<br>生理/Na 心理/Na <b>变化/Na</b><br>大成/Nb 为/P 中小学/Nc 德育/Na<br>教育/VC 面临/Nv 的/DE 新/VH<br>课题/Na 新华社/Nc","ML"
"变化/Na/XIN_CMN_20030601_wpr/23625",0.0110427238545982,0.102392684591076,"变化","XIN","2003","峡/Na 蓄水/VA 前/Ng 资料/Na<br>收集/VC 、/PAUSECATEGORY<br>蓄水/Nv 过程/Na 中/Ng 水质/Na<br><b>变化/Na</b> 及/Caa 蓄水/VA<br>后/Ng 水质/Na 状况/Na 的/DE<br>全程/D 监测/Nv ,/COMMACATEGORY<br>并/Cbb","ML"
"变化/Na/XIN_CMN_20010101_wpr/25330",0.00155078789354646,0.0158868604876505,"变化","XIN","2001","格局/Na 基本形/Na 成/VG ,/COMMACATEGORY<br>对外/Na 经济/Na 关系/Na 发生/VJ<br>了/Di 重大/VH <b>变化/Na</b><br>。/PERIODCATEGORY 现/Nd<br>在/P 我们/Nh 已经/D 胜利/VH<br>实现/VC 了/Di 现代化/Nv 建设/Na","ML"
