"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"境况/Na/CNA_CMN_20001216_wpr/105022",-0.287518670719086,0.0864771112445316,"境况","CNA","2000","的/DE 中国/Na ,/COMMACATEGORY<br>正/D 处于/VJ 数十/Neu 年/Nf<br>来/D 积弱不振/VH/9.234 的/DE<br><b>境况/Na</b> ,/COMMACATEGORY<br>而今/D/5.787 在/P 江泽民/Nb/3.158<br>领导/Na 下/Ng/2.473 的/DE<br>北京/Nc 决策者/Na ,/COMMACATEGORY","的/DE 中国/Na ,/COMMACATEGORY<br>正/D 处于/VJ 数十/Neu 年/Nf<br>来/D 积弱不振/VH/9.234 的/DE<br><b>境况/Na</b> ,/COMMACATEGORY<br>而今/D/5.787 在/P 江泽民/Nb/3.158<br>领导/Na 下/Ng/2.473 的/DE<br>北京/Nc 决策者/Na ,/COMMACATEGORY","TW"
"境况/Na/CNA_CMN_20001228_wpr/27687",-0.252917410800256,-0.29349776495619,"境况","CNA","2000","接受/VC 。/PERIODCATEGORY<br>891228/Neu 中油/Nc 上游/Nc<br>原料/Na 计价/Nv/8.055 方式/Na/1.977<br>易辙/Nb/11.719 石化业/Na/7.544<br><b>境况/Na</b> 将/D 改变/VC/3.343<br>(/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 张均懋/Nb 台北/Nc<br>二十八日电/Na )/PARENTHESISCATEGORY<br>中油/Nc","接受/VC 。/PERIODCATEGORY<br>891228/Neu 中油/Nc 上游/Nc<br>原料/Na 计价/Nv/8.055 方式/Na/1.977<br>易辙/Nb/11.719 石化业/Na/7.544<br><b>境况/Na</b> 将/D 改变/VC/3.343<br>(/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 张均懋/Nb 台北/Nc<br>二十八日电/Na )/PARENTHESISCATEGORY<br>中油/Nc","TW"
"境况/Na/CNA_CMN_20010105_wpr/55328",-0.0243322055306241,-0.00312156707947911,"境况","CNA","2001","等/VC 着/Di 看病/VA ,/COMMACATEGORY<br>有如/VG 市集/Na 一样/VH/2.844<br>。/PERIODCATEGORY 这样/VH/2.349<br>的/DE <b>境况/Na</b> 凸显/VJ/5.157<br>非洲/Nc/2.889 的/DE 医疗/VC/3.186<br>资源/Na 不足/VH ,/COMMACATEGORY<br>路竹/Nc 会/D 今年/Nd","等/VC 着/Di 看病/VA ,/COMMACATEGORY<br>有如/VG 市集/Na 一样/VH/2.844<br>。/PERIODCATEGORY 这样/VH/2.349<br>的/DE <b>境况/Na</b> 凸显/VJ/5.157<br>非洲/Nc/2.889 的/DE 医疗/VC/3.186<br>资源/Na 不足/VH ,/COMMACATEGORY<br>路竹/Nc 会/D 今年/Nd","TW"
"境况/Na/CNA_CMN_20010111_wpr/114996",-0.0603380497179862,-0.042002776021125,"境况","CNA","2001","于/P 九二一/Neu 震灾/Na 中/Ng/1.161<br>受到/VJ 重伤/VH 的/DE 灾/Na/3.866<br>民生/Na/4.787 活/VH/3.210<br><b>境况/Na</b> ,/COMMACATEGORY<br>定/VC/2.628 十五/Neu/2.952<br>日/Nf 起/Ng 至/P 农历/Na 除夕/Nd<br>前/Ng/1.275 ,/COMMACATEGORY","于/P 九二一/Neu 震灾/Na 中/Ng/1.161<br>受到/VJ 重伤/VH 的/DE 灾/Na/3.866<br>民生/Na/4.787 活/VH/3.210<br><b>境况/Na</b> ,/COMMACATEGORY<br>定/VC/2.628 十五/Neu/2.952<br>日/Nf 起/Ng 至/P 农历/Na 除夕/Nd<br>前/Ng/1.275 ,/COMMACATEGORY","TW"
"境况/Na/CNA_CMN_20010111_wpr/143051",-0.0948609998162299,0.0441283634597754,"境况","CNA","2001","给/VD 何厚铧/Nb/5.681 带来/VC<br>压力/Na ,/COMMACATEGORY<br>因此/Cbb/1.319 ,/COMMACATEGORY<br>面对/VC/3.154 此/Nep 一/Neu<br><b>境况/Na</b> ,/COMMACATEGORY<br>如果/Cbb/1.318 何厚铧/Nb/5.681<br>私下/D/5.032 要求/Na 「/PARENTHESISCATEGORY<br>中/Ng/1.161 央/VF 政府/Na<br>」/PARENTHESISCATEGORY","给/VD 何厚铧/Nb/5.681 带来/VC<br>压力/Na ,/COMMACATEGORY<br>因此/Cbb/1.319 ,/COMMACATEGORY<br>面对/VC/3.154 此/Nep 一/Neu<br><b>境况/Na</b> ,/COMMACATEGORY<br>如果/Cbb/1.318 何厚铧/Nb/5.681<br>私下/D/5.032 要求/Na 「/PARENTHESISCATEGORY<br>中/Ng/1.161 央/VF 政府/Na<br>」/PARENTHESISCATEGORY","TW"
"境况/Na/CNA_CMN_20010116_wpr/43196",-0.263353901360638,-0.18528350782345,"境况","CNA","2001","使用/Na 与/Caa 整合/Nv 运用/Nv<br>,/COMMACATEGORY 进行/VC<br>灾害/Na/3.885 潜势/Na/10.620<br>分析/Na/2.885 与/Caa <b>境况/Na</b><br>模拟/Nv/6.234 、/PAUSECATEGORY<br>建设/Nv/6.515 洪水/Na/4.162<br>预备/VC 系统/Na 软/VH 、/PAUSECATEGORY<br>硬体/Na ,/COMMACATEGORY","使用/Na 与/Caa 整合/Nv 运用/Nv<br>,/COMMACATEGORY 进行/VC<br>灾害/Na/3.885 潜势/Na/10.620<br>分析/Na/2.885 与/Caa <b>境况/Na</b><br>模拟/Nv/6.234 、/PAUSECATEGORY<br>建设/Nv/6.515 洪水/Na/4.162<br>预备/VC 系统/Na 软/VH 、/PAUSECATEGORY<br>硬体/Na ,/COMMACATEGORY","TW"
"境况/Na/CNA_CMN_20030610_wpr/8762",-0.100466710907442,-0.113874003589843,"境况","CNA","2003","，/COMMACATEGORY 相信/VK<br>很/Dfa 难/VH 改/VC T/FW<br>业/Na/2.661 近年/D/3.909<br>沉寂/VH/6.461 的/DE <b>境况/Na</b><br>。/PERIODCATEGORY 他/Nh<br>说/VE ，/COMMACATEGORY<br>虽然/Cbb 世界/Nc 卫/Nc 生/VC/3.056<br>组织/Na 近日/Nd","，/COMMACATEGORY 相信/VK<br>很/Dfa 难/VH 改/VC T/FW<br>业/Na/2.661 近年/D/3.909<br>沉寂/VH/6.461 的/DE <b>境况/Na</b><br>。/PERIODCATEGORY 他/Nh<br>说/VE ，/COMMACATEGORY<br>虽然/Cbb 世界/Nc 卫/Nc 生/VC/3.056<br>组织/Na 近日/Nd","TW"
"境况/Na/XIN_CMN_20001023_wpr/15725",-0.00771839223727504,-0.0116762987294535,"境况","XIN","2000","活/VH/3.210 在/P 各/Nes<br>种/Nf/2.164 危害/Na 健康/VH<br>和/Caa 生/VC/3.056 命/VF/4.925<br>的/DE <b>境况/Na</b> 中/Ng/1.161<br>。/PERIODCATEGORY 为了/P/1.778<br>使/VL 国际/Nc 社会/Na 和/Caa<br>各/Nes 国/Nc 政府/Na","活/VH/3.210 在/P 各/Nes<br>种/Nf/2.164 危害/Na 健康/VH<br>和/Caa 生/VC/3.056 命/VF/4.925<br>的/DE <b>境况/Na</b> 中/Ng/1.161<br>。/PERIODCATEGORY 为了/P/1.778<br>使/VL 国际/Nc 社会/Na 和/Caa<br>各/Nes 国/Nc 政府/Na","ML"
"境况/Na/XIN_CMN_20001108_wpr/65609",-0.0198816196096951,0.022006218743508,"境况","XIN","2000","赤脚/Na ,/COMMACATEGORY<br>吃/VC 煨薯/Na ,/COMMACATEGORY<br>啃/VC 苞粟/Na/11.719 ”/PARENTHESISCATEGORY/1.172<br>的/DE 贫困/Nv/5.195 <b>境况/Na</b><br>,/COMMACATEGORY 没/VJ/2.803<br>人/Na 愿意/VK/3.245 担任村/Nc<br>干部/Na 。/PERIODCATEGORY<br>15/Neu 年前/Nd/2.682 ,/COMMACATEGORY","赤脚/Na ,/COMMACATEGORY<br>吃/VC 煨薯/Na ,/COMMACATEGORY<br>啃/VC 苞粟/Na/11.719 ”/PARENTHESISCATEGORY/1.172<br>的/DE 贫困/Nv/5.195 <b>境况/Na</b><br>,/COMMACATEGORY 没/VJ/2.803<br>人/Na 愿意/VK/3.245 担任村/Nc<br>干部/Na 。/PERIODCATEGORY<br>15/Neu 年前/Nd/2.682 ,/COMMACATEGORY","ML"
"境况/Na/XIN_CMN_20001112_wpr/9806",-0.093971945193894,0.162811996014355,"境况","XIN","2000","等/Cab 一/Neu 批/Nf 大牌/Na<br>球星/Na ,/COMMACATEGORY<br>而/Cbb 球队/Na/2.908 当时/Nd/2.302<br>的/DE <b>境况/Na</b> 是/SHI<br>保组/Na/9.080 。/PERIODCATEGORY<br>李/Nb/3.158 章洙/Nb 上任/VC<br>后/Ng 首先/D 抓/VC 球队/Na/2.908","等/Cab 一/Neu 批/Nf 大牌/Na<br>球星/Na ,/COMMACATEGORY<br>而/Cbb 球队/Na/2.908 当时/Nd/2.302<br>的/DE <b>境况/Na</b> 是/SHI<br>保组/Na/9.080 。/PERIODCATEGORY<br>李/Nb/3.158 章洙/Nb 上任/VC<br>后/Ng 首先/D 抓/VC 球队/Na/2.908","ML"
