"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"书记/Na/XIN_CMN_20010121_wpr/13670",-0.0710906270629592,-0.0282618355956928,"书记","XIN","2001","武/Na/1.161 等/Cab 。/PERIODCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 候补/VH/4.683<br>委员/Na/4.662 、/PAUSECATEGORY/1.741<br>书记处/Nc/7.548 <b>书记/Na</b><br>曾/D/1.498 庆红/Nb/5.191<br>,/COMMACATEGORY 全国/Nc/1.371<br>政协/Nc/1.993 副主席/Na/3.477<br>、/PAUSECATEGORY/1.741<br>中央/Nc/3.445 统战部/Nc/2.325<br>部长/Na/2.943","武/Na/1.161 等/Cab 。/PERIODCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 候补/VH/4.683<br>委员/Na/4.662 、/PAUSECATEGORY/1.741<br>书记处/Nc/7.548 <b>书记/Na</b><br>曾/D/1.498 庆红/Nb/5.191<br>,/COMMACATEGORY 全国/Nc/1.371<br>政协/Nc/1.993 副主席/Na/3.477<br>、/PAUSECATEGORY/1.741<br>中央/Nc/3.445 统战部/Nc/2.325<br>部长/Na/2.943","ML"
"职员/Na/ZBN_CMN_20030817_wpr/2714",0.0566952903714792,-0.0888905816345537,"职员","ZBN","2003","烦/VHC 胡/Nb/1.661 先生/Na<br>拨/VC 电/Na ：/COLONCATEGORY<br>68238206/Neu/7.951 与/Caa<br>我们/Nh 的/DE <b>职员/Na</b><br>叶/Na/1.691 小姐/Na/1.155<br>联络/VC/1.891 ，/COMMACATEGORY<br>提供/VD 他/Nh 的/DE 户口/Na<br>号码/Na/1.227 与/P","烦/VHC 胡/Nb/1.661 先生/Na<br>拨/VC 电/Na ：/COLONCATEGORY<br>68238206/Neu/7.951 与/Caa<br>我们/Nh 的/DE <b>职员/Na</b><br>叶/Na/1.691 小姐/Na/1.155<br>联络/VC/1.891 ，/COMMACATEGORY<br>提供/VD 他/Nh 的/DE 户口/Na<br>号码/Na/1.227 与/P","SG"
"书记/Na/XIN_CMN_20001010_wpr/73431",-0.15475539212167,0.0278484096597143,"书记","XIN","2000",",/COMMACATEGORY 一年/Nd<br>下来/VC ,/COMMACATEGORY<br>收入/VC 5000多/Neu 元/Nf<br>。/PERIODCATEGORY 三合镇/Nc/6.484<br>党委/Na/6.293 <b>书记/Na</b><br>何华/Nb/6.196 说/VE/1.041<br>:/COLONCATEGORY/1.036<br>“/PARENTHESISCATEGORY<br>杨明贵/Nb 获得/VJ 成功/VH ,/COMMACATEGORY<br>乡亲/Na/1.343 们/Na",",/COMMACATEGORY 一年/Nd<br>下来/VC ,/COMMACATEGORY<br>收入/VC 5000多/Neu 元/Nf<br>。/PERIODCATEGORY 三合镇/Nc/6.484<br>党委/Na/6.293 <b>书记/Na</b><br>何华/Nb/6.196 说/VE/1.041<br>:/COLONCATEGORY/1.036<br>“/PARENTHESISCATEGORY<br>杨明贵/Nb 获得/VJ 成功/VH ,/COMMACATEGORY<br>乡亲/Na/1.343 们/Na","ML"
"职员/Na/ZBN_CMN_20030503_wpr/59591",0.270590517623911,0.289133399140136,"职员","ZBN","2003","减到/VJ 最/Dfa 低/VH “/PARENTHESISCATEGORY<br>重新/D 部署/VC 的/DE 好处/Na<br>是/SHI 增加/Nv <b>职员/Na</b><br>的/DE 培训/Nv 机会/Na 。/PERIODCATEGORY<br>我们/Nh 采取/VC 了/Di 更/Dfa<br>灵活/VH/1.356 的/DE","减到/VJ 最/Dfa 低/VH “/PARENTHESISCATEGORY<br>重新/D 部署/VC 的/DE 好处/Na<br>是/SHI 增加/Nv <b>职员/Na</b><br>的/DE 培训/Nv 机会/Na 。/PERIODCATEGORY<br>我们/Nh 采取/VC 了/Di 更/Dfa<br>灵活/VH/1.356 的/DE","SG"
"书记/Na/XIN_CMN_20030604_wpr/44760",-0.120114332794096,-0.0155983870907159,"书记","XIN","2003","记者/Na 李自良/Nb )/PARENTHESISCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 常委/Na/5.659<br>、/PAUSECATEGORY/1.741<br>中央/Nc/3.445 纪委/Nb/5.774<br><b>书记/Na</b> 吴官正/Nb/5.747<br>强调/VE ,/COMMACATEGORY<br>进/VCL 一/Neu 步/Nf 建立/Nv<br>健全/Nv 党风/Na/1.811 廉政/Nb","记者/Na 李自良/Nb )/PARENTHESISCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 常委/Na/5.659<br>、/PAUSECATEGORY/1.741<br>中央/Nc/3.445 纪委/Nb/5.774<br><b>书记/Na</b> 吴官正/Nb/5.747<br>强调/VE ,/COMMACATEGORY<br>进/VCL 一/Neu 步/Nf 建立/Nv<br>健全/Nv 党风/Na/1.811 廉政/Nb","ML"
"书记/Na/XIN_CMN_20001023_wpr/607",-0.0724925574208975,-0.0149216380524401,"书记","XIN","2000","记者/Na 周解蓉/Na )/PARENTHESISCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 委员/Na/4.662<br>、/PAUSECATEGORY/1.741<br>上海市/Nc/4.268 委/VF/5.340<br><b>书记/Na</b> 黄菊/Nb/5.509<br>和/Caa 夫人/Na 余慧文/Nb/7.583<br>今天/Nd 在/P 这里/Ncd 会见/VC/2.122<br>了/Di 正在/D","记者/Na 周解蓉/Na )/PARENTHESISCATEGORY<br>中共/Nb/3.513 中央/Nc/3.445<br>政治局/Nc/4.913 委员/Na/4.662<br>、/PAUSECATEGORY/1.741<br>上海市/Nc/4.268 委/VF/5.340<br><b>书记/Na</b> 黄菊/Nb/5.509<br>和/Caa 夫人/Na 余慧文/Nb/7.583<br>今天/Nd 在/P 这里/Ncd 会见/VC/2.122<br>了/Di 正在/D","ML"
"书记/Na/XIN_CMN_20001117_wpr/11228",-0.0672142436689331,0.013571033298226,"书记","XIN","2000","部/Nf/1.194 的/DE 案件/Na<br>52/Neu 起/Nf 54/Neu 人/Na<br>。/PERIODCATEGORY 江西省/Nc/3.876<br>委/VF/5.340 <b>书记/Na</b><br>舒惠国/Nb/6.889 要求/Na 全省/Na<br>各/Nes 级/Na 纪检/Nb/3.245<br>监察/VC/1.969 机关/Na/2.306<br>、/PAUSECATEGORY/1.741<br>政/Na","部/Nf/1.194 的/DE 案件/Na<br>52/Neu 起/Nf 54/Neu 人/Na<br>。/PERIODCATEGORY 江西省/Nc/3.876<br>委/VF/5.340 <b>书记/Na</b><br>舒惠国/Nb/6.889 要求/Na 全省/Na<br>各/Nes 级/Na 纪检/Nb/3.245<br>监察/VC/1.969 机关/Na/2.306<br>、/PAUSECATEGORY/1.741<br>政/Na","ML"
"书记/Na/XIN_CMN_20001228_wpr/16961",-0.131292632854311,0.00275013530894899,"书记","XIN","2000","武威/Nc 县法/Na/7.583 放/VC<br>公社/Nc/4.858 党委/Na/6.293<br>书记/Na/4.622 ,/COMMACATEGORY<br>榆/Na/4.538 中/Ng 县委/Na/6.680<br><b>书记/Na</b> ,/COMMACATEGORY<br>兰州/Nc/1.664 市委/Na/6.913<br>副/A/5.364 书记/Na/4.622<br>,/COMMACATEGORY 陇/Nc/4.515<br>南地委/Na/8.276 书记/Na/4.622<br>;/SEMICOLONCATEGORY","武威/Nc 县法/Na/7.583 放/VC<br>公社/Nc/4.858 党委/Na/6.293<br>书记/Na/4.622 ,/COMMACATEGORY<br>榆/Na/4.538 中/Ng 县委/Na/6.680<br><b>书记/Na</b> ,/COMMACATEGORY<br>兰州/Nc/1.664 市委/Na/6.913<br>副/A/5.364 书记/Na/4.622<br>,/COMMACATEGORY 陇/Nc/4.515<br>南地委/Na/8.276 书记/Na/4.622<br>;/SEMICOLONCATEGORY","ML"
"书记/Na/XIN_CMN_20030430_wpr/26431",-0.168186425971531,-0.0292295504352362,"书记","XIN","2003","有关/P 部门/Na 更/Dfa 好/VH<br>地/DE 贯彻/Nv 执行/Nv 。/PERIODCATEGORY<br>北京/Nc/2.300 市委/Na/6.913<br><b>书记/Na</b> 刘淇/Nb/5.859<br>在/P 京郊/Nc/3.845 农村/Nc<br>和/Caa 建筑工/Na 地/DE 检查/Nv<br>防治/Nv “/PARENTHESISCATEGORY","有关/P 部门/Na 更/Dfa 好/VH<br>地/DE 贯彻/Nv 执行/Nv 。/PERIODCATEGORY<br>北京/Nc/2.300 市委/Na/6.913<br><b>书记/Na</b> 刘淇/Nb/5.859<br>在/P 京郊/Nc/3.845 农村/Nc<br>和/Caa 建筑工/Na 地/DE 检查/Nv<br>防治/Nv “/PARENTHESISCATEGORY","ML"
"书记/Na/XIN_CMN_20001226_wpr/1982",-0.0776130798763288,-0.00605314266825012,"书记","XIN","2000","赶赴/VCL/1.498 现场/Nc 组织/Na<br>灭火/Nv 和/Caa 抢救/VC 人员/Na<br>。/PERIODCATEGORY 河南省/Nc/3.719<br>委/VF/5.340 <b>书记/Na</b><br>陈奎/Nb/7.072 元/Nd/2.332<br>、/PAUSECATEGORY/1.741<br>省长/Na/5.319 李/Nb/2.711<br>克强/VH/4.538 、/PAUSECATEGORY/1.741<br>省委/Na/6.756 副/A/5.364<br>书记/Na/4.622","赶赴/VCL/1.498 现场/Nc 组织/Na<br>灭火/Nv 和/Caa 抢救/VC 人员/Na<br>。/PERIODCATEGORY 河南省/Nc/3.719<br>委/VF/5.340 <b>书记/Na</b><br>陈奎/Nb/7.072 元/Nd/2.332<br>、/PAUSECATEGORY/1.741<br>省长/Na/5.319 李/Nb/2.711<br>克强/VH/4.538 、/PAUSECATEGORY/1.741<br>省委/Na/6.756 副/A/5.364<br>书记/Na/4.622","ML"
