"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"情况/Na/CNA_CMN_20030603_wpr/2423",-0.0176060231377614,0.0148396615987479,"情况","CNA","2003","」/PARENTHESISCATEGORY<br>，/COMMACATEGORY 他/Nh<br>提醒/VE 国会/Nc 要/D 注意到/VK<br>这/Nep 两/Neu 种/Nf/1.796<br><b>情况/Na</b> 的/DE 不同/Na/1.500<br>。/PERIODCATEGORY 亲民党/Na<br>主席/Na 宋楚瑜/Nb 下午/Nd 接受/VC<br>电视/Na 访问/VC","」/PARENTHESISCATEGORY<br>，/COMMACATEGORY 他/Nh<br>提醒/VE 国会/Nc 要/D 注意到/VK<br>这/Nep 两/Neu 种/Nf/1.796<br><b>情况/Na</b> 的/DE 不同/Na/1.500<br>。/PERIODCATEGORY 亲民党/Na<br>主席/Na 宋楚瑜/Nb 下午/Nd 接受/VC<br>电视/Na 访问/VC","TW"
"状态/Na/XIN_CMN_20030520_wpr/21554",-0.0790815141457344,-0.0255478297076111,"状态","XIN","2003",",/COMMACATEGORY 以色列/Nc<br>全国/Nc 20/Neu 日/Nf 已经/D<br>进入/VCL/2.971 最/Dfa 高/VH<br>戒备/Nv/6.656 <b>状态/Na</b><br>。/PERIODCATEGORY 据以/D/2.420<br>电台/Nc 报道/Na ,/COMMACATEGORY<br>为/VG 弥补/VC 人力/Na 的/DE<br>不足/VH",",/COMMACATEGORY 以色列/Nc<br>全国/Nc 20/Neu 日/Nf 已经/D<br>进入/VCL/2.971 最/Dfa 高/VH<br>戒备/Nv/6.656 <b>状态/Na</b><br>。/PERIODCATEGORY 据以/D/2.420<br>电台/Nc 报道/Na ,/COMMACATEGORY<br>为/VG 弥补/VC 人力/Na 的/DE<br>不足/VH","ML"
"局势/Na/ZBN_CMN_20001011_wpr/24246",0.0262995297770509,-0.000291674651826783,"局势","ZBN","2000","的/DE 尊严/Na ，/COMMACATEGORY<br>而且/Cbb 还/D 会/D 影响到/VJ/2.106<br>南斯拉夫/Nc/3.385 的/DE 国内/Nc/2.060<br><b>局势/Na</b> 能否/D 保持/Nv/1.007<br>稳定/Nv/3.775 。/PERIODCATEGORY<br>如果/Cbb 西方/VH 的/DE 让步/Nv<br>能够/D 换来/VC","的/DE 尊严/Na ，/COMMACATEGORY<br>而且/Cbb 还/D 会/D 影响到/VJ/2.106<br>南斯拉夫/Nc/3.385 的/DE 国内/Nc/2.060<br><b>局势/Na</b> 能否/D 保持/Nv/1.007<br>稳定/Nv/3.775 。/PERIODCATEGORY<br>如果/Cbb 西方/VH 的/DE 让步/Nv<br>能够/D 换来/VC","SG"
"状况/Na/CNA_CMN_20001227_wpr/88303",0.0149002277173648,-0.0235572604628123,"状况","CNA","2000","银行/Nc 三十/Neu 家/Nf 。/PERIODCATEGORY<br>就/P/1.393 全体/Na 国际/Nc<br>金融业/Na 务分行/Na/3.600 资金/Na/1.121<br><b>状况/Na</b> 分析/Na/1.410<br>,/COMMACATEGORY 资金/Na/1.121<br>来源/Na/1.012 以/P 金融/Na<br>机构/Na 存款/Na 及/Caa 联行/Na","银行/Nc 三十/Neu 家/Nf 。/PERIODCATEGORY<br>就/P/1.393 全体/Na 国际/Nc<br>金融业/Na 务分行/Na/3.600 资金/Na/1.121<br><b>状况/Na</b> 分析/Na/1.410<br>,/COMMACATEGORY 资金/Na/1.121<br>来源/Na/1.012 以/P 金融/Na<br>机构/Na 存款/Na 及/Caa 联行/Na","TW"
"情况/Na/XIN_CMN_20030504_wpr/27458",0.0323416878212024,-0.0559695599886456,"情况","XIN","2003","投资/VC 企业/Na 介/VJ 绍/Nc<br>对/P 非典型/Na/1.657 肺炎/Na/1.641<br>疫情/Na/1.418 的/DE 防治/Nv/1.347<br><b>情况/Na</b> 和/Caa 预防/Nv<br>措施/Na ,/COMMACATEGORY<br>切实/VH 关心/Nv 外商/Na 投资/VC<br>企/D 业/Na","投资/VC 企业/Na 介/VJ 绍/Nc<br>对/P 非典型/Na/1.657 肺炎/Na/1.641<br>疫情/Na/1.418 的/DE 防治/Nv/1.347<br><b>情况/Na</b> 和/Caa 预防/Nv<br>措施/Na ,/COMMACATEGORY<br>切实/VH 关心/Nv 外商/Na 投资/VC<br>企/D 业/Na","ML"
"局面/Na/XIN_CMN_20030718_wpr/4555",0.055973733284807,-0.00184380784264728,"局面","XIN","2003","改变/Na/1.605 中国/Na 长期/Na<br>以来/Ng 对/P 该/Nes 产品/Na<br>依赖/Nv/3.131 进口/VC/1.212<br>的/DE <b>局面/Na</b> 。/PERIODCATEGORY<br>该/Nes 项目/Na 预计/VE 2004年/Nd<br>竣工/VH ,/COMMACATEGORY<br>2005年/Nd 投入/VC 试/VF","改变/Na/1.605 中国/Na 长期/Na<br>以来/Ng 对/P 该/Nes 产品/Na<br>依赖/Nv/3.131 进口/VC/1.212<br>的/DE <b>局面/Na</b> 。/PERIODCATEGORY<br>该/Nes 项目/Na 预计/VE 2004年/Nd<br>竣工/VH ,/COMMACATEGORY<br>2005年/Nd 投入/VC 试/VF","ML"
"形势/Na/XIN_CMN_20001121_wpr/6514",0.0267949225873862,-0.0171201368604237,"形势","XIN","2000","转变为/VG 和解/VA 与/Caa 合作/VH<br>的/DE 关系/Na 。/PERIODCATEGORY<br>当前/Nd/4.458 的/DE 朝鲜半岛/Nc/3.087<br><b>形势/Na</b> 要求/Na/1.207<br>祖国/Nc 统一/Nv 泛民族/Na/5.423<br>联盟/Na 进一步/D/1.939 开展/VC<br>争取/VC 祖国/Nc 统一/Nb","转变为/VG 和解/VA 与/Caa 合作/VH<br>的/DE 关系/Na 。/PERIODCATEGORY<br>当前/Nd/4.458 的/DE 朝鲜半岛/Nc/3.087<br><b>形势/Na</b> 要求/Na/1.207<br>祖国/Nc 统一/Nv 泛民族/Na/5.423<br>联盟/Na 进一步/D/1.939 开展/VC<br>争取/VC 祖国/Nc 统一/Nb","ML"
"情况/Na/CNA_CMN_20001114_wpr/140267",-0.0189791257982157,-0.0386424136526275,"情况","CNA","2000",")/PARENTHESISCATEGORY<br>九十年度/Nd 中央政府/Nc 总预算/Na<br>已/D 送/VD 立法院/Nc 审议/VC<br>,/COMMACATEGORY 审议/VC<br><b>情况/Na</b> 尚/D/1.178<br>不得而知/VI ;/SEMICOLONCATEGORY<br>(/PARENTHESISCATEGORY<br>二/Neu )/PARENTHESISCATEGORY<br>上述/Na/1.255 支出/VC 应/D<br>系/VG",")/PARENTHESISCATEGORY<br>九十年度/Nd 中央政府/Nc 总预算/Na<br>已/D 送/VD 立法院/Nc 审议/VC<br>,/COMMACATEGORY 审议/VC<br><b>情况/Na</b> 尚/D/1.178<br>不得而知/VI ;/SEMICOLONCATEGORY<br>(/PARENTHESISCATEGORY<br>二/Neu )/PARENTHESISCATEGORY<br>上述/Na/1.255 支出/VC 应/D<br>系/VG","TW"
"情况/Na/XIN_CMN_20010103_wpr/16214",0.0330624743733142,-0.00401259917203409,"情况","XIN","2001","特别/VH 是/SHI 针/Na 对/P<br>当前/Nd/1.820 行贿/VC 犯罪/VA<br>较/Dfa 严重/VH/2.349 的/DE<br><b>情况/Na</b> ,/COMMACATEGORY<br>加大/VC 了/Di 打击/VC 行贿/VC<br>犯罪/Nv 力度/Na ,/COMMACATEGORY<br>去年/Nd 共立办/VC","特别/VH 是/SHI 针/Na 对/P<br>当前/Nd/1.820 行贿/VC 犯罪/VA<br>较/Dfa 严重/VH/2.349 的/DE<br><b>情况/Na</b> ,/COMMACATEGORY<br>加大/VC 了/Di 打击/VC 行贿/VC<br>犯罪/Nv 力度/Na ,/COMMACATEGORY<br>去年/Nd 共立办/VC","ML"
"情况/Na/CNA_CMN_20001102_wpr/64734",0.0283993679777735,0.256578749883218,"情况","CNA","2000","只/Da 多/VH 一些/Neqa 的/DE<br>电力/Na 可以/D 使/VL 用/P ,/COMMACATEGORY<br>相差/VJ/1.434 <b>情况/Na</b><br>并/D 不/D 多/VH ,/COMMACATEGORY<br>值得/VH 我们/Nh 花/VC 几千亿/Neu<br>元/Nf 吗/T","只/Da 多/VH 一些/Neqa 的/DE<br>电力/Na 可以/D 使/VL 用/P ,/COMMACATEGORY<br>相差/VJ/1.434 <b>情况/Na</b><br>并/D 不/D 多/VH ,/COMMACATEGORY<br>值得/VH 我们/Nh 花/VC 几千亿/Neu<br>元/Nf 吗/T","TW"
"势头/Na/XIN_CMN_20030830_wpr/13039",0.0403428647751297,-0.00697242558177247,"势头","XIN","2003","朝鲜/Nc 半岛/Na 无/VJ 核化/VHC<br>的/DE 原则/Na ,/COMMACATEGORY<br>决定/Nv/1.681 保持/Nv/4.593<br>对话/Nv/2.780 <b>势头/Na</b><br>,/COMMACATEGORY 这/Nep<br>值得/VH 肯定/VK 。/PERIODCATEGORY<br>各/Nes 方/Nf 就/P 朝鲜/Nc<br>半岛/Na","朝鲜/Nc 半岛/Na 无/VJ 核化/VHC<br>的/DE 原则/Na ,/COMMACATEGORY<br>决定/Nv/1.681 保持/Nv/4.593<br>对话/Nv/2.780 <b>势头/Na</b><br>,/COMMACATEGORY 这/Nep<br>值得/VH 肯定/VK 。/PERIODCATEGORY<br>各/Nes 方/Nf 就/P 朝鲜/Nc<br>半岛/Na","ML"
"情形/Na/CNA_CMN_20001118_wpr/18167",-0.0224123388738415,-0.0853822545547458,"情形","CNA","2000","台南市/Nc 教育局/Nc 长/VH 亲自/D<br>出席/VC ,/COMMACATEGORY<br>就/D 试办/VC/3.830 的/DE<br>实施/Nv <b>情形/Na</b> 做/VC<br>专案/Na/1.867 报告/Na/1.530<br>。/PERIODCATEGORY 曾志朗/Nb/1.316<br>指出/VE ,/COMMACATEGORY<br>每/Nes 週/Nf 邀请/VC","台南市/Nc 教育局/Nc 长/VH 亲自/D<br>出席/VC ,/COMMACATEGORY<br>就/D 试办/VC/3.830 的/DE<br>实施/Nv <b>情形/Na</b> 做/VC<br>专案/Na/1.867 报告/Na/1.530<br>。/PERIODCATEGORY 曾志朗/Nb/1.316<br>指出/VE ,/COMMACATEGORY<br>每/Nes 週/Nf 邀请/VC","TW"
"状况/Na/ZBN_CMN_20001117_wpr/21442",-0.0253957434145805,-0.154347044460907,"状况","ZBN","2000","新航/Nc 对/P 机师/Na 训练/Na<br>及/Caa 其/Nep 有关/P 飞安/Nb/1.578<br>考核/Na/1.915 组织/Na <b>状况/Na</b><br>。/PERIODCATEGORY 戎凯/Nb/3.028<br>昨晚/Nd 接受/VC 记者/Na 访问/VC<br>时/Ng 说/VE ，/COMMACATEGORY<br>此/Nep","新航/Nc 对/P 机师/Na 训练/Na<br>及/Caa 其/Nep 有关/P 飞安/Nb/1.578<br>考核/Na/1.915 组织/Na <b>状况/Na</b><br>。/PERIODCATEGORY 戎凯/Nb/3.028<br>昨晚/Nd 接受/VC 记者/Na 访问/VC<br>时/Ng 说/VE ，/COMMACATEGORY<br>此/Nep","SG"
"局面/Na/XIN_CMN_20030622_wpr/40402",0.000892072915583025,-0.0102583707558845,"局面","XIN","2003","同时/Nd 宣称/VE :/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>如果/Cbb 巴勒斯坦/Nc 安全/Nv<br>部队/Na 能够/D/1.035 控制/VC/2.555<br><b>局面/Na</b> 并/D 认真/VH<br>对待/VC ,/COMMACATEGORY<br>他们/Nh 可以/VH 自己/VH 行动/Na<br>。/PERIODCATEGORY 但/Cbb","同时/Nd 宣称/VE :/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>如果/Cbb 巴勒斯坦/Nc 安全/Nv<br>部队/Na 能够/D/1.035 控制/VC/2.555<br><b>局面/Na</b> 并/D 认真/VH<br>对待/VC ,/COMMACATEGORY<br>他们/Nh 可以/VH 自己/VH 行动/Na<br>。/PERIODCATEGORY 但/Cbb","ML"
"情况/Na/ZBN_CMN_20001125_wpr/6532",0.0811736523303867,-0.0360719654991157,"情况","ZBN","2000","心脏病/Na ”/PARENTHESISCATEGORY<br>进入/VCL 华盛顿/Nb 一/Neu 所/Nf<br>医院/Nc 留医/Na/2.060 ，/COMMACATEGORY<br>据报/VA <b>情况/Na</b> 良好/VH/2.379<br>。/PERIODCATEGORY 医生/Na<br>为/P 他/Nh 植入/VC 了/Di 一/Neu<br>个/Nf 动/VAC","心脏病/Na ”/PARENTHESISCATEGORY<br>进入/VCL 华盛顿/Nb 一/Neu 所/Nf<br>医院/Nc 留医/Na/2.060 ，/COMMACATEGORY<br>据报/VA <b>情况/Na</b> 良好/VH/2.379<br>。/PERIODCATEGORY 医生/Na<br>为/P 他/Nh 植入/VC 了/Di 一/Neu<br>个/Nf 动/VAC","SG"
"局面/Na/XIN_CMN_20030411_wpr/80041",-0.00542033961601973,0.00908758143848673,"局面","XIN","2003","哄抢/VC/2.853 财物/Na 现象/Na<br>严重/VH 。/PERIODCATEGORY<br>但/Cbb 面对/VC/1.904 这/Nep<br>种/Nf/1.585 混乱/VH/4.392<br><b>局面/Na</b> ,/COMMACATEGORY<br>美军/Na 11/Neu 日/Nf 却/D<br>表示/VE ,/COMMACATEGORY<br>他们/Nh 来到/Nv 伊拉克/Nc/1.077","哄抢/VC/2.853 财物/Na 现象/Na<br>严重/VH 。/PERIODCATEGORY<br>但/Cbb 面对/VC/1.904 这/Nep<br>种/Nf/1.585 混乱/VH/4.392<br><b>局面/Na</b> ,/COMMACATEGORY<br>美军/Na 11/Neu 日/Nf 却/D<br>表示/VE ,/COMMACATEGORY<br>他们/Nh 来到/Nv 伊拉克/Nc/1.077","ML"
"情况/Na/CNA_CMN_20001022_wpr/13381",-0.00445599534220804,0.0383238024902607,"情况","CNA","2000","复杂性/Na 简单化/VHC 了/Di 。/PERIODCATEGORY<br>在/P 一般人/Na 抱持/VJ 相同/VH/1.251<br>心态/Na 的/DE <b>情况/Na</b><br>下/Ng/3.677 ,/COMMACATEGORY<br>尉迟淦/Nb/3.745 在/P 走上/VCL<br>殡/Na 葬/VC 改革/VC 之初/Ng<br>吃/VC","复杂性/Na 简单化/VHC 了/Di 。/PERIODCATEGORY<br>在/P 一般人/Na 抱持/VJ 相同/VH/1.251<br>心态/Na 的/DE <b>情况/Na</b><br>下/Ng/3.677 ,/COMMACATEGORY<br>尉迟淦/Nb/3.745 在/P 走上/VCL<br>殡/Na 葬/VC 改革/VC 之初/Ng<br>吃/VC","TW"
