"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"比赛/Na/XIN_CMN_20030411_wpr/54738",-0.0187055953324366,-0.0171971563669441,"比赛","XIN","2003","足球/Na/1.859 争光/VB/1.884<br>。/PERIODCATEGORY 中国/Nc<br>足协/Nc/1.224 再次/D 重申/VE<br>:/COLONCATEGORY 不论/Cbb<br>在/P <b>比赛/Na</b> 中/Ng/2.175<br>出现/VH 任何/Neqa 情况/Na ,/COMMACATEGORY<br>运动员/Na/2.205 、/PAUSECATEGORY<br>教练员/Na/1.237 都/D 必须/VH","足球/Na/1.859 争光/VB/1.884<br>。/PERIODCATEGORY 中国/Nc<br>足协/Nc/1.224 再次/D 重申/VE<br>:/COLONCATEGORY 不论/Cbb<br>在/P <b>比赛/Na</b> 中/Ng/2.175<br>出现/VH 任何/Neqa 情况/Na ,/COMMACATEGORY<br>运动员/Na/2.205 、/PAUSECATEGORY<br>教练员/Na/1.237 都/D 必须/VH","ML"
"竞赛/Na/XIN_CMN_20001220_wpr/80975",0.176024870698041,-0.103678491991584,"竞赛","XIN","2000","核不/Na/4.540 扩散/VH/1.662<br>机制/Na 走向/Nv/1.265 崩溃/Nv<br>,/COMMACATEGORY 控制/VC<br>南亚/Nc/2.634 的/DE 核/Na/2.115<br><b>竞赛/Na</b> 、/PAUSECATEGORY<br>继续/Nv 推进/Nv 全面/Na 禁止/Nv<br>核/Na/2.115 试验/Nv 条约/Na<br>的/DE 批准/Nv","核不/Na/4.540 扩散/VH/1.662<br>机制/Na 走向/Nv/1.265 崩溃/Nv<br>,/COMMACATEGORY 控制/VC<br>南亚/Nc/2.634 的/DE 核/Na/2.115<br><b>竞赛/Na</b> 、/PAUSECATEGORY<br>继续/Nv 推进/Nv 全面/Na 禁止/Nv<br>核/Na/2.115 试验/Nv 条约/Na<br>的/DE 批准/Nv","ML"
"比赛/Na/XIN_CMN_20001009_wpr/3565",-0.0218363588118301,-0.00153080453153036,"比赛","XIN","2000",",/COMMACATEGORY 争取/VC<br>以/P 小组/Na 第一/Neu/1.515<br>的/DE 身份/Na 进入/Nv 决赛/Na/2.364<br>阶段/Na/2.349 <b>比赛/Na</b><br>。/PERIODCATEGORY 人民币/Na<br>市场/Nc 汇价/Na 新华社/Nc 北京/Nc<br>10月/Nd 9日/Nd 电/Na 中国/Nc",",/COMMACATEGORY 争取/VC<br>以/P 小组/Na 第一/Neu/1.515<br>的/DE 身份/Na 进入/Nv 决赛/Na/2.364<br>阶段/Na/2.349 <b>比赛/Na</b><br>。/PERIODCATEGORY 人民币/Na<br>市场/Nc 汇价/Na 新华社/Nc 北京/Nc<br>10月/Nd 9日/Nd 电/Na 中国/Nc","ML"
"竞争/Na/XIN_CMN_20010122_wpr/50473",-0.034061411860679,0.115420609478393,"竞争","XIN","2001","中/Ng 担任/VG 过/Di 队/Na<br>长/VH 的/DE 贝克汉姆/Nb 将/D<br>不再/VH 有/V_2 <b>竞争/Na</b><br>对手/Na/4.373 。/PERIODCATEGORY<br>刚/D 上任/VH 的/DE 英格兰/Nc<br>国家队/Na 主教/Na 练/VC 埃里克森/Nc","中/Ng 担任/VG 过/Di 队/Na<br>长/VH 的/DE 贝克汉姆/Nb 将/D<br>不再/VH 有/V_2 <b>竞争/Na</b><br>对手/Na/4.373 。/PERIODCATEGORY<br>刚/D 上任/VH 的/DE 英格兰/Nc<br>国家队/Na 主教/Na 练/VC 埃里克森/Nc","ML"
"比赛/Na/XIN_CMN_20030627_wpr/37685",-0.0155083418273302,0.013306375830929,"比赛","XIN","2003","突尼斯/Nc 举/VC 行/VA 的/DE<br>决赛/Na/2.364 阶段/Na/2.349<br>比赛/Na/1.572 。/PERIODCATEGORY<br>这/Nep/1.046 场/Nf/3.672<br><b>比赛/Na</b> 是/SHI 李肯/Nb/3.565<br>斯/Nep 执教/VB 以来/Ng 阿/Nc<br>国家队/Na/2.077 进行/VC/1.286<br>的/DE 惟一/A/2.196","突尼斯/Nc 举/VC 行/VA 的/DE<br>决赛/Na/2.364 阶段/Na/2.349<br>比赛/Na/1.572 。/PERIODCATEGORY<br>这/Nep/1.046 场/Nf/3.672<br><b>比赛/Na</b> 是/SHI 李肯/Nb/3.565<br>斯/Nep 执教/VB 以来/Ng 阿/Nc<br>国家队/Na/2.077 进行/VC/1.286<br>的/DE 惟一/A/2.196","ML"
"比赛/Na/XIN_CMN_20001028_wpr/18669",-0.0616723062658629,-0.0224185321493888,"比赛","XIN","2000","男子/Na/2.038 全能/VH/3.282<br>1000/Neu 米/Nf/1.720 和/Caa<br>女子/Na/2.352 全能/VH/3.282<br>5000/Neu 米/Nf/1.720 的/DE<br><b>比赛/Na</b> ,/COMMACATEGORY<br>黑龙江/Nc 冰雪/Na/1.455 训练/Na/1.691<br>中心/Nc 的/DE 刘广会/Nb 、/PAUSECATEGORY<br>解放/VC 军/Na","男子/Na/2.038 全能/VH/3.282<br>1000/Neu 米/Nf/1.720 和/Caa<br>女子/Na/2.352 全能/VH/3.282<br>5000/Neu 米/Nf/1.720 的/DE<br><b>比赛/Na</b> ,/COMMACATEGORY<br>黑龙江/Nc 冰雪/Na/1.455 训练/Na/1.691<br>中心/Nc 的/DE 刘广会/Nb 、/PAUSECATEGORY<br>解放/VC 军/Na","ML"
"比赛/Na/XIN_CMN_20001111_wpr/17923",-0.00612152692533362,0.0298694540810697,"比赛","XIN","2000","淘汰/Nv/1.964 ;/SEMICOLONCATEGORY<br>在/P 电视/Na 挑战赛/Na/1.965<br>中/Ng/2.175 ,/COMMACATEGORY<br>很多/Neaq 局/Nf/2.268 的/DE<br><b>比赛/Na</b> 都/D 是/SHI<br>由/P 几/Neu 分/Nf/1.004<br>甚至/D 一/D 分/VD/1.527 定胜/Nb<br>。/PERIODCATEGORY","淘汰/Nv/1.964 ;/SEMICOLONCATEGORY<br>在/P 电视/Na 挑战赛/Na/1.965<br>中/Ng/2.175 ,/COMMACATEGORY<br>很多/Neaq 局/Nf/2.268 的/DE<br><b>比赛/Na</b> 都/D 是/SHI<br>由/P 几/Neu 分/Nf/1.004<br>甚至/D 一/D 分/VD/1.527 定胜/Nb<br>。/PERIODCATEGORY","ML"
"比赛/Na/XIN_CMN_20010104_wpr/56160",0.00886917636956945,0.0423195808858018,"比赛","XIN","2001","锋线/Na 尖刀/Na 崔龙洙/Nb 等/Cab<br>悉数/D/1.478 出/VC 阵/Nf<br>。/PERIODCATEGORY 整/Neqa/1.517<br>场/Nf/3.672 <b>比赛/Na</b><br>,/COMMACATEGORY 双方/Nh/1.017<br>不停/VA 地/DE 调兵遣将/VA/1.667<br>,/COMMACATEGORY 攻/VC<br>防/VC 转换/VC 速度/Na","锋线/Na 尖刀/Na 崔龙洙/Nb 等/Cab<br>悉数/D/1.478 出/VC 阵/Nf<br>。/PERIODCATEGORY 整/Neqa/1.517<br>场/Nf/3.672 <b>比赛/Na</b><br>,/COMMACATEGORY 双方/Nh/1.017<br>不停/VA 地/DE 调兵遣将/VA/1.667<br>,/COMMACATEGORY 攻/VC<br>防/VC 转换/VC 速度/Na","ML"
"比赛/Na/XIN_CMN_20030601_wpr/51057",-0.0280804726339949,0.00979729339332264,"比赛","XIN","2003","记者/Na 刘瑞常/Na )/PARENTHESISCATEGORY<br>西班牙/Nc 足球/Na/1.859 俱乐部/Nc<br>甲级/Na/1.773 联赛/Na/2.322<br>第三十六/Neu/2.466 轮/Nf/3.850<br><b>比赛/Na</b> 1/Neu 日/Nf<br>晚/Nd 全部/Neqa/1.766 结束/VHC/2.255<br>,/COMMACATEGORY 但/Cbb<br>冠军/Na/2.173 之/DE 争/VC","记者/Na 刘瑞常/Na )/PARENTHESISCATEGORY<br>西班牙/Nc 足球/Na/1.859 俱乐部/Nc<br>甲级/Na/1.773 联赛/Na/2.322<br>第三十六/Neu/2.466 轮/Nf/3.850<br><b>比赛/Na</b> 1/Neu 日/Nf<br>晚/Nd 全部/Neqa/1.766 结束/VHC/2.255<br>,/COMMACATEGORY 但/Cbb<br>冠军/Na/2.173 之/DE 争/VC","ML"
"比赛/Na/XIN_CMN_20001230_wpr/33705",-0.0396912419749446,0.00481904478531658,"比赛","XIN","2000","1999年/Nd 11月/Nd ,/COMMACATEGORY<br>他/Nh 在/P 美国/Na 拉斯韦加斯/Nb/2.412<br>举行/VC/1.083 的/DE 拳击/Na/2.460<br><b>比赛/Na</b> 中/Ng/2.175<br>,/COMMACATEGORY 击败/VC/1.756<br>墨西哥/Nc 拳手/Na/2.381 莫拉雷斯/Nb<br>,/COMMACATEGORY 赢得/VJ/2.315<br>世界/Nc 拳击/Na/2.460","1999年/Nd 11月/Nd ,/COMMACATEGORY<br>他/Nh 在/P 美国/Na 拉斯韦加斯/Nb/2.412<br>举行/VC/1.083 的/DE 拳击/Na/2.460<br><b>比赛/Na</b> 中/Ng/2.175<br>,/COMMACATEGORY 击败/VC/1.756<br>墨西哥/Nc 拳手/Na/2.381 莫拉雷斯/Nb<br>,/COMMACATEGORY 赢得/VJ/2.315<br>世界/Nc 拳击/Na/2.460","ML"
