"id","x","y","variant","corpus","year","text","lect"
"治疗/Na/XIN_CMN_20010107_wpr/23258",-0.0351698122794574,0.0779415195136116,"治疗","XIN","2001","有 4 名 维 和 士兵 正在 接受 白血<br>病 <b>治疗</b> 。 比利时 也 有<br>9 名 维 和 士兵 患癌","ML"
"疗法/Na/XIN_CMN_20001218_wpr/57117",0.0617799020955068,-0.0255641647026402,"疗法","XIN","2000","遭受 化疗 痛苦 、 提高 生命 存活 质量<br>的 生物 <b>疗法</b> 目前 已 在<br>河南 医科 大学 临床 上 运用 。","ML"
"治疗/Na/CNA_CMN_20001108_wpr/67809",-0.0390882507845512,-0.0206669260992866,"治疗","CNA","2000","第五 类 症状 呈 慢性 化 , 不需 要<br>住院 <b>治疗</b> , 但 需要 生活<br>照顾 者 八 十一 人 。","TW"
"治疗/Na/ZBN_CMN_20030616_wpr/30481",-0.0665114092835954,0.0486316891299196,"治疗","ZBN","2003","救伤 车 ， 将 他 送入 国立 大学 医院<br>接受 <b>治疗</b> 。 无奈 ， 骑士<br>的 伤势 太过 严重 ， 他","SG"
"治疗/Na/XIN_CMN_20030423_wpr/11644",-0.0333998842174254,-0.0092366399463431,"治疗","XIN","2003","23日 在 此 间 透露 , 在 地坛 医院<br>住院 <b>治疗</b> 的 两 名 台湾<br>非典型 肺炎 患者 目前 情况 良好","ML"
"治疗/Na/CNA_CMN_20001130_wpr/122900",0.086520625632823,0.0940020612992987,"治疗","CNA","2000","经 尿道 的 雷射 、 微波 、 高频 波<br>的 <b>治疗</b> 方 式 , 因为<br>无法 克服 能量 不易 集中 缺点","TW"
"治疗/Na/CNA_CMN_20001221_wpr/21948",-0.00344443749113689,0.0204705829831427,"治疗","CNA","2000","指出 , 研究 人员 将 案例 分为 不<br>进行 任何 <b>治疗</b> 以及 接受<br>治疗 两 组 。 在 接受 治疗 这","TW"
"治疗/Na/XIN_CMN_20001006_wpr/36600",-0.0126027674642307,-0.02632524424644,"治疗","XIN","2000","病例 是 通过 异性性 接触 传染 的 。<br>法国 艾滋病 <b>治疗</b> 专家 指出<br>, 目前 医 学上 虽然 尚 没有 根","ML"
"治疗/Na/XIN_CMN_20030417_wpr/22133",-0.0441441919685076,0.0202786221041624,"治疗","XIN","2003","非典型 肺炎 后 , 来到 北京 佑安 医<br>院 接受 <b>治疗</b> , 他 的<br>家 中 也 发现 了 类似 的","ML"
"治疗/Na/CNA_CMN_20030615_wpr/43",-0.00369771328773133,-0.034176087217347,"治疗","CNA","2003","， 同时 使用 利巴韦 林和 蛋白 （ 酉每<br>） 抑制剂 <b>治疗</b> 严重 急性<br>唿吸道 症候群 （ SARS ） 病人 ，<br>比并","TW"
"治疗/Na/CNA_CMN_20001013_wpr/146307",0.0163139109285973,-0.138723062056025,"治疗","CNA","2000","使 社区 参与 安非 他 命 相关 兴奋剂<br>预防 和 <b>治疗</b> 的 区域性<br>发展 。 东协 与 中共 将 在 二00四年","TW"
"治疗/Na/ZBN_CMN_20030414_wpr/891",-0.0394282559075631,-0.00169239917218606,"治疗","ZBN","2003","高 数字 ， 其中 4 人 在 医院 管理局<br>指定 <b>治疗</b> 非 典型肺 炎<br>病人 的 玛嘉烈 医院 病逝 。 卫生署","SG"
