"id","x","y","variant","corpus","year","text","lect"
"日子/Na/ZBN_CMN_20030516_wpr/39758",-0.107175934029256,-0.0036157370463366,"日子","ZBN","2003","是/SHI 让/VL 她/Nh 至今/D<br>心有余悸/VH 。/PERIODCATEGORY<br>在/P 传染病/Na 中心/Nc 的/DE<br><b>日子/Na</b> 惶恐/VH 无助/VH<br>“/PARENTHESISCATEGORY<br>我/Nh 在/P 那里/Ncd 的/DE<br>五/Neu 天/Nf ，/COMMACATEGORY","SG"
"日期/Na/ZBN_CMN_20030813_wpr/45685",0.010785550957778,-0.0102876129562094,"日期","ZBN","2003","医师/Na （/PARENTHESISCATEGORY<br>讲述/VE ）/PARENTHESISCATEGORY<br>林宜发/Nb 医师/Na （/PARENTHESISCATEGORY<br>示范/Nv ）/PARENTHESISCATEGORY<br>◎/FW <b>日期/Na</b> ：/COLONCATEGORY<br>8月/Nd 16/Neu 日/Nf （/PARENTHESISCATEGORY<br>星期六/Nd ）/PARENTHESISCATEGORY<br>◎/FW 时间/Na ：/COLONCATEGORY","SG"
"日子/Na/XIN_CMN_20001229_wpr/83868",-0.128153659325567,0.0804723859900013,"日子","XIN","2000",",/COMMACATEGORY 到/VCL<br>司法局/Nc 当官/VA 如同/P “/PARENTHESISCATEGORY<br>发配/VD ”/PARENTHESISCATEGORY<br>,/COMMACATEGORY 混混/VH<br><b>日子/Na</b> 而已/T ,/COMMACATEGORY<br>工作/VA 上/Ng 不会/D 有/V_2<br>什么/Nep 成绩/Na 。/PERIODCATEGORY<br>史虎生/Nb","ML"
"日期/Na/ZBN_CMN_20030512_wpr/68005",0.0161923005809256,-0.0182670434921706,"日期","ZBN","2003","之间/Ng 的/DE 藩篱/Na 。/PERIODCATEGORY<br>比利时/Nc 需求剧/Na 团/Nf 《/PARENTHESISCATEGORY<br>和/Caa 》/PARENTHESISCATEGORY<br><b>日期/Na</b> ：/COLONCATEGORY<br>6月/Nd 4日/Nd 及/Caa 5/Neu<br>日/Nf 时间/Na ：/COLONCATEGORY<br>晚上/Nd 8时/Nd","SG"
"日子/Na/ZBN_CMN_20030714_wpr/22952",-0.0351914439192248,-0.009174340543718,"日子","ZBN","2003","遇到/VC 了/Di 经济/Na 问/VE<br>题/Nf 。/PERIODCATEGORY<br>记/VK ：/COLONCATEGORY<br>那/Nep 段/Nf <b>日子/Na</b><br>你/Nh 是/SHI 如何/D 过/VCL<br>的/DE ？/QUESTIONCATEGORY<br>佩/Nb ：/COLONCATEGORY<br>我/Nh 已经/D","SG"
"日子/Na/XIN_CMN_20030515_wpr/79311",-0.117253711719309,0.00719394135743401,"日子","XIN","2003","新华社/Nc 天津/Nc 5月/Nd 16日电/Na<br>(/PARENTHESISCATEGORY<br>记者/Na 孟华胡/Nb 梅娟/Nb )/PARENTHESISCATEGORY<br>“/PARENTHESISCATEGORY<br><b>日子/Na</b> 宽裕/VH 了/T<br>,/COMMACATEGORY 我们/Nh<br>就/D 要/D 考虑/Nv 让/VL 存在/VA<br>银行/Nc","ML"
"日子/Na/XIN_CMN_20030904_wpr/60993",0.0218234272378165,0.129743549914562,"日子","XIN","2003","天/Nf 发送/VD 一/Neu 个/Nf<br>棉农专列/Na 。/PERIODCATEGORY<br>每逢/P 专列/Na 开行/VA 的/DE<br><b>日子/Na</b> ,/COMMACATEGORY<br>滑/VA 县政府/Nc 都/D 组织/VC<br>数十/Neu 部/Nf 大/VH 轿车/Na<br>将/D","ML"
"日子/Na/ZBN_CMN_20030419_wpr/67334",-0.217672501918916,0.267112385879713,"日子","ZBN","2003","部长/Na 曾士生/Nb 昨天/Nd 在/P<br>乌敏岛/Nc 为/VG “/PARENTHESISCATEGORY<br>乌/Na 敏岛/Nc 的/DE <b>日子/Na</b><br>”/PARENTHESISCATEGORY<br>活动/A 主持/Na 开幕/Nv 。/PERIODCATEGORY<br>华文/Na 电子/Na 专题/Na 作业赛/Na<br>2003年度/Nd","SG"
"日子/Na/ZBN_CMN_20030616_wpr/77877",-0.0299635946253313,0.00220231797744711,"日子","ZBN","2003","哪里/D 会/D 体/VK 晴天/Nd 的/DE<br>美丽/VH ？/QUESTIONCATEGORY<br>相信/Nv 磨难/Na 的/DE <b>日子/Na</b><br>不会/D 太/Dfa 久/VH ，/COMMACATEGORY<br>痛苦/VH 也/D 总会/D 过去/VC<br>，/COMMACATEGORY 愿/VK","SG"
"日子/Na/ZBN_CMN_20030416_wpr/44660",-0.0896199459488637,0.0734212777469804,"日子","ZBN","2003","正义/Na 或/Caa 不义/VH ，/COMMACATEGORY<br>太/Dfa 阳/Na 照样/D 东升/VH<br>西落/Nc ，/COMMACATEGORY<br><b>日子/Na</b> 照过/VC 。/PERIODCATEGORY<br>直到/P 令/VL 人/Na 莫测高深/VH<br>的/DE 非/A 典型/Na 肺炎/Na","SG"
"日子/Na/CNA_CMN_20001206_wpr/390",0.0180714394180737,0.0726090963371221,"日子","CNA","2000",",/COMMACATEGORY 而/Cbb<br>离/P 十二月/Nd 十二日/Nd 佛州/Nc<br>必须/VH 选出/VC 选举人团/Na 的/DE<br><b>日子/Na</b> 也/D 只/Da<br>剩/VJ 一/Neu 週/Nf 而已/T<br>。/PERIODCATEGORY 佛州/Nc<br>一/Neu 星期/Nf","TW"
