"id","x","y","variant","corpus","year","text","lect"
"实验/Na/XIN_CMN_20030525_wpr/2232",-0.0229371954176335,-0.0229033847079081,"实验","XIN","2003","果/Nb “/PARENTHESISCATEGORY<br>非常/Dfa 适时/VH 地/DE 报道/Na<br>了/Di 量子/Na 中继器/Na 的/DE<br><b>实验/Na</b> 实现/VC ,/COMMACATEGORY<br>它/Nh 构成/VG 了/Di 远/VH<br>距离量/Na 子/Nb 通信/Na 实验/Na","ML"
"试验/Na/ZBN_CMN_20010121_wpr/3122",0.0375079099382841,-0.0393280761480066,"试验","ZBN","2001","。/PERIODCATEGORY 影片/Na<br>揭露/VC 了/Di 虐待/VC 动物/Na<br>，/COMMACATEGORY 以及/Caa<br>工人/Na 窜改/VC <b>试验/Na</b><br>资料/Na 的/DE 情景/Na ，/COMMACATEGORY<br>结果/Na 吓跑/VC 了/Di 许多/Neqa<br>消费者/Na 。/PERIODCATEGORY","SG"
"实验/Na/CNA_CMN_20001209_wpr/8334",0.0105884993706675,-0.0235884399412525,"实验","CNA","2000",",/COMMACATEGORY 已经/D<br>由/P 国内/Nc 近年/D 的/DE 流行病学/Na<br>调查/Na 及/Caa 动物/Na <b>实验/Na</b><br>证实/VE 。/PERIODCATEGORY<br>国际/Nc 癌症/Na 研究/VC 机构/Na<br>(/PARENTHESISCATEGORY<br>IARC/FW )/PARENTHESISCATEGORY<br>曾/D","TW"
"试验/Na/XIN_CMN_20030620_wpr/19481",-0.0239592691392515,-0.0122274275858809,"试验","XIN","2003","将/D 在/P 今/Nd 后/Nes 2/Neu<br>到/Caa 4/Neu 周/Nf 内/Ng<br>开始/VH <b>试验/Na</b> ,/COMMACATEGORY<br>而/Cbb 南非/Nc 科学家/Na 的/DE<br>试验/Na 将/D 在/P 美国/Na 试验/Na","ML"
"实验/Na/XIN_CMN_20030803_wpr/2153",0.00848648728723781,-0.0332972551912171,"实验","XIN","2003","强调/VE 将/D 严厉/VH 打击/VC<br>恐怖/VH 主义/Na (/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>动物/Na <b>实验/Na</b> 显示/Nv<br>电/Na 刺激/VH 有助于/VK 提高/VC<br>化疗/Na 疗效/Na (/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY","ML"
"实验/Na/CNA_CMN_20010113_wpr/83321",0.00534642003851816,-0.000958404757864593,"实验","CNA","2001","生命/Na 空间/Na 环境/Na 实验/Na<br>、/PAUSECATEGORY 空间/Na<br>天文/Na 和/Caa 物/Na 理/VJ<br><b>实验/Na</b> ,/COMMACATEGORY<br>以及/Caa 天地/Na 之间/Ng 的/DE<br>图像/Na 、/PAUSECATEGORY<br>话音/Na 传输/Nv 等/Cab","TW"
"实验/Na/XIN_CMN_20001009_wpr/76537",0.04235521088246,-0.151857915950293,"实验","XIN","2000","我国/Nc 首/Nes 例/Na 玻璃/Na<br>化/VG 冷冻/VC 试管/Na 牛犊/Nb<br>。/PERIODCATEGORY 在/P<br><b>实验/Na</b> 中/Ng ,/COMMACATEGORY<br>专家/Na 们/Na 还/D 在/P 西门塔尔/Nb<br>、/PAUSECATEGORY 夏洛/Nb<br>来/D","ML"
"实验/Na/XIN_CMN_20030410_wpr/9615",0.0238616899324889,-0.00169383718751118,"实验","XIN","2003","边正己/VH 教授/Na 以及/Caa 鸟/Na<br>取/VC 大学/Nb 的/DE 押村光雄/Nb<br>教授/Na 通过/VC <b>实验/Na</b><br>证实/VE ,/COMMACATEGORY<br>虽然/Cbb 染/VC 色/Nf 体/Na<br>遭受/Na 放射线/Na 照射/VH 往往/D","ML"
"实验/Na/XIN_CMN_20030708_wpr/19633",0.0661718788272485,-0.0150726148278465,"实验","XIN","2003",",/COMMACATEGORY 泡沫/Na<br>材料/Na 撞击/VC 如此/Dfa 猛烈/VH<br>,/COMMACATEGORY 以致于/Cbb<br>用来/VL 拍摄/VC <b>实验/Na</b><br>过程/Na 的/DE 一/Neu 架/Nf<br>相机/Na 的/DE 镜头/Na 都/D<br>被/P 震飞/VA","ML"
"实验/Na/XIN_CMN_20010130_wpr/50483",-0.00686885089728501,0.0170535490158902,"实验","XIN","2001","3万千/Neu 瓦/Nf 、/PAUSECATEGORY<br>每/Nes 天使/Na 用/P 煤炭/Na<br>150/Neu 吨/Nf 的/DE <b>实验/Na</b><br>设备/Na 。/PERIODCATEGORY<br>在/P 这/Nep 一/Neu 技术/Na<br>达到/VJ 实用化/VHC 阶段/Na 后/Ng","ML"
