"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"领域/Na/XIN_CMN_20001101_wpr/25726",-0.12107546986993,-0.0593545917233938,"领域","XIN","2000","成为/VG 走私/Nv 者/Na 日益/D/1.873<br>看好/VC 获利/Na 的/DE 又/D<br>一/D 新/VH/1.218 <b>领域/Na</b><br>。/PERIODCATEGORY 北京/Nc<br>海关/Nc 有关/P 负责人/Na 今天/Nd<br>表示/VE ,/COMMACATEGORY<br>由于/Cbb 建材/Na/1.702","成为/VG 走私/Nv 者/Na 日益/D/1.873<br>看好/VC 获利/Na 的/DE 又/D<br>一/D 新/VH/1.218 <b>领域/Na</b><br>。/PERIODCATEGORY 北京/Nc<br>海关/Nc 有关/P 负责人/Na 今天/Nd<br>表示/VE ,/COMMACATEGORY<br>由于/Cbb 建材/Na/1.702","ML"
"领域/Na/ZBN_CMN_20030609_wpr/3529",0.128549733042859,-0.119432331126614,"领域","ZBN","2003","让/VL 他们/Nh 参/VC 加/VC<br>联合/VC 太空/Na 防/VC 行动/Na<br>的/DE 敏感/Nv <b>领域/Na</b><br>。/PERIODCATEGORY 除了/P<br>加拿大/Nc 投诉/VA ，/COMMACATEGORY<br>美军/Na 企图/Na 在/P/1.208<br>军事/Na/2.003 上/Ncd","让/VL 他们/Nh 参/VC 加/VC<br>联合/VC 太空/Na 防/VC 行动/Na<br>的/DE 敏感/Nv <b>领域/Na</b><br>。/PERIODCATEGORY 除了/P<br>加拿大/Nc 投诉/VA ，/COMMACATEGORY<br>美军/Na 企图/Na 在/P/1.208<br>军事/Na/2.003 上/Ncd","SG"
"学科/Na/XIN_CMN_20030808_wpr/50759",0.0562724300561159,0.0827738387979235,"学科","XIN","2003","将/D 学习/VC/1.220 有关/P<br>运动员/Na 食物/Na 营养学/Na 和/P<br>其它/Neqa 有/P/2.585 关/VC/1.130<br><b>学科/Na</b> 。/PERIODCATEGORY<br>这/Nep 是/SHI 法国/Na 根据/Na<br>需要/Na/1.745 首/Nes 次/Nf<br>在/P 大学/Nb/2.829","将/D 学习/VC/1.220 有关/P<br>运动员/Na 食物/Na 营养学/Na 和/P<br>其它/Neqa 有/P/2.585 关/VC/1.130<br><b>学科/Na</b> 。/PERIODCATEGORY<br>这/Nep 是/SHI 法国/Na 根据/Na<br>需要/Na/1.745 首/Nes 次/Nf<br>在/P 大学/Nb/2.829","ML"
"领域/Na/XIN_CMN_20030920_wpr/14565",-0.0240125917540279,-0.0249968614898425,"领域","XIN","2003","合作/Nv/4.552 期间/Na ,/COMMACATEGORY<br>中国/Nc 银/Na 行将/D 利用/VC<br>其/Nep 在/P/1.208 金融/Na/1.898<br><b>领域/Na</b> 的/DE 实力/Na<br>和/Caa 优势/Na/1.436 ,/COMMACATEGORY<br>为/VG 校方科/Na 研/VE/1.551<br>成果/Na/1.964 产业/Na/1.476","合作/Nv/4.552 期间/Na ,/COMMACATEGORY<br>中国/Nc 银/Na 行将/D 利用/VC<br>其/Nep 在/P/1.208 金融/Na/1.898<br><b>领域/Na</b> 的/DE 实力/Na<br>和/Caa 优势/Na/1.436 ,/COMMACATEGORY<br>为/VG 校方科/Na 研/VE/1.551<br>成果/Na/1.964 产业/Na/1.476","ML"
"领域/Na/XIN_CMN_20001204_wpr/48064",0.0048069758237039,-0.0128137401527742,"领域","XIN","2000","、/PAUSECATEGORY 教育/VC/2.507<br>、/PAUSECATEGORY 体育/Na/1.205<br>、/PAUSECATEGORY 生态环境/Na<br>保护/Nv 、/PAUSECATEGORY<br>卫生/Na/1.829 等/Cab/2.405<br><b>领域/Na</b> 的/DE 合作/Nv/4.552<br>关系/Na/1.542 。/PERIODCATEGORY<br>双方/Nh/2.148 认为/VE ,/COMMACATEGORY<br>地方/Na 政府/Na 间/Ng","、/PAUSECATEGORY 教育/VC/2.507<br>、/PAUSECATEGORY 体育/Na/1.205<br>、/PAUSECATEGORY 生态环境/Na<br>保护/Nv 、/PAUSECATEGORY<br>卫生/Na/1.829 等/Cab/2.405<br><b>领域/Na</b> 的/DE 合作/Nv/4.552<br>关系/Na/1.542 。/PERIODCATEGORY<br>双方/Nh/2.148 认为/VE ,/COMMACATEGORY<br>地方/Na 政府/Na 间/Ng","ML"
"领域/Na/CNA_CMN_20001028_wpr/95693",-0.0442560503437615,-0.0328644668178817,"领域","CNA","2000","的/DE 政策/Na ,/COMMACATEGORY<br>主要/D 是/SHI 进一步/D/1.827<br>扩大/VC/2.798 外/Ng 商/Nd<br>投资/VC/2.391 <b>领域/Na</b><br>、/PAUSECATEGORY 进一步/D/1.827<br>拓宽/VC/4.544 利用/VC 外资/Na/1.813<br>渠道/Na/1.715 、/PAUSECATEGORY<br>大力/VH/1.017 发展/Na/1.411<br>对外/Na/2.102","的/DE 政策/Na ,/COMMACATEGORY<br>主要/D 是/SHI 进一步/D/1.827<br>扩大/VC/2.798 外/Ng 商/Nd<br>投资/VC/2.391 <b>领域/Na</b><br>、/PAUSECATEGORY 进一步/D/1.827<br>拓宽/VC/4.544 利用/VC 外资/Na/1.813<br>渠道/Na/1.715 、/PAUSECATEGORY<br>大力/VH/1.017 发展/Na/1.411<br>对外/Na/2.102","TW"
"领域/Na/CNA_CMN_20001215_wpr/45176",-0.0167258153939297,0.00987763429340307,"领域","CNA","2000","认知/Na 及/Caa 国家/Na 资讯化/Nv<br>程度/Na 与/Caa/1.103 资讯/Na/1.614<br>产业/Na/1.476 在/P/1.208<br>此/Nep <b>领域/Na</b> 上/Ncd<br>的/DE 研发/Nv/2.610 成果/Na/1.964<br>,/COMMACATEGORY 并/Cbb<br>规划/Na 现今/Nd/1.001 社会/Na/1.014<br>上/Ng","认知/Na 及/Caa 国家/Na 资讯化/Nv<br>程度/Na 与/Caa/1.103 资讯/Na/1.614<br>产业/Na/1.476 在/P/1.208<br>此/Nep <b>领域/Na</b> 上/Ncd<br>的/DE 研发/Nv/2.610 成果/Na/1.964<br>,/COMMACATEGORY 并/Cbb<br>规划/Na 现今/Nd/1.001 社会/Na/1.014<br>上/Ng","TW"
"领域/Na/XIN_CMN_20001016_wpr/41883",-0.0274107511161146,-0.0166725375633779,"领域","XIN","2000","经贸/Na/3.278 委/VF 获悉/VK<br>,/COMMACATEGORY 成都市/Nc<br>将/P 全面/Na/1.454 开放/VC/1.788<br>服务/Na/1.956 贸易/Na/1.860<br><b>领域/Na</b> ,/COMMACATEGORY<br>鼓励/Nv 外资/Na/1.813 进入/VCL<br>绝大多数/Neqa/1.175 领域/Na/1.254<br>的/DE 服务/Na/1.956 贸易/Na/1.860<br>行业/Na/1.680","经贸/Na/3.278 委/VF 获悉/VK<br>,/COMMACATEGORY 成都市/Nc<br>将/P 全面/Na/1.454 开放/VC/1.788<br>服务/Na/1.956 贸易/Na/1.860<br><b>领域/Na</b> ,/COMMACATEGORY<br>鼓励/Nv 外资/Na/1.813 进入/VCL<br>绝大多数/Neqa/1.175 领域/Na/1.254<br>的/DE 服务/Na/1.956 贸易/Na/1.860<br>行业/Na/1.680","ML"
"领域/Na/XIN_CMN_20001121_wpr/11419",-0.0427904482520469,-0.0411490320615718,"领域","XIN","2000","致辞/VA 时/Ng 表示/VE ,/COMMACATEGORY<br>内地/Nc 和/Caa 香港/Nc 在/P/1.208<br>金融/Na/1.898 服务/Na/1.956<br><b>领域/Na</b> 存在/VJ/1.152<br>很/Dfa 大/VH 互补性/Na/3.140<br>。/PERIODCATEGORY 作为/Na<br>主要国/Nc 际/Nd 金融/Na/1.898<br>中心/Nc","致辞/VA 时/Ng 表示/VE ,/COMMACATEGORY<br>内地/Nc 和/Caa 香港/Nc 在/P/1.208<br>金融/Na/1.898 服务/Na/1.956<br><b>领域/Na</b> 存在/VJ/1.152<br>很/Dfa 大/VH 互补性/Na/3.140<br>。/PERIODCATEGORY 作为/Na<br>主要国/Nc 际/Nd 金融/Na/1.898<br>中心/Nc","ML"
"领域/Na/XIN_CMN_20001014_wpr/22996",-0.00805915995964309,-0.00582283155452662,"领域","XIN","2000",",/COMMACATEGORY 加强/VC/2.475<br>在/P/1.208 基础/VH/1.363<br>研究/VC/2.241 和/Caa 高科技/Na/2.930<br>及其/Caa/1.636 产业/Na/1.476<br>化/VG <b>领域/Na</b> 的/DE<br>合作/VH/3.735 ,/COMMACATEGORY<br>扩大/Nv/2.931 科技/Na/2.412<br>人员/Na 的/DE 交流/VH/2.599<br>。/PERIODCATEGORY 日本/Nc",",/COMMACATEGORY 加强/VC/2.475<br>在/P/1.208 基础/VH/1.363<br>研究/VC/2.241 和/Caa 高科技/Na/2.930<br>及其/Caa/1.636 产业/Na/1.476<br>化/VG <b>领域/Na</b> 的/DE<br>合作/VH/3.735 ,/COMMACATEGORY<br>扩大/Nv/2.931 科技/Na/2.412<br>人员/Na 的/DE 交流/VH/2.599<br>。/PERIODCATEGORY 日本/Nc","ML"
