"id","x","y","variant","corpus","year","text","lect"
"研讨会/Na/CNA_CMN_20001003_wpr/32540",-0.0150861381468414,0.0144228070388724,"研讨会","CNA","2000","总经理 施敏雄 主持 。 这 项 为期 一<br>天 的 <b>研讨会</b> , 邀请 荷银<br>证券 总经理 安鼐 发表 e 时代 证券业","TW"
"论坛/Na/ZBN_CMN_20001116_wpr/16707",-0.0270047475304831,-0.00984206618995353,"论坛","ZBN","2000","首都 诗 里 巴 加 湾 出席 亚太 经济<br>合作 <b>论坛</b> 首脑 非 正式<br>峰会 。 他们 出席 了 文莱苏丹波基亚<br>为","SG"
"座谈会/Na/CNA_CMN_20001006_wpr/125234",0.0211034014826572,0.0346098312558522,"座谈会","CNA","2000","消费者 健康 把关 , 不过 , 今天 在<br>一 场 <b>座谈会</b> 中 , 学者<br>认为 基因 食品 管制 仍 缺乏 标准","TW"
"论坛/Na/XIN_CMN_20001117_wpr/38754",-0.00437356111400863,-0.0141720266575576,"论坛","XIN","2000","纽约 联合国 总部 开幕 的 联 合 国<br>世界 电视 <b>论坛</b> 上 发表<br>讲话 时 作 上述 表示 的 。 联合国","ML"
"研讨会/Na/CNA_CMN_20001125_wpr/66543",0.0164356668179968,-0.0319543946893799,"研讨会","CNA","2000","几乎 与 欧 美国 家齐 步 。 891125<br>文化局 办 <b>研讨会</b> 为 明年<br>的 亚太 文化 之 都 暖身 ( 中央社","TW"
"座谈会/Na/CNA_CMN_20001113_wpr/53287",-0.0191717645162312,0.0162622896008873,"座谈会","CNA","2000","三十分 和 立院 党团 干部 和 次 团<br>负责人 举行 <b>座谈会</b> 。 据<br>了解 , 这 次 座谈 可望 就 罢免","TW"
"座谈会/Na/CNA_CMN_20010102_wpr/3131",-0.00550804041350214,0.154573741566629,"座谈会","CNA","2001","四楼 第五 贵宾室 。 -- 十四时 ,<br>新生报 权益 问题 <b>座谈会</b><br>, 新闻局 第三 会 议 室 。 -- 十五时<br>,","TW"
"座谈会/Na/XIN_CMN_20030629_wpr/19988",-0.0271181743227993,0.0298045694135867,"座谈会","XIN","2003","事业 发展 新 局面 。 中国 科协 主席<br>周光召 主持 <b>座谈会</b> 。 座谈会<br>由 全国 人大 教科文卫 委员 会 、 中宣部","ML"
"研讨会/Na/CNA_CMN_20001113_wpr/52101",-0.00245369630068862,0.0244609733281838,"研讨会","CNA","2000","两岸 三 地 共 有 二 十余 位 学者<br>参加 <b>研讨会</b> 。 台湾 与会<br>着名 学者 包括 张 五岳 、 邵宗海","TW"
"座谈会/Na/XIN_CMN_20030515_wpr/40399",-0.0555407566417949,0.0195166876119163,"座谈会","XIN","2003","副委员 长 王兆国 和 全国 政协 副主席<br>王忠 禹 在 <b>座谈会</b> 上 讲话<br>, 国务 委员 兼 国务院 秘书长 华建敏<br>出席","ML"
"座谈/Na/CNA_CMN_20001113_wpr/100295",-0.00331595958174349,0.0251435296476756,"座谈","CNA","2000","张俊雄 今天 与 黑猩猩 保育 专家 珍<br>古德 博士 举行 <b>座谈</b> ,<br>张俊雄会 中 提及 停建 核四 , 希望<br>能 获得","TW"
"论坛/Na/CNA_CMN_20001222_wpr/13001",-0.0283200440994681,0.0702557136235194,"论坛","CNA","2000","电话 疑云 隔空 互控 , 今天 上午 在<br>立法院 国是 <b>论坛</b> 多 位<br>立委 对 此 都 发表 看法 。 张旭成","TW"
"论坛/Na/XIN_CMN_20030722_wpr/35704",-0.0358036417831754,-0.00927802924968054,"论坛","XIN","2003","登记册 。 ( 外事 ) 布莱尔 出席 上海<br>中英 企业家 <b>论坛</b> 新华社<br>上海 7月 22日 电 ( 记者 季明 周解蓉<br>)","ML"
"座谈会/Na/CNA_CMN_20001113_wpr/29594",0.118733453542084,0.38835298451967,"座谈会","CNA","2000","了 此 次 活动 的 重点 。 乡长 何火龙<br>在 <b>座谈会</b> 中 叹 了 一口气<br>, 槟榔 农 是 一 群","TW"
"研讨会/Na/XIN_CMN_20001112_wpr/6640",-0.00209501308259602,-0.00080323866875641,"研讨会","XIN","2000","由 福建省 孙中山 研究会 主办 的 海峡<br>两岸 孙中山 学术 <b>研讨会</b><br>今 天 在 福州市 举行 。 此次 研讨会<br>是 福建省","ML"
"座谈会/Na/CNA_CMN_20001111_wpr/94131",0.0381797476803371,0.107586516960823,"座谈会","CNA","2000","技术 与 管理 免费 谘询 服务 。 县政府<br>表示 , <b>座谈会</b> 整合 经济部<br>工业局 、 中小企业 处 合 服务 中心<br>、","TW"
"座谈会/Na/XIN_CMN_20030424_wpr/21539",-0.019585527541176,0.0126903420599931,"座谈会","XIN","2003","华侨 华人 团体 24日 在 中国 驻 大阪<br>总领事馆 举行 <b>座谈会</b> ,<br>纪念 “ 汪辜会 谈 ” 10周年 。 与会<br>者表","ML"
"座谈会/Na/CNA_CMN_20001030_wpr/28765",-0.0403089327138885,0.0561227816615836,"座谈会","CNA","2000","定 不尽 相符 , 因此 今晚 召开 的<br>是 五院 <b>座谈会</b> 。 陈哲男<br>说 , 总统 今晚 听取 五院 院长 的","TW"
"论坛/Na/ZBN_CMN_20001116_wpr/5347",-0.0258633611152485,-0.00878770029898723,"论坛","ZBN","2000","经济 合作 论坛 主办国 每 年 都 会<br>安排 出席 <b>论坛</b> 的 各 国<br>领袖 以 协调 的 服装 亮相 ，","SG"
"座谈会/Na/CNA_CMN_20010111_wpr/1784",-0.0285151639802184,0.0103921238412429,"座谈会","CNA","2001","。 然而 , 他 在 华盛顿 法律 基金会<br>举行 的 <b>座谈会</b> 中 指出<br>, 布希 新政 府会 採取 加强 安全 的","TW"
"论坛/Na/XIN_CMN_20030605_wpr/59284",-0.188422752840946,0.031332123334399,"论坛","XIN","2003",", 再 也 不能 通过 人民 团结党 在<br>欧洲 议会 <b>论坛</b> 或 地方<br>政府 发布 消息 了 。 他 认为 这","ML"
"论坛/Na/XIN_CMN_20010126_wpr/9011",0.016458660489362,-0.107531445945626,"论坛","XIN","2001","保护 环境 和 提高 教育 水平 。 据<br>世界 经济 <b>论坛</b> 估计 ,<br>约 有 3000多 名 政界 领导人 、<br>企业界","ML"
"论坛/Na/XIN_CMN_20030725_wpr/24227",-0.0272594352342065,-0.0860800698553015,"论坛","XIN","2003","国际 采购 为 一体 , 将 采取 全球<br>采 购 <b>论坛</b> 、 采购商 情况<br>说明会 、 采购 洽谈会 、 商品 展示会","ML"
"研讨会/Na/CNA_CMN_20001122_wpr/32481",-0.00135053010310522,0.00175796873678117,"研讨会","CNA","2000","应用 学术 研讨会 及第 九 届 国际 电脑<br>辅助 教学 <b>研讨会</b> 今天 起<br>在 台北 圆山 饭店 举行 , 副总统 吕秀莲","TW"
"座谈会/Na/ZBN_CMN_20030513_wpr/16883",0.111126478417749,-0.0358411822397862,"座谈会","ZBN","2003","Napier ） ， 最近 为 客户 展开<br>了 一 系列 <b>座谈会</b> ， 告诉<br>他们 如何 保护 自己 ， 避免 惹上 官司","SG"
"论坛/Na/CNA_CMN_20001026_wpr/66228",0.0523669769611922,-0.0143792311501174,"论坛","CNA","2000","经济 研究所 所长 樊纲 二十五日 在 「<br>新 世纪 管理 <b>论坛</b> 」 演讲<br>时 表示 , 资本 市场 对 经济 的","TW"
"论坛/Na/XIN_CMN_20001001_wpr/79132",-0.0953721217501791,-0.104508579620249,"论坛","XIN","2000","合作 最 具 潜力 新华社 卢萨卡 9月<br>30日电 中非 合作 <b>论坛</b><br>配合稿 : 中 非 农业 合作 最 具 潜力<br>新华社","ML"
"研讨会/Na/XIN_CMN_20010120_wpr/30135",-0.00525538379530279,-0.0782320755211422,"研讨会","XIN","2001","摩 托 新 品 展示 展销会 、 摩托 特种<br>旅游 <b>研讨会</b> 等 。 本次<br>活动 由 银川市 人民 政府 、 宁夏","ML"
"研讨会/Na/XIN_CMN_20001120_wpr/35582",-0.0557059169653039,-0.0733643743934248,"研讨会","XIN","2000",": 乡情 报告 大会 、 第 六 届 国际客<br>家学 <b>研讨会</b> 、 闽西 族谱展<br>、 客家 风情 书画 摄影 展 、","ML"
"研讨会/Na/XIN_CMN_20001120_wpr/41143",0.00923599172215592,0.0057675024048385,"研讨会","XIN","2000","专题 进行 研讨 。 为期 4 天 的 此次<br>学术 <b>研讨会</b> 是 由 孙中山<br>基金会 、 孙中 山 故居 纪念馆 联合","ML"
"论坛/Na/XIN_CMN_20030912_wpr/31338",0.0434592001133709,-0.0590476586243635,"论坛","XIN","2003","物资 安全 、 及时 外运 。 ( 外事<br>) 外交学院 <b>论坛</b> 推出 系列<br>讲座 新华社 北京 9月 12日 电 (<br>记者","ML"
"座谈会/Na/CNA_CMN_20030810_wpr/4835",-0.0496553947576562,0.0479866181518321,"座谈会","CNA","2003","嘉义市 中油 训练所 中山堂 大厅 ， 举行<br>嘉义市 党务 发展 <b>座谈会</b><br>， 由于 会议 谢绝 媒体 採访 ， 因此<br>会 后","TW"
"研讨会/Na/ZBN_CMN_20030722_wpr/49382",-0.013722479868078,-0.00562935498420073,"研讨会","ZBN","2003","的 管理 经验 。 由 新加坡 主办 的<br>这 个 <b>研讨会</b> ， 是 亚细安<br>政府 首长 去年 在 吉隆坡 举行 反恐","SG"
"研讨会/Na/CNA_CMN_20001210_wpr/81841",0.0161257491942402,0.0108781733090764,"研讨会","CNA","2000","八日 晚间 抵 达 澳门 地区 参加 一<br>项 学术 <b>研讨会</b> , 行程<br>相当 低调 , 一 方 面 参加 研讨会","TW"
"论坛/Na/XIN_CMN_20030630_wpr/20723",0.0646439963603177,-0.106122016881999,"论坛","XIN","2003","曹银康 ) “ 长江三角洲 旅游 城市 15<br>+ 1 高峰 <b>论坛</b> ” 将<br>于 7月 5 日 至 6 日 在","ML"
"研讨会/Na/XIN_CMN_20030906_wpr/6390",0.0307808669496161,-0.0100206220859977,"研讨会","XIN","2003","地 将 举办 “ 孙毓敏 舞台 生活 50<br>年 学术 <b>研讨会</b> ” , 并<br>首 次 发行 她 编著 的 两","ML"
"座谈/Na/ZBN_CMN_20030521_wpr/37337",0.0824581016025144,0.169840644783699,"座谈","ZBN","2003","违反 受 委托 的 职责 。 本报 协办<br>中小企业 求存 <b>座谈</b> 经济<br>持续 不景气 ， 本地 中小企业 还有 生存空间<br>吗 ？","SG"
"研讨会/Na/CNA_CMN_20001214_wpr/92220",0.0234774760443861,0.00349498656969819,"研讨会","CNA","2000","成果 。 这 场 「 都市 原住民 政策国<br>际 学术 <b>研讨会</b> 」 , 今<br>明 两 天 在在 政治 大学 综合","TW"
"论坛/Na/CNA_CMN_20001013_wpr/155978",-0.0338339727444598,-0.0155181673788118,"论坛","CNA","2000","财经 会议 正副总统 出席 CHP 0219<br>中共 在 中非 合作 <b>论坛</b><br>上 为 其 不良 人权 纪录 辩护 CHP<br>0220 长荣","TW"
"座谈会/Na/CNA_CMN_20001222_wpr/32795",-0.0537886571947104,0.0537978076376054,"座谈会","CNA","2000","争议 较 大 , 经过法 律 委员会 多<br>次 召开 <b>座谈会</b> 和 论证<br>会 , 现已 取得 了 一 致意 见","TW"
"论坛/Na/XIN_CMN_20001012_wpr/22407",-0.0301305832822993,-0.00706398439080568,"论坛","XIN","2000","应 江泽民 主席 的 邀请 来 京 出席<br>中非 合作 <b>论坛</b> 会议 ,<br>并 对 中国 再次 访问 。 埃亚德马 认为","ML"
"论坛/Na/ZBN_CMN_20030514_wpr/33408",0.0320112312190742,-0.060188720724786,"论坛","ZBN","2003","公司 （ AIA ） 昨天 首 次 在 公开<br>集体 <b>论坛</b> 上 回答 了 保户<br>的 提问 ， 但 保户 仍","SG"
