"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"住家/Na/ZBN_CMN_20030415_wpr/41769",-0.100270221678252,-0.0470700720471086,"住家","ZBN","2003","下/Ng 判/VE 。/PERIODCATEGORY<br>此外/Cbb ，/COMMACATEGORY/1.081<br>警方/Na/1.354 昨天/Nd/1.076<br>在/P/1.186 安华/Nb/4.138<br>的/DE <b>住家/Na</b> 和/Caa<br>监狱/Nc 外面/Ncd/2.482 加强/VC<br>戒备/VA ，/COMMACATEGORY/1.081<br>防止/VE 他/Nh 的/DE 支持/Nv","下/Ng 判/VE 。/PERIODCATEGORY<br>此外/Cbb ，/COMMACATEGORY/1.081<br>警方/Na/1.354 昨天/Nd/1.076<br>在/P/1.186 安华/Nb/4.138<br>的/DE <b>住家/Na</b> 和/Caa<br>监狱/Nc 外面/Ncd/2.482 加强/VC<br>戒备/VA ，/COMMACATEGORY/1.081<br>防止/VE 他/Nh 的/DE 支持/Nv","SG"
"房屋/Na/ZBN_CMN_20030408_wpr/35855",-0.0376528937536681,-0.0541183596326611,"房屋","ZBN","2003","萨达姆/Nb 住/VCL/1.783 在/P<br>巴格/Nb/2.241 达/VJ 几/Neu<br>个/Nf 地区/Nc 的/DE 私人/Nh/3.944<br><b>房屋/Na</b> 里/Ncd ，/COMMACATEGORY<br>身穿/VJ/1.468 长袍/Na/4.063<br>，/COMMACATEGORY 头/Ncd<br>戴/VC 传统/Na 方格/Na 图案/Na","萨达姆/Nb 住/VCL/1.783 在/P<br>巴格/Nb/2.241 达/VJ 几/Neu<br>个/Nf 地区/Nc 的/DE 私人/Nh/3.944<br><b>房屋/Na</b> 里/Ncd ，/COMMACATEGORY<br>身穿/VJ/1.468 长袍/Na/4.063<br>，/COMMACATEGORY 头/Ncd<br>戴/VC 传统/Na 方格/Na 图案/Na","SG"
"住宅/Na/CNA_CMN_20030422_wpr/3068",-0.209778714113655,0.0631647538834858,"住宅","CNA","2003","美军/Na 以/P 四/Neu 枚/Nf/1.225<br>两千/Neu 磅/Nf 炸弹/Na/1.323<br>轰炸/VC/3.089 那/Nep 个/Nf<br><b>住宅/Na</b> ，/COMMACATEGORY<br>炸死/VC/1.670 了/Di 那/Nep<br>名/Nf 酋长/Na 。/PERIODCATEGORY<br>除了/P 那/Nep 名/Nf","美军/Na 以/P 四/Neu 枚/Nf/1.225<br>两千/Neu 磅/Nf 炸弹/Na/1.323<br>轰炸/VC/3.089 那/Nep 个/Nf<br><b>住宅/Na</b> ，/COMMACATEGORY<br>炸死/VC/1.670 了/Di 那/Nep<br>名/Nf 酋长/Na 。/PERIODCATEGORY<br>除了/P 那/Nep 名/Nf","TW"
"房屋/Na/CNA_CMN_20010125_wpr/29357",0.0627780189777043,0.0905385294446362,"房屋","CNA","2001","专业化/VHC 的/DE 出租/Nv/4.944<br>住宅/Na/1.981 会/D 更加/Dfa<br>蓬勃/VH/1.386 发展/Na 。/PERIODCATEGORY<br>信义/Na/6.700 <b>房屋/Na</b><br>张欣民/Nb/5.684 预言/Na/2.252<br>,/COMMACATEGORY 租屋/VA/4.359<br>在/P 廿/Neu 一世纪/Nd 将/D<br>会/D 成为/VG","专业化/VHC 的/DE 出租/Nv/4.944<br>住宅/Na/1.981 会/D 更加/Dfa<br>蓬勃/VH/1.386 发展/Na 。/PERIODCATEGORY<br>信义/Na/6.700 <b>房屋/Na</b><br>张欣民/Nb/5.684 预言/Na/2.252<br>,/COMMACATEGORY 租屋/VA/4.359<br>在/P 廿/Neu 一世纪/Nd 将/D<br>会/D 成为/VG","TW"
"住家/Na/ZBN_CMN_20030917_wpr/55837",-0.0644918485391393,-0.00913868407412321,"住家","ZBN","2003","里/Ncd/1.367 足足/VH 待/VC<br>了/Di 8/Neu 个/Nf 月/Na<br>，/COMMACATEGORY/1.081<br>才/Da 在/P/1.186 <b>住家/Na</b><br>附近/Nc/4.607 的/DE 圣路加/Nb/7.769<br>乐龄/Na/2.357 关怀/VJ/1.660<br>中心/Nc 找到/VC/1.768 新/VH<br>的/DE 工作/Nv","里/Ncd/1.367 足足/VH 待/VC<br>了/Di 8/Neu 个/Nf 月/Na<br>，/COMMACATEGORY/1.081<br>才/Da 在/P/1.186 <b>住家/Na</b><br>附近/Nc/4.607 的/DE 圣路加/Nb/7.769<br>乐龄/Na/2.357 关怀/VJ/1.660<br>中心/Nc 找到/VC/1.768 新/VH<br>的/DE 工作/Nv","SG"
"住宅/Na/XIN_CMN_20030529_wpr/25709",0.123219444670904,0.219160371085631,"住宅","XIN","2003","对策/Na 的/DE 最终/A 报告/Na<br>。/PERIODCATEGORY 报告/Na<br>认为/VE ,/COMMACATEGORY<br>通过/Nv 实施/Nv <b>住宅/Na</b><br>防震/VH/3.356 、/PAUSECATEGORY<br>建设/Na/2.071 防潮堤/Nc/6.604<br>和/Caa 防止/VE 山体滑坡/Na 等/VC<br>对策/Na ,/COMMACATEGORY","对策/Na 的/DE 最终/A 报告/Na<br>。/PERIODCATEGORY 报告/Na<br>认为/VE ,/COMMACATEGORY<br>通过/Nv 实施/Nv <b>住宅/Na</b><br>防震/VH/3.356 、/PAUSECATEGORY<br>建设/Na/2.071 防潮堤/Nc/6.604<br>和/Caa 防止/VE 山体滑坡/Na 等/VC<br>对策/Na ,/COMMACATEGORY","ML"
"住宅/Na/ZBN_CMN_20001023_wpr/36957",0.120503880498546,0.0496309841129474,"住宅","ZBN","2000","是/SHI 最好/VH 的/DE 佐证/Na<br>。/PERIODCATEGORY 最近/Nd<br>，/COMMACATEGORY 中国/Nc<br>政府/Na 提出/VC <b>住宅/Na</b><br>建设/Na/2.071 要/D 向/P 产业/Na/1.142<br>化/VG/1.862 、/PAUSECATEGORY<br>现代化/VHC/2.659 、/PAUSECATEGORY<br>标准化/VHC ，/COMMACATEGORY","是/SHI 最好/VH 的/DE 佐证/Na<br>。/PERIODCATEGORY 最近/Nd<br>，/COMMACATEGORY 中国/Nc<br>政府/Na 提出/VC <b>住宅/Na</b><br>建设/Na/2.071 要/D 向/P 产业/Na/1.142<br>化/VG/1.862 、/PAUSECATEGORY<br>现代化/VHC/2.659 、/PAUSECATEGORY<br>标准化/VHC ，/COMMACATEGORY","SG"
"住家/Na/CNA_CMN_20001205_wpr/99817",-0.154424503810651,0.0384583945682418,"住家","CNA","2000","上午/Nd 指挥/VC 县警局/Nc 刑警队/Nc<br>同步/VH 前往/VCL/1.868 林口/Nc/3.082<br>乡长蔡/Nb/7.076 宗/Nf 一/Neu<br><b>住家/Na</b> 以及/Caa 乡代会/Nc/5.690<br>副主席/Na/1.007 周业丰/Nb/6.590<br>住家/Na/1.838 搜索/VC/3.123<br>,/COMMACATEGORY 并且/Cbb<br>将/P 两/Neu","上午/Nd 指挥/VC 县警局/Nc 刑警队/Nc<br>同步/VH 前往/VCL/1.868 林口/Nc/3.082<br>乡长蔡/Nb/7.076 宗/Nf 一/Neu<br><b>住家/Na</b> 以及/Caa 乡代会/Nc/5.690<br>副主席/Na/1.007 周业丰/Nb/6.590<br>住家/Na/1.838 搜索/VC/3.123<br>,/COMMACATEGORY 并且/Cbb<br>将/P 两/Neu","TW"
"住家/Na/ZBN_CMN_20030719_wpr/53116",-0.0579373142685746,-0.0835902125846466,"住家","ZBN","2003","公里/Nf 内/Ng 的/DE 孩童/Na<br>最先/D 享有/VJ 优先权/Na/4.936<br>，/COMMACATEGORY/1.081<br>接着/D/1.453 是/SHI <b>住家/Na</b><br>在/P/1.186 学校/Nc/1.519<br>一/Neu 至/Caa 两/Neu 公里/Nf<br>的/DE 孩童/Na ，/COMMACATEGORY/1.081<br>最后/Nd","公里/Nf 内/Ng 的/DE 孩童/Na<br>最先/D 享有/VJ 优先权/Na/4.936<br>，/COMMACATEGORY/1.081<br>接着/D/1.453 是/SHI <b>住家/Na</b><br>在/P/1.186 学校/Nc/1.519<br>一/Neu 至/Caa 两/Neu 公里/Nf<br>的/DE 孩童/Na ，/COMMACATEGORY/1.081<br>最后/Nd","SG"
"住家/Na/CNA_CMN_20001008_wpr/62399",-0.0944470257341853,-0.003606867176984,"住家","CNA","2000","眠/VA 。/PERIODCATEGORY<br>李大华/Nb 隔/P 天/Nc 一大早/Nd/2.824<br>就/D 穿着/VC/3.037 睡衣/Na/4.385<br>到/P/2.321 <b>住家/Na</b><br>附近/Nc/4.607 的/DE 莱尔富/Nc/6.064<br>便利商店/Nc/4.732 ,/COMMACATEGORY<br>寻找/Nv 刚/D 出炉/VH 的/DE<br>CD/FW","眠/VA 。/PERIODCATEGORY<br>李大华/Nb 隔/P 天/Nc 一大早/Nd/2.824<br>就/D 穿着/VC/3.037 睡衣/Na/4.385<br>到/P/2.321 <b>住家/Na</b><br>附近/Nc/4.607 的/DE 莱尔富/Nc/6.064<br>便利商店/Nc/4.732 ,/COMMACATEGORY<br>寻找/Nv 刚/D 出炉/VH 的/DE<br>CD/FW","TW"
