"id","x","y","variant","corpus","year","text","lect"
"丈夫/Na/ZBN_CMN_20030812_wpr/68112",-0.0428373133376303,-0.0146520079158597,"丈夫","ZBN","2003","新山 永远 是 呼唤 我 的 名字 。 我<br>的 <b>丈夫</b> 叫 新加坡 是 个<br>称职 的 丈夫 ， 这 是","SG"
"先生/Na/ZBN_CMN_20030921_wpr/24115",-0.0488440048963926,-0.0491092103988201,"先生","ZBN","2003","备用 轮胎 这 才 由 警员 帮忙 换上<br>。 张 <b>先生</b> 反应 迅速 ，<br>虽然 坐 德士尾 追 匪徒 ， 最后","SG"
"丈夫/Na/XIN_CMN_20030623_wpr/20541",-0.060305110820806,-0.0448343254446125,"丈夫","XIN","2003","这 种 自由 自在 的 感觉 。 ” 范徐丽泰<br>与 <b>丈夫</b> 都 喜欢 打 高尔夫球<br>, 夫妻 两 人 有空 会","ML"
"先生/Na/ZBN_CMN_20030706_wpr/1796",0.0859285510375873,0.218387266241842,"先生","ZBN","2003","反映 。 建 屋发展局 盛港 分局 主任<br>陈炎 松 董 <b>先生</b> 的 去留<br>七月 一日 香港 数十万 人 上街 ， 充分","SG"
"先生/Na/CNA_CMN_20001012_wpr/95483",-0.158937077001696,-0.185525440174446,"先生","CNA","2000","请 旅客 见谅 。 891012 高东萍<br>要求 法务部 停止 她 <b>先生</b><br>卓长仁 死刑 执行 ( 中央社 记者 黄自强<br>台北 十二日电 )","TW"
"丈夫/Na/ZBN_CMN_20030411_wpr/5650",-0.0679838382257824,-0.021282864350044,"丈夫","ZBN","2003","的 所有 资料会 获得 保密 limFit<br>健胸 的 成功 例证 <b>丈夫</b><br>对于 她 丰胸 后 的 效果 非常 满意<br>… Ms","SG"
"丈夫/Na/ZBN_CMN_20030512_wpr/32265",-0.0756864129818639,-0.0156386668037626,"丈夫","ZBN","2003","如初 床头 吵架 ， 床 尾 和 。 少妇<br>的 <b>丈夫</b> 原谅 她 ， 两<br>人 已 和好 如初 。 少妇","SG"
"丈夫/Na/ZBN_CMN_20030705_wpr/58494",-0.033614293757238,-0.00760611010182528,"丈夫","ZBN","2003","1998年 情人节 当天 二披 婚纱 ，<br>她 的 第一 个 <b>丈夫</b> 是<br>好 莱 坞 制片 麦可葛林柏格 ， 但 婚姻<br>仅","SG"
"丈夫/Na/ZBN_CMN_20030910_wpr/23611",-0.0331199646155768,-0.000270675882688334,"丈夫","ZBN","2003","时 说 ， 她 是 在 星期一 下午 接到<br>注册 <b>丈夫</b> 的 电话 说 ：<br>“ 我 被 证实 感染 沙斯","SG"
"丈夫/Na/ZBN_CMN_20030626_wpr/12167",-0.0538196113046618,-0.0134453710633333,"丈夫","ZBN","2003","但是 我 也 能够 有 商 有 量 ， 听取<br><b>丈夫</b> 或 家人 的 意见 。<br>” 这 名 在 98","SG"
"丈夫/Na/CNA_CMN_20001210_wpr/36720",-0.300778055367557,0.165448305795774,"丈夫","CNA","2000","深入 虎穴 救夫 的 经过 。 不过 ,<br>由于 艾丽丝 <b>丈夫</b> 服务 的<br>单位 与 保险 公司 都 不 愿意 施以","TW"
"先生/Na/ZBN_CMN_20030516_wpr/68788",-0.0387520655286724,0.025928056482133,"先生","ZBN","2003","遭 屋主 逼迁 后 ， 学生 们 尝试 联络<br>张 <b>先生</b> ， 请 他 出面<br>处理 ， 但 常常 都 无法","SG"
"先生/Na/ZBN_CMN_20030821_wpr/24120",-0.0161761192411096,0.118607333750685,"先生","ZBN","2003","轿车 以 飞快 速度 ， 向 他 驶来 。<br>王 <b>先生</b> 说 ， 他 定神<br>一 看 ， 发现 车 内","SG"
"丈夫/Na/ZBN_CMN_20030406_wpr/100248",-0.0654477142148858,-0.0277440695658865,"丈夫","ZBN","2003","遇郑雷 那 个 芳 心 暗 喜 的 表情<br>－－ <b>丈夫</b> 刚刚 被 杀 的<br>惨痛 忽然 被 抛到 九霄云外 ，","SG"
"先生/Na/XIN_CMN_20001107_wpr/42671",-0.0271475112734195,0.078631544328572,"先生","XIN","2000","钟头 , 真 想不到 ! ” 11月 6日<br>, 朱 <b>先生</b> 回 济南 见到<br>记者 后 掏出 一 张 1996年 出版","ML"
"丈夫/Na/ZBN_CMN_20030404_wpr/69183",-0.0324724672532575,-0.00483945008073909,"丈夫","ZBN","2003","阮丽真 和 丈夫 结婚 16 年 ， 她<br>曾 在 <b>丈夫</b> 的 二手 车行<br>帮忙 ， 她 也 声称 自己 在","SG"
"丈夫/Na/ZBN_CMN_20030618_wpr/22030",-0.031783030660055,0.00029642480145691,"丈夫","ZBN","2003","洋 经理 的 妻子 是 匈牙利人 ， 她<br>是 因为 <b>丈夫</b> 派驻 新加坡<br>工作 而 随 丈夫 到 本 地 居住","SG"
"丈夫/Na/ZBN_CMN_20001216_wpr/23671",-0.0579743597916147,-0.00757182186320773,"丈夫","ZBN","2000","她 的 求助 置之不理 ， 而 会 帮助<br>她 和 <b>丈夫</b> 解决 最 棘手<br>的 问题 ， 那 就是 心平 气合","SG"
"先生/Na/ZBN_CMN_20030925_wpr/2136",0.0634789821173333,-0.00126245719705719,"先生","ZBN","2003","不安 全 ， 又 不雅观 。 国家 环境局<br>答覆 编辑 <b>先生</b> ： 贵 报<br>在 9月 14日 刊登 读者 电话 留言","SG"
"丈夫/Na/ZBN_CMN_20030515_wpr/68546",-0.0756477303555044,0.00754749052609562,"丈夫","ZBN","2003","被告 被 指 在 义顺 工业园 用 铁条<br>重击 死者 <b>丈夫</b> 的 头 和<br>背 ， 以及 抢走 他 的 皮夹","SG"
"先生/Na/ZBN_CMN_20030801_wpr/77568",-0.0366371406590046,-0.109455412407827,"先生","ZBN","2003","一 只 狼 ， 不 就 得了 。 ” 私塾<br><b>先生</b> 要 她 读 《 女 诫<br>》 。 武则天 问","SG"
"先生/Na/ZBN_CMN_20030719_wpr/20525",-0.0223373153327271,0.0487363076520554,"先生","ZBN","2003","。 他 察觉 事 有 不妙 ， 立刻 通知<br>陈 <b>先生</b> 来 查看 。 “<br>我们 后来 在 隔壁 摊 一","SG"
"先生/Na/ZBN_CMN_20030821_wpr/24191",-0.0238668872026459,0.0315401166993519,"先生","ZBN","2003","拨电 报警 说 时 迟 、 那时 快 ，<br>王 <b>先生</b> 左边 身体 ， 惨<br>被 夹 在 轿车 和 德士","SG"
"先生/Na/CNA_CMN_20001004_wpr/21830",0.117585346302147,0.178049807221884,"先生","CNA","2000","秘书长 由 前 行政院 副院长 游钖 (<br>方方 土 ) <b>先生</b> 出任 。<br>三 、 内阁 将 立即 进行 小幅 改组","TW"
"丈夫/Na/ZBN_CMN_20030805_wpr/61699",-0.0539570294278377,0.012188624315094,"丈夫","ZBN","2003","显得 相当 开心 。 据 邻居 说 ， 死者<br>的 <b>丈夫</b> （ 约 60 岁<br>） 是 一 名 酱 油商","SG"
"先生/Na/ZBN_CMN_20030413_wpr/29311",0.0397787127648594,-0.300165048238122,"先生","ZBN","2003","组屋 底层 看 报纸 ， 有时 发 发呆<br>。 卓 <b>先生</b> 上 有 兄姐<br>、 下 有 弟妹 ， 但是 这","SG"
"先生/Na/ZBN_CMN_20030531_wpr/16910",-0.0079992424488072,-0.00769229324556925,"先生","ZBN","2003","现在 的 男人 都 流行 姐弟 恋 吗 ？<br>我 <b>先生</b> 已 不能 自拔 了<br>。 我 和 我 的 先生","SG"
"先生/Na/XIN_CMN_20010101_wpr/80178",0.165411523159162,-0.0565355997304174,"先生","XIN","2001","振兴 开辟 了 道路 。 近 百年 来 ,<br>中山 <b>先生</b> 的 思想 、 品格<br>和 精神 对 中国 的 革命","ML"
"先生/Na/XIN_CMN_20001120_wpr/41085",0.0710674344435406,0.0303244371775146,"先生","XIN","2000","社会 变革 学术 讨论会 ” 今天 上午<br>在 孙 中山 <b>先生</b> 的 家乡<br>广东省 中 山市 翠亨村 举行 , 120多<br>位","ML"
"先生/Na/XIN_CMN_20001124_wpr/41090",0.178269767790072,-0.0844220162561492,"先生","XIN","2000","著名 文化 老人 王辛笛 和 黄裳 的 手笔<br>。 辛笛 <b>先生</b> 以 他 诗人<br>的 气质 , 概述 了 他 与","ML"
"先生/Na/ZBN_CMN_20030907_wpr/20364",0.497585930758453,0.163728218383415,"先生","ZBN","2003","， 访问 了 福建 牒谱 专家 并 拜访<br>了 陈明德 <b>先生</b> ， 抽丝剥茧<br>地 将 瓦希德 寻祖 记 呈现出来 。 青年","SG"
"丈夫/Na/ZBN_CMN_20030525_wpr/21119",-0.044559312462899,-0.00121281859688598,"丈夫","ZBN","2003","嫁给 大 她 一 年 ， 今年 28 岁<br>的 <b>丈夫</b> 。 她 的 丈夫<br>是 英国 留学生 ， 在 一","SG"
