"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"丈夫/Na/ZBN_CMN_20030812_wpr/68112",-0.0428373133376303,-0.0146520079158597,"丈夫","ZBN","2003","新山/Nb/1.966 永远/D/1.329<br>是/SHI 呼唤/VC 我/Nh/1.469<br>的/DE 名字/Na 。/PERIODCATEGORY<br>我/Nh/1.469 的/DE <b>丈夫/Na</b><br>叫/VF/2.666 新加坡/Nc 是/SHI<br>个/Nf 称职/VH/2.635 的/DE<br>丈夫/Na/3.397 ，/COMMACATEGORY/1.106<br>这/Nep 是/SHI","新山/Nb/1.966 永远/D/1.329<br>是/SHI 呼唤/VC 我/Nh/1.469<br>的/DE 名字/Na 。/PERIODCATEGORY<br>我/Nh/1.469 的/DE <b>丈夫/Na</b><br>叫/VF/2.666 新加坡/Nc 是/SHI<br>个/Nf 称职/VH/2.635 的/DE<br>丈夫/Na/3.397 ，/COMMACATEGORY/1.106<br>这/Nep 是/SHI","SG"
"先生/Na/ZBN_CMN_20030921_wpr/24115",-0.0488440048963926,-0.0491092103988201,"先生","ZBN","2003","备用/VH 轮胎/Na 这/Nep 才/Da<br>由/P 警员/Na 帮忙/VC/1.565<br>换上/VC/1.384 。/PERIODCATEGORY<br>张/Nf/1.941 <b>先生/Na</b><br>反应/Na 迅速/VH ，/COMMACATEGORY<br>虽然/Cbb 坐/VA/1.507 德士尾/Nc<br>追/VC 匪徒/Na ，/COMMACATEGORY<br>最后/Nd","备用/VH 轮胎/Na 这/Nep 才/Da<br>由/P 警员/Na 帮忙/VC/1.565<br>换上/VC/1.384 。/PERIODCATEGORY<br>张/Nf/1.941 <b>先生/Na</b><br>反应/Na 迅速/VH ，/COMMACATEGORY<br>虽然/Cbb 坐/VA/1.507 德士尾/Nc<br>追/VC 匪徒/Na ，/COMMACATEGORY<br>最后/Nd","SG"
"丈夫/Na/XIN_CMN_20030623_wpr/20541",-0.060305110820806,-0.0448343254446125,"丈夫","XIN","2003","这/Nep 种/Nf 自由/Na 自在/VH<br>的/DE 感觉/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>范徐丽泰/Nb/4.434 与/Caa/1.024<br><b>丈夫/Na</b> 都/D 喜欢/Nv/1.195<br>打/VC/1.489 高尔夫球/Na/1.905<br>,/COMMACATEGORY 夫妻/Na/2.903<br>两/Neu 人/Na 有空/VH 会/D","这/Nep 种/Nf 自由/Na 自在/VH<br>的/DE 感觉/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>范徐丽泰/Nb/4.434 与/Caa/1.024<br><b>丈夫/Na</b> 都/D 喜欢/Nv/1.195<br>打/VC/1.489 高尔夫球/Na/1.905<br>,/COMMACATEGORY 夫妻/Na/2.903<br>两/Neu 人/Na 有空/VH 会/D","ML"
"先生/Na/ZBN_CMN_20030706_wpr/1796",0.0859285510375873,0.218387266241842,"先生","ZBN","2003","反映/Nv 。/PERIODCATEGORY<br>建/VC 屋发展局/Nc 盛港/Nc/1.605<br>分局/Nc 主任/Na 陈炎/Nb/5.400<br>松/Na 董/Nb/4.885 <b>先生/Na</b><br>的/DE 去留/Na/2.633 七月/Nd<br>一日/Nd 香港/Nc 数十万/Neu 人/Na<br>上街/VA ，/COMMACATEGORY<br>充分/VH","反映/Nv 。/PERIODCATEGORY<br>建/VC 屋发展局/Nc 盛港/Nc/1.605<br>分局/Nc 主任/Na 陈炎/Nb/5.400<br>松/Na 董/Nb/4.885 <b>先生/Na</b><br>的/DE 去留/Na/2.633 七月/Nd<br>一日/Nd 香港/Nc 数十万/Neu 人/Na<br>上街/VA ，/COMMACATEGORY<br>充分/VH","SG"
"先生/Na/CNA_CMN_20001012_wpr/95483",-0.158937077001696,-0.185525440174446,"先生","CNA","2000","请/VF/1.126 旅客/Na 见谅/VA<br>。/PERIODCATEGORY 891012/Neu<br>高东萍/Nb 要求/Na 法务部/Nc 停止/VF<br>她/Nh <b>先生/Na</b> 卓长仁/Nb/4.590<br>死刑/Na 执行/VC (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 黄自强/Nb 台北/Nc<br>十二日电/Nd )/PARENTHESISCATEGORY","请/VF/1.126 旅客/Na 见谅/VA<br>。/PERIODCATEGORY 891012/Neu<br>高东萍/Nb 要求/Na 法务部/Nc 停止/VF<br>她/Nh <b>先生/Na</b> 卓长仁/Nb/4.590<br>死刑/Na 执行/VC (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 黄自强/Nb 台北/Nc<br>十二日电/Nd )/PARENTHESISCATEGORY","TW"
"丈夫/Na/ZBN_CMN_20030411_wpr/5650",-0.0679838382257824,-0.021282864350044,"丈夫","ZBN","2003","的/DE 所有/Nv 资料会/Nc 获得/Nv<br>保密/Nv limFit/FW 健胸/Na/3.376<br>的/DE 成功/VH 例证/Na/2.785<br><b>丈夫/Na</b> 对于/P 她/Nh/3.287<br>丰胸/Na/5.301 后/Na/2.164<br>的/DE 效果/Na 非常/Dfa 满意/VK<br>…/ETCCATEGORY/1.609 Ms/FW","的/DE 所有/Nv 资料会/Nc 获得/Nv<br>保密/Nv limFit/FW 健胸/Na/3.376<br>的/DE 成功/VH 例证/Na/2.785<br><b>丈夫/Na</b> 对于/P 她/Nh/3.287<br>丰胸/Na/5.301 后/Na/2.164<br>的/DE 效果/Na 非常/Dfa 满意/VK<br>…/ETCCATEGORY/1.609 Ms/FW","SG"
"丈夫/Na/ZBN_CMN_20030512_wpr/32265",-0.0756864129818639,-0.0156386668037626,"丈夫","ZBN","2003","如初/VH/4.657 床头/Nc 吵架/VA/4.126<br>，/COMMACATEGORY/1.106<br>床/Nf 尾/Na 和/Caa 。/PERIODCATEGORY<br>少妇/Na/5.216 的/DE <b>丈夫/Na</b><br>原谅/VJ/3.711 她/Nh/3.287<br>，/COMMACATEGORY/1.106<br>两/Neu 人/Na 已/D 和好/Nv/3.947<br>如初/VH/4.657 。/PERIODCATEGORY<br>少妇/Na/5.216","如初/VH/4.657 床头/Nc 吵架/VA/4.126<br>，/COMMACATEGORY/1.106<br>床/Nf 尾/Na 和/Caa 。/PERIODCATEGORY<br>少妇/Na/5.216 的/DE <b>丈夫/Na</b><br>原谅/VJ/3.711 她/Nh/3.287<br>，/COMMACATEGORY/1.106<br>两/Neu 人/Na 已/D 和好/Nv/3.947<br>如初/VH/4.657 。/PERIODCATEGORY<br>少妇/Na/5.216","SG"
"丈夫/Na/ZBN_CMN_20030705_wpr/58494",-0.033614293757238,-0.00760611010182528,"丈夫","ZBN","2003","1998年/Nd 情人节/Nd 当天/Nd/1.231<br>二披/VC 婚纱/Na ，/COMMACATEGORY/1.106<br>她/Nh/3.287 的/DE 第一/Neu<br>个/Nf <b>丈夫/Na</b> 是/SHI<br>好/VH/1.363 莱/b/1.859<br>坞/Na/3.258 制片/Na/2.711<br>麦可葛林柏格/Nb ，/COMMACATEGORY/1.106<br>但/Cbb 婚姻/Na/3.029 仅/Da","1998年/Nd 情人节/Nd 当天/Nd/1.231<br>二披/VC 婚纱/Na ，/COMMACATEGORY/1.106<br>她/Nh/3.287 的/DE 第一/Neu<br>个/Nf <b>丈夫/Na</b> 是/SHI<br>好/VH/1.363 莱/b/1.859<br>坞/Na/3.258 制片/Na/2.711<br>麦可葛林柏格/Nb ，/COMMACATEGORY/1.106<br>但/Cbb 婚姻/Na/3.029 仅/Da","SG"
"丈夫/Na/ZBN_CMN_20030910_wpr/23611",-0.0331199646155768,-0.000270675882688334,"丈夫","ZBN","2003","时/Ng 说/VE ，/COMMACATEGORY/1.106<br>她/Nh/3.287 是/SHI 在/P<br>星期一/Nd/1.010 下午/Nd 接到/VC/1.938<br>注册/Nv/2.875 <b>丈夫/Na</b><br>的/DE 电话/Na/1.231 说/VE<br>：/COLONCATEGORY “/PARENTHESISCATEGORY<br>我/Nh/1.469 被/P 证实/VE<br>感染/VJ 沙斯/Nb","时/Ng 说/VE ，/COMMACATEGORY/1.106<br>她/Nh/3.287 是/SHI 在/P<br>星期一/Nd/1.010 下午/Nd 接到/VC/1.938<br>注册/Nv/2.875 <b>丈夫/Na</b><br>的/DE 电话/Na/1.231 说/VE<br>：/COLONCATEGORY “/PARENTHESISCATEGORY<br>我/Nh/1.469 被/P 证实/VE<br>感染/VJ 沙斯/Nb","SG"
"丈夫/Na/ZBN_CMN_20030626_wpr/12167",-0.0538196113046618,-0.0134453710633333,"丈夫","ZBN","2003","但是/Cbb 我/Nh/1.469 也/D<br>能够/D 有/V_2 商/Na 有/V_2<br>量/Na ，/COMMACATEGORY/1.106<br>听取/VC <b>丈夫/Na</b> 或/Caa<br>家人/Na/1.943 的/DE 意见/Na<br>。/PERIODCATEGORY ”/PARENTHESISCATEGORY<br>这/Nep 名/Nf 在/P 98/Neu","但是/Cbb 我/Nh/1.469 也/D<br>能够/D 有/V_2 商/Na 有/V_2<br>量/Na ，/COMMACATEGORY/1.106<br>听取/VC <b>丈夫/Na</b> 或/Caa<br>家人/Na/1.943 的/DE 意见/Na<br>。/PERIODCATEGORY ”/PARENTHESISCATEGORY<br>这/Nep 名/Nf 在/P 98/Neu","SG"
"丈夫/Na/CNA_CMN_20001210_wpr/36720",-0.300778055367557,0.165448305795774,"丈夫","CNA","2000","深入/VH 虎穴/Na 救夫/Nb 的/DE<br>经过/Na 。/PERIODCATEGORY<br>不过/Cbb ,/COMMACATEGORY<br>由于/Cbb 艾丽丝/Nb/6.959 <b>丈夫/Na</b><br>服务/Na 的/DE 单位/Na 与/Caa/1.024<br>保险/Na 公司/Nc 都/D 不/D 愿意/VK<br>施以/VC","深入/VH 虎穴/Na 救夫/Nb 的/DE<br>经过/Na 。/PERIODCATEGORY<br>不过/Cbb ,/COMMACATEGORY<br>由于/Cbb 艾丽丝/Nb/6.959 <b>丈夫/Na</b><br>服务/Na 的/DE 单位/Na 与/Caa/1.024<br>保险/Na 公司/Nc 都/D 不/D 愿意/VK<br>施以/VC","TW"
"先生/Na/ZBN_CMN_20030516_wpr/68788",-0.0387520655286724,0.025928056482133,"先生","ZBN","2003","遭/P 屋主/Na/2.402 逼迁/VC<br>后/Ng ，/COMMACATEGORY<br>学生/Na 们/Na 尝试/Na 联络/VC/1.825<br>张/Nf/1.941 <b>先生/Na</b><br>，/COMMACATEGORY 请/VF/1.126<br>他/Nh 出面/VA 处理/VC ，/COMMACATEGORY<br>但/Cbb 常常/D/1.607 都/D<br>无法/D","遭/P 屋主/Na/2.402 逼迁/VC<br>后/Ng ，/COMMACATEGORY<br>学生/Na 们/Na 尝试/Na 联络/VC/1.825<br>张/Nf/1.941 <b>先生/Na</b><br>，/COMMACATEGORY 请/VF/1.126<br>他/Nh 出面/VA 处理/VC ，/COMMACATEGORY<br>但/Cbb 常常/D/1.607 都/D<br>无法/D","SG"
"先生/Na/ZBN_CMN_20030821_wpr/24120",-0.0161761192411096,0.118607333750685,"先生","ZBN","2003","轿车/Na 以/Cbb 飞快/D 速度/Na<br>，/COMMACATEGORY 向/P 他/Nh<br>驶来/VA/3.300 。/PERIODCATEGORY<br>王/Nb/4.366 <b>先生/Na</b><br>说/VE/1.603 ，/COMMACATEGORY<br>他/Nh 定神/VA/4.484 一/D<br>看/VC ，/COMMACATEGORY<br>发现/Nv 车/Na 内/Ncd","轿车/Na 以/Cbb 飞快/D 速度/Na<br>，/COMMACATEGORY 向/P 他/Nh<br>驶来/VA/3.300 。/PERIODCATEGORY<br>王/Nb/4.366 <b>先生/Na</b><br>说/VE/1.603 ，/COMMACATEGORY<br>他/Nh 定神/VA/4.484 一/D<br>看/VC ，/COMMACATEGORY<br>发现/Nv 车/Na 内/Ncd","SG"
"丈夫/Na/ZBN_CMN_20030406_wpr/100248",-0.0654477142148858,-0.0277440695658865,"丈夫","ZBN","2003","遇郑雷/Nb 那/Nep 个/Nf 芳/Nb<br>心/Na 暗/VH 喜/VK/1.190<br>的/DE 表情/Na/1.387 －－/Neu<br><b>丈夫/Na</b> 刚刚/D/1.043<br>被/P 杀/VC/2.091 的/DE 惨痛/Nv<br>忽然/D 被/P 抛到/VC 九霄云外/Nc<br>，/COMMACATEGORY/1.106","遇郑雷/Nb 那/Nep 个/Nf 芳/Nb<br>心/Na 暗/VH 喜/VK/1.190<br>的/DE 表情/Na/1.387 －－/Neu<br><b>丈夫/Na</b> 刚刚/D/1.043<br>被/P 杀/VC/2.091 的/DE 惨痛/Nv<br>忽然/D 被/P 抛到/VC 九霄云外/Nc<br>，/COMMACATEGORY/1.106","SG"
