"id","x","y","variant","corpus","year","text","lect"
"产业/Na/XIN_CMN_20001115_wpr/19415",-0.0360419641127582,-0.0058836466616657,"产业","XIN","2000","标志 着 未 来 北京 四 大 国际 一流<br>高科技 <b>产业</b> 基地 之 一<br>的 北京 北方 微电 子 基地 项目","ML"
"工业/Na/ZBN_CMN_20001017_wpr/9825",-0.0608386397233036,-0.00930324693484657,"工业","ZBN","2000","、 以及 苏州 市政府 、 园区 管委会<br>和 中新 苏州 <b>工业</b> 园区<br>开发 公司 对 投资商 的 承诺 不变 。<br>中国","SG"
"产业/Na/CNA_CMN_20001109_wpr/80668",0.0361736958034458,0.0507542521047403,"产业","CNA","2000","种 相互 信任 、 相互 扶持 的 精神<br>, 在 <b>产业</b> 经济 上 也<br>不可能 成长 。 知识经济 不但 是 全球化","TW"
"工业/Na/XIN_CMN_20010109_wpr/14373",-0.00130408762494858,-0.0356585204809335,"工业","XIN","2001","上报 的 数据 统计 , 全国 23 .<br>8万 家 <b>工业</b> 污染 企业<br>中 , 有 97.7 % 实现 了 达标","ML"
"产业/Na/XIN_CMN_20010122_wpr/63390",-0.027807842522216,-0.104041370969452,"产业","XIN","2001","力度 的 加大 和 汽车 、 摩托车 等<br>支 柱 <b>产业</b> 的 增长 ,<br>全 市 进口 继 上年 高速 增长","ML"
"产业/Na/CNA_CMN_20001207_wpr/144508",0.0256394837085027,0.0771485855375415,"产业","CNA","2000",", 现场 共 规划 一百 个 摊位 , 以<br>促进 <b>产业</b> 复甦 为 目的<br>, 配合 各 县市 时下 之 礼品","TW"
"产业/Na/CNA_CMN_20001220_wpr/67338",0.00711984181673592,0.00472727433465301,"产业","CNA","2000","数量 约 佔 百分之八十 。 他 指出 ,<br>大陆 影碟机 <b>产业</b> 发展 极<br>快 , 但 产品 关键部 件 仍 有赖于","TW"
"产业/Na/XIN_CMN_20001002_wpr/43110",-0.0101525438963235,0.00619484363701838,"产业","XIN","2000","能力 , 也 是 典型 的 知识 和 技术<br>密集型 <b>产业</b> 。 在 我国<br>航天 产业 20 多 万 从业 人员","ML"
"产业/Na/XIN_CMN_20001222_wpr/40375",-0.1061097001405,0.0511874914435424,"产业","XIN","2000","自己 的 足球 事业 , 成为 在 甘肃<br>开创 足球 <b>产业</b> 的 先驱<br>。 日前 , 韩金铭 创办 的 兰州 金铭","ML"
"产业/Na/CNA_CMN_20030824_wpr/4301",-0.0239249580295469,0.0192935045046299,"产业","CNA","2003","曲线 」 两 端 ， 期 许 能 将 台湾<br><b>产业</b> 由 劳力 密集 、 低<br>附加 价值 一举 转型为 技术","TW"
"产业/Na/CNA_CMN_20001015_wpr/21731",0.032112239389218,0.106107637365529,"产业","CNA","2000","金融 营业税 及 新台币 四千五百亿 元<br>专案 贷款 救传 统 <b>产业</b><br>等 措施 ; 与会 的 四 大 工商 团体<br>领导人","TW"
"工业/Na/XIN_CMN_20001020_wpr/6932",-0.0994513927708503,-0.0192107518056286,"工业","XIN","2000","之 间 最 大 的 合作 项目 ═ ═ 苏州<br><b>工业</b> 园区 也 取得 令 人<br>满意 的 进 展 。","ML"
"工业/Na/XIN_CMN_20030704_wpr/42155",-0.0894133224550751,0.07745364421483,"工业","XIN","2003","所有 经济 活动 中 发展 最 快 。 ”<br>香港 <b>工业</b> 总会 总干事 戴慧琪<br>说 , 香港 经济 的 主要 部分","ML"
"产业/Na/CNA_CMN_20001207_wpr/100554",0.0411013076945333,0.0406785119937298,"产业","CNA","2000","投资 一 事 , 张琪 表示 , 两岸 在<br>相关 <b>产业</b> 的 交流 与 合作<br>是 大势 所 趋 , 而","TW"
"产业/Na/ZBN_CMN_20010111_wpr/37756",-0.0508463420645888,0.00764729603865899,"产业","ZBN","2001","了 纳米 技术 ， 就 等于 建立 了 一<br>个 <b>产业</b> 革命 的 新 平台<br>！ ” 话题 一 转 ，","SG"
"产业/Na/CNA_CMN_20001205_wpr/97740",0.00537220816766722,0.00537908994405531,"产业","CNA","2000","在 公开 场合 露 面 , 于 「 全球<br>半导体 <b>产业</b> 」 研讨会 中<br>发表 「 大陆 半导体 业 发展 」","TW"
"产业/Na/CNA_CMN_20030609_wpr/2354",0.0393612671852576,0.0884697350103014,"产业","CNA","2003","电话 与 台湾 供应商 进 行 贸易 洽谈<br>。 台湾 <b>产业</b> 位居 国际<br>供应 链 的 枢纽 ， 是 全球 重要","TW"
"产业/Na/CNA_CMN_20001201_wpr/140585",-0.00621965981563515,0.0365779688582117,"产业","CNA","2000",", 提供 必要 的 协助 , 以 促进 国内<br>生技 <b>产业</b> 的 发展 。 891201<br>金马 主持人 陶晶莹 扮 侠女 吴奇隆","TW"
"工业/Na/ZBN_CMN_20001030_wpr/41287",-0.0069830459686103,-0.0218819299325927,"工业","ZBN","2000","天然气 石油 生产 外输 和 综合 利用<br>基地 、 食品 <b>工业</b> 和 农牧<br>产品 加工 基地 。 第六 ， 积极 发展","SG"
