"id","x","y","variant","corpus","year","text","lect"
"权益/Na/CNA_CMN_20001023_wpr/54686",-0.103882976109057,0.179844965155082,"权益","CNA","2000","台湾/Nc 已/D 超过/VJ 三十/Neu<br>年/Nf 历史/Na ,/COMMACATEGORY<br>综观/VC 消/VH 费者/Na <b>权益/Na</b><br>包括/VK 安全/Na 、/PAUSECATEGORY<br>了解/VK 、/PAUSECATEGORY<br>选择/Na 、/PAUSECATEGORY<br>投诉/VA 、/PAUSECATEGORY<br>求偿权/Na","TW"
"股份/Na/XIN_CMN_20030917_wpr/7336",0.127140802248264,-0.0348357496550893,"股份","XIN","2003","%/Nf 的/DE 股份/Na 。/PERIODCATEGORY<br>2000年/Nd 意方/Na 所/D 控/VC<br>的/DE 这些/Neqa <b>股份/Na</b><br>贬值/VH 为/VG 1.95/Neu 亿/Neu<br>欧元/Nb 。/PERIODCATEGORY<br>意/Na 大利/Nb 有关/P 部门/Na","ML"
"利润/Na/XIN_CMN_20001130_wpr/23021",0.0786773521719207,0.0142131446033804,"利润","XIN","2000","利润额/Na 1908.2/Neu 亿/Neu<br>元/Nf ,/COMMACATEGORY<br>占/VJ 424/Neu 户/Nf 盈利/Na<br>企业/Na <b>利润/Na</b> 总额/Na<br>的/DE 95.4/Neu %/Nf 。/PERIODCATEGORY<br>到/VCL 10月/Nd 末/Ng ,/COMMACATEGORY<br>重点/D","ML"
"股份/Na/XIN_CMN_20001108_wpr/46285",0.106063282032762,-0.0621918301468085,"股份","XIN","2000","县政府/Nc 分别/D 对/P 资源/Na<br>县瓷厂/Nc 、/PAUSECATEGORY<br>全/Nes 州县/Nc 纸业/Na 合作/Na<br><b>股份/Na</b> 总公/Na 司/Nb<br>、/PAUSECATEGORY 临桂县/Nc<br>三和/Nb 水泥/Na 有限公司/Nc 3/Neu<br>家/Nf 长期/Na","ML"
"权益/Na/CNA_CMN_20001205_wpr/7349",-0.0957450812801852,-0.0823729549273979,"权益","CNA","2000","一/Neu 千六百六十八/Neu 名/Nf<br>儿童/Na 至今/D 下落/VA 不明/VH<br>。/PERIODCATEGORY 义大利/Nc<br>儿童/Na <b>权益/Na</b> 促进/Nv<br>团体/Na 指出/VE ,/COMMACATEGORY<br>这/Nep 项/Nf 调查/Na 意味/Nv<br>着/Di 义/Na","TW"
"利润/Na/XIN_CMN_20030414_wpr/7382",0.0708026732245153,0.249391978525053,"利润","XIN","2003","全权/D 负责/VL 2400万/Neu<br>伊拉克人/Na 的/DE 人道/Na 主义/Na<br>救援/VC 工作/Na 和/Caa <b>利润/Na</b><br>丰厚/VH 但/Cbb 是非/Na 颇多/VH<br>的/DE 经济/Na 重建/VC 项/Nf<br>目/Na ,/COMMACATEGORY","ML"
"利润/Na/XIN_CMN_20030718_wpr/28895",0.0580409156989864,0.0201536951164288,"利润","XIN","2003",",/COMMACATEGORY 中/Ncd<br>海油/Na 实现/VC 销售/VC 收入/VC<br>208.5/Neu 亿/Neu 元/Nf<br>,/COMMACATEGORY <b>利润/Na</b><br>77.5/Neu 亿/Neu 元/Nf ,/COMMACATEGORY<br>同/Nes 比/P 分别/Na 增长/VHC<br>78/Neu %/Nf","ML"
"利润/Na/ZBN_CMN_20030909_wpr/60477",0.075884372515465,0.0884738940848761,"利润","ZBN","2003","系/Nc 里/Ncd ，/COMMACATEGORY<br>商人/Na 应该/D 要/D 有/V_2<br>应/D 得/VJ 的/DE <b>利润/Na</b><br>，/COMMACATEGORY 利润/Na<br>也/D 是/SHI 鼓励/Nv 人们/Na<br>创业/VA 经商/VA 的/DE 推动力/Na","SG"
"权益/Na/CNA_CMN_20001124_wpr/41327",-0.112180255844791,0.0874793817365244,"权益","CNA","2000","等/Cab 。/PERIODCATEGORY<br>对于/P 近日/Nd 有/V_2 人/Na<br>以/P 「/PARENTHESISCATEGORY<br>牺牲/Nv 劳工/Na <b>权益/Na</b><br>来/D 挽救/VC 经济/Na 」/PARENTHESISCATEGORY<br>的/DE 论/Na 点/Nf 批评/Na<br>行政院/Nc ,/COMMACATEGORY","TW"
"利润/Na/ZBN_CMN_20030809_wpr/86380",0.0953852883558377,-0.00199439633837921,"利润","ZBN","2003","。/PERIODCATEGORY 一些/Neqa<br>公司/Nc 把/P 成本/Na 加/VC<br>起来/Di ，/COMMACATEGORY<br>再/D 算进/VC <b>利润/Na</b><br>，/COMMACATEGORY 用/P 这/Nep<br>个/Nf 方法/Na 估计/Nv 产品/Na<br>或/Caa 服务/Na 的/DE","SG"
"利润/Na/CNA_CMN_20001218_wpr/44453",0.110946537397112,0.0230679806805852,"利润","CNA","2000","不如/VJ 1999年/Nd 高达/VJ<br>51亿/Neu 欧元/Nb (/PARENTHESISCATEGORY<br>46亿/Neu 美元/Nf )/PARENTHESISCATEGORY<br>的/DE <b>利润/Na</b> 。/PERIODCATEGORY<br>报导/Na 指出/VE ,/COMMACATEGORY<br>戴姆勒克/Nb 莱斯勒/Nb 公司/Nc<br>总裁/Na 施伦普/Nb 今天/Nd","TW"
"股份/Na/CNA_CMN_20001118_wpr/53807",0.129099523398833,-0.0822319232522085,"股份","CNA","2000","芬园乡/Nc 交界/Nc 临/P 猫罗/Nb<br>溪河床/Na 处/Nc ,/COMMACATEGORY<br>万力/Nb 油压/Na 工业/Na <b>股份/Na</b><br>有限公司/Nc 于/P 今年/Nd 八月/Nd<br>,/COMMACATEGORY 被/P 发现/Na<br>掩埋/VC 大/VH 量/VC","TW"
"股份/Na/XIN_CMN_20030518_wpr/43553",0.100090868469692,-0.0152380891116264,"股份","XIN","2003","公司/Nc 目前/Nd 掌握/VC 着/Di<br>尤文图斯/Nb 俱乐部/Nc 7/Neu<br>./FW 5%/b 的/DE <b>股份/Na</b><br>。/PERIODCATEGORY 非洲/Nc<br>国家杯/Na 足球赛/Na 决赛/Na 阶段/Na<br>的/DE 比赛/Na 将/D 于/P","ML"
"利润/Na/XIN_CMN_20030406_wpr/54166",0.0510285395122956,0.0410967612478549,"利润","XIN","2003","地带/Nc 来/D 投资/VC 、/PAUSECATEGORY<br>就业/Nv 和/Caa 税收/Na 的/DE<br>同时/Nd ,/COMMACATEGORY<br><b>利润/Na</b> 最终/D 的/DE<br>流向/Na 也/D 仍然/D 是/SHI<br>美国/Na 。/PERIODCATEGORY<br>美国人/Na 是/SHI","ML"
"权益/Na/CNA_CMN_20030913_wpr/4852",-0.185363621696686,-0.082022110925051,"权益","CNA","2003","民主/Na 政府/Na 是/SHI 唯一/Na<br>能/D 在/P 联合国/Nc 代表台/Nc<br>湾/Nc 人民/Na <b>权益/Na</b><br>的/DE 政府/Na 。/PERIODCATEGORY<br>陈忠/Nb 在/P 专文/Na 中/Ng<br>强调/VE ，/COMMACATEGORY<br>台湾/Na","TW"
"利润/Na/XIN_CMN_20030404_wpr/571",0.10732121535976,0.0339030905040035,"利润","XIN","2003","据悉/Dk ,/COMMACATEGORY<br>目前/Nd 国外/Nc 银行/Nc 中/Ncd<br>40/Neu %/Nf 左右/Na 的/DE<br><b>利润/Na</b> 都/D 来自/VJ<br>服务/Na 收费/Nv ,/COMMACATEGORY<br>花旗/Nb 银/Na 行/VA 高达/VJ<br>70/Neu","ML"
"利润/Na/ZBN_CMN_20030716_wpr/65092",0.0634837098504998,0.0534332072729549,"利润","ZBN","2003","赚/VC 了/Di 近/Nes 4万/Neu<br>元/Nf ，/COMMACATEGORY<br>比/P 卖/VD V/FW Media/FW<br><b>利润/Na</b> 高/VH 。/PERIODCATEGORY<br>律师/Na 声称/VE ，/COMMACATEGORY<br>TV/FW Media/FW 不/D 知道/VK<br>刘珂纶/Nb","SG"
