"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"生命/Na/ZBN_CMN_20030718_wpr/46049",-0.00496341230896472,-0.036059761711845,"生命","ZBN","2003","。/PERIODCATEGORY 身心健康/VH/1.867<br>的/DE 人/Na ，/COMMACATEGORY<br>都/D 应该/VH/1.248 感恩/Nv/2.744<br>，/COMMACATEGORY 让/VL<br><b>生命/Na</b> 活/VH/1.041<br>得/DE 更/Dfa 充实/VHC/2.645<br>，/COMMACATEGORY 更/Dfa<br>有/V_2 意义/Na/2.101 。/PERIODCATEGORY<br>◇/FW","。/PERIODCATEGORY 身心健康/VH/1.867<br>的/DE 人/Na ，/COMMACATEGORY<br>都/D 应该/VH/1.248 感恩/Nv/2.744<br>，/COMMACATEGORY 让/VL<br><b>生命/Na</b> 活/VH/1.041<br>得/DE 更/Dfa 充实/VHC/2.645<br>，/COMMACATEGORY 更/Dfa<br>有/V_2 意义/Na/2.101 。/PERIODCATEGORY<br>◇/FW","SG"
"生活/Na/ZBN_CMN_20030709_wpr/36182",-0.00493396339864116,-0.0256577885285273,"生活","ZBN","2003","的/DE 酒店/Nc 服务员/Na ，/COMMACATEGORY<br>也/D 会/D 看到/VC 国人/Na/1.979<br>的/DE 真实/Nv/2.630 <b>生活/Na</b><br>面貌/Na/2.545 。/PERIODCATEGORY<br>迈向/VCL/1.070 优雅/VH/2.759<br>社会/Na/1.713 是/SHI 个/Nf<br>美好/VH/3.361 理想/Na ，/COMMACATEGORY","的/DE 酒店/Nc 服务员/Na ，/COMMACATEGORY<br>也/D 会/D 看到/VC 国人/Na/1.979<br>的/DE 真实/Nv/2.630 <b>生活/Na</b><br>面貌/Na/2.545 。/PERIODCATEGORY<br>迈向/VCL/1.070 优雅/VH/2.759<br>社会/Na/1.713 是/SHI 个/Nf<br>美好/VH/3.361 理想/Na ，/COMMACATEGORY","SG"
"生命/Na/CNA_CMN_20010122_wpr/56353",0.0527917330497203,0.246959531730638,"生命","CNA","2001","可行/VH 的/DE 路/Na 。/PERIODCATEGORY<br>900122/Neu 上海/Nc 黄浦江/Nc/1.658<br>将/D 改建成/VG/3.399 上海/Na<br><b>生命/Na</b> 动脉/Na/1.818<br>︵/FW 中央社/Nc 台北/Nc 二十二日/Nd<br>电/VC ︶/FW 横贯/VH 上海/Na<br>中心/Nc","可行/VH 的/DE 路/Na 。/PERIODCATEGORY<br>900122/Neu 上海/Nc 黄浦江/Nc/1.658<br>将/D 改建成/VG/3.399 上海/Na<br><b>生命/Na</b> 动脉/Na/1.818<br>︵/FW 中央社/Nc 台北/Nc 二十二日/Nd<br>电/VC ︶/FW 横贯/VH 上海/Na<br>中心/Nc","TW"
"生活/Na/XIN_CMN_20030928_wpr/4044",-0.00869436078205291,0.0456379905817477,"生活","XIN","2003","民航/Na 、/PAUSECATEGORY<br>铁路/Na 运输/VC 中断/VC ,/COMMACATEGORY<br>给/VD 当地/Nc/1.021 居民/Na/2.806<br>的/DE <b>生活/Na</b> 造成/Nv<br>严重/Nv/1.311 影响/Nv/1.240<br>。/PERIODCATEGORY 安莎/Nb<br>社/Nc 人士/Na 说/VE ,/COMMACATEGORY<br>这/Nep","民航/Na 、/PAUSECATEGORY<br>铁路/Na 运输/VC 中断/VC ,/COMMACATEGORY<br>给/VD 当地/Nc/1.021 居民/Na/2.806<br>的/DE <b>生活/Na</b> 造成/Nv<br>严重/Nv/1.311 影响/Nv/1.240<br>。/PERIODCATEGORY 安莎/Nb<br>社/Nc 人士/Na 说/VE ,/COMMACATEGORY<br>这/Nep","ML"
"生活/Na/CNA_CMN_20001209_wpr/51218",0.0264649089636985,0.0146062305657566,"生活","CNA","2000","家人/Na/1.486 脑力/Na 激盪/VA<br>下/Ng ,/COMMACATEGORY<br>发挥/VJ/1.288 巧思/Na/2.008<br>,/COMMACATEGORY 各/Nes<br>种/Nf <b>生活/Na</b> 上/Ncd<br>的/DE 材料/Na 统统/D/1.689<br>被/P 拿来/VC 当成/VG/1.075<br>装饰/Na 用品/Na/3.558 ,/COMMACATEGORY","家人/Na/1.486 脑力/Na 激盪/VA<br>下/Ng ,/COMMACATEGORY<br>发挥/VJ/1.288 巧思/Na/2.008<br>,/COMMACATEGORY 各/Nes<br>种/Nf <b>生活/Na</b> 上/Ncd<br>的/DE 材料/Na 统统/D/1.689<br>被/P 拿来/VC 当成/VG/1.075<br>装饰/Na 用品/Na/3.558 ,/COMMACATEGORY","TW"
"生命/Na/XIN_CMN_20001229_wpr/41569",0.00331996681580481,-0.00379796256354137,"生命","XIN","2000","的/DE 人类/Na/2.619 早期/Nd/1.605<br>胚胎/Na/1.713 也/D 是/SHI<br>神圣/Na/2.738 不可/D/1.154<br>侵犯/VC/1.604 的/DE <b>生命/Na</b><br>,/COMMACATEGORY 只/Da<br>为了/P 获取/VC/1.655 一些/Neqa<br>有用/VH 的/DE 细胞/Na/1.395<br>而/Cbb 创造/VC/1.376","的/DE 人类/Na/2.619 早期/Nd/1.605<br>胚胎/Na/1.713 也/D 是/SHI<br>神圣/Na/2.738 不可/D/1.154<br>侵犯/VC/1.604 的/DE <b>生命/Na</b><br>,/COMMACATEGORY 只/Da<br>为了/P 获取/VC/1.655 一些/Neqa<br>有用/VH 的/DE 细胞/Na/1.395<br>而/Cbb 创造/VC/1.376","ML"
"生命/Na/XIN_CMN_20030507_wpr/45467",-0.0785638406122299,-0.0126846844912287,"生命","XIN","2003","形态学/Na 信息/Na 研究/VC/1.291<br>的/DE 实验/Na/1.049 平台/Na<br>,/COMMACATEGORY 为/VG<br>医学/Na/1.890 、/PAUSECATEGORY<br><b>生命/Na</b> 科学/Na/4.293<br>等/Cab 的/DE 研究/Nv/1.041<br>和/Caa 应用/Na 提供/VC 基础/VH<br>与/Caa 技术/Na","形态学/Na 信息/Na 研究/VC/1.291<br>的/DE 实验/Na/1.049 平台/Na<br>,/COMMACATEGORY 为/VG<br>医学/Na/1.890 、/PAUSECATEGORY<br><b>生命/Na</b> 科学/Na/4.293<br>等/Cab 的/DE 研究/Nv/1.041<br>和/Caa 应用/Na 提供/VC 基础/VH<br>与/Caa 技术/Na","ML"
"生命/Na/ZBN_CMN_20030403_wpr/23373",0.198645757537629,0.0105439885841014,"生命","ZBN","2003","他/Nh 最后/Nd 选择/VC 了/Di<br>跳楼/VA/3.183 这/Nep 残忍/VH/2.691<br>的/DE 方式/Na 结束/Nv/1.244<br><b>生命/Na</b> 。/PERIODCATEGORY<br>4月/Nd 8日/Nd 出殡/Nv/2.237<br>玄学/Na 家/Nc 有/V_2 话说/Dk<br>玄学家/Na 麦玲玲/Nb","他/Nh 最后/Nd 选择/VC 了/Di<br>跳楼/VA/3.183 这/Nep 残忍/VH/2.691<br>的/DE 方式/Na 结束/Nv/1.244<br><b>生命/Na</b> 。/PERIODCATEGORY<br>4月/Nd 8日/Nd 出殡/Nv/2.237<br>玄学/Na 家/Nc 有/V_2 话说/Dk<br>玄学家/Na 麦玲玲/Nb","SG"
"生活/Na/CNA_CMN_20001028_wpr/55064",-0.0568877921899895,-0.13105042170778,"生活","CNA","2000","已经/D 讲/VE 得/DE 相当/Dfa<br>流利/VH ,/COMMACATEGORY<br>并/Cbb 融入/Nv/3.426 当地人/Na/2.668<br>的/DE <b>生活/Na</b> ,/COMMACATEGORY<br>色拉寺/Na/3.915 的/Na 人/Na<br>都/D 和/P 他/Nh 相处/VA/1.279<br>得/DE 很/Dfa","已经/D 讲/VE 得/DE 相当/Dfa<br>流利/VH ,/COMMACATEGORY<br>并/Cbb 融入/Nv/3.426 当地人/Na/2.668<br>的/DE <b>生活/Na</b> ,/COMMACATEGORY<br>色拉寺/Na/3.915 的/Na 人/Na<br>都/D 和/P 他/Nh 相处/VA/1.279<br>得/DE 很/Dfa","TW"
"生命/Na/ZBN_CMN_20001210_wpr/34362",-0.0384737452840973,-0.0253326459866804,"生命","ZBN","2000","解释/Nv ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>哦/I ！/EXCLANATIONCATEGORY<br>我们/Nh 的/DE 老板/Na 非常/Dfa<br>相信/VK <b>生命/Na</b> 科学/Na/4.293<br>，/COMMACATEGORY 认为/Nv<br>人类/Na/2.619 将来/Nd 能/D<br>活/VH/1.041 到/P 百/Neu<br>岁/Nf","解释/Nv ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>哦/I ！/EXCLANATIONCATEGORY<br>我们/Nh 的/DE 老板/Na 非常/Dfa<br>相信/VK <b>生命/Na</b> 科学/Na/4.293<br>，/COMMACATEGORY 认为/Nv<br>人类/Na/2.619 将来/Nd 能/D<br>活/VH/1.041 到/P 百/Neu<br>岁/Nf","SG"
