"id","x","y","variant","corpus","year","text","lect"
"成份/Na/XIN_CMN_20030718_wpr/39749",-0.10050075117326,0.0186428287831563,"成份","XIN","2003","小标题/Na )/PARENTHESISCATEGORY<br>深/VH B/FW 股/Nf 可能/Na<br>进入/Nv 调整期/Na 本周/Nb 深市/Nc<br><b>成份/Na</b> B/FW 股/Na<br>在/P 不知不觉/D 中/Ng 创出/VC<br>两/Neu 年/Nf 来/D 新高/VH","ML"
"材料/Na/ZBN_CMN_20030730_wpr/71497",0.0689144473425434,-0.0247632612064421,"材料","ZBN","2003","里/Ncd 达/VJ 前/Nes 军营/Nc<br>找到/VC 一/Neu 间/Nf 工作室/Nc<br>，/COMMACATEGORY 囤积/Nv<br><b>材料/Na</b> 的/DE 问题/Na<br>才/Da 获得/VJ 解决/VC 。/PERIODCATEGORY<br>在/P 收集/VC 材料/Na 的/DE","SG"
"原料/Na/XIN_CMN_20001126_wpr/21577",0.0187899590795927,0.0211919592704005,"原料","XIN","2000","前景/Na 的/DE 重点/Na 龙头/Na<br>企业/Na ,/COMMACATEGORY<br>在/VCP 基地/Nc 建设/Na 、/PAUSECATEGORY<br><b>原料/Na</b> 采购/VC 、/PAUSECATEGORY<br>设备/Na 引进/VC 和/Caa 产品/Na<br>出口/Nv 等/Cab 方面/Na 给予/VD","ML"
"材料/Na/XIN_CMN_20030716_wpr/76188",0.111101804358088,-0.0448273111439718,"材料","XIN","2003",",/COMMACATEGORY 有的/Nh<br>将/P 包背装/Nb 改为/VG 线装/A<br>,/COMMACATEGORY 有/V_2<br>的/DE 修复/Nv <b>材料/Na</b><br>色质/Na 各/D 异/VH ,/COMMACATEGORY<br>修复/VC 时/Ng 尽量/D 完整/VH<br>保留/VC 成书/VA","ML"
"成分/Na/XIN_CMN_20030518_wpr/1430",-0.0158666093064319,-0.0592410409796083,"成分","XIN","2003","生长/VH 激素/Na (/PARENTHESISCATEGORY<br>HGH/FW )/PARENTHESISCATEGORY<br>等/Cab 违禁药物/Na ,/COMMACATEGORY<br>以及/Caa 不明/VH <b>成分/Na</b><br>的/DE 针剂/Na 和/Caa 用/VC<br>过/Di 的/DE 包装盒/Na 、/PAUSECATEGORY<br>注射器/Na 等/Cab","ML"
"原料/Na/XIN_CMN_20030704_wpr/64326",0.025928454449076,0.0581880645698405,"原料","XIN","2003","淡水鱼类/Na 首/Nes 次/Nf 出口/Nv<br>。/PERIODCATEGORY 湖南省/Nc<br>出入境/VA 检验/VC 检疫局/Nc 对/P<br><b>原料/Na</b> 养殖/VC 基地/Nc<br>进行/VC 考查/VC 备案/VB ,/COMMACATEGORY<br>并/Cbb 加快/VHC 进行/VC 出口/Nv","ML"
"原料/Na/ZBN_CMN_20030603_wpr/3602",0.197528496785061,-0.327668500978471,"原料","ZBN","2003","脉/Nf 浮数/Na 。/PERIODCATEGORY<br>建议/VC 药膳/Na ：/COLONCATEGORY<br>白/VH 菜根/Na 葱白汤/Na 。/PERIODCATEGORY<br><b>原料/Na</b> ：/COLONCATEGORY<br>大白菜/Na 根/Na 3/Neu 个/Nf<br>，/COMMACATEGORY 葱白/VH<br>连/Cbb 须/D 2/Neu","SG"
"成份/Na/CNA_CMN_20001108_wpr/39163",-0.0637859594339773,-0.0489270450933101,"成份","CNA","2000","PPA/FW )/PARENTHESISCATEGORY<br>,/COMMACATEGORY 在/P 近日/Nd<br>外/Ng 电报/Na 导/VC 这/Nep<br>种/Nf <b>成份/Na</b> 有/V_2<br>导致/VL 出/VC 血性/Na 中风/Na<br>的/DE 危险/VH ,/COMMACATEGORY<br>美国/Nc FDA/FW","TW"
"成分/Na/CNA_CMN_20010113_wpr/9811",-0.325068694567259,-0.0855990417662682,"成分","CNA","2001","缝纫/Nv 系统/Na 的/DE 发展/Na<br>说起来/D 也/D 有/V_2 些/Nf<br>巧合/VH 的/DE <b>成分/Na</b><br>;/SEMICOLONCATEGORY 当初/Nd<br>德国/Na 知名/VH 的/DE 朋驰/Nb<br>汽车/Na 公司/Nc Mercedes/FW<br>Benz/FW","TW"
"成份/Na/CNA_CMN_20001009_wpr/135194",-0.13130349089983,0.0146646577744123,"成份","CNA","2000","中共/Nb 等/Cab 压力/Na 尚未/D<br>定案/VB ,/COMMACATEGORY<br>但/Cbb 达赖/Nb 来/T 的/T <b>成份/Na</b><br>很/Dfa 高/VH 。/PERIODCATEGORY<br>由于/Cbb 达赖/Nb 目前/Nd 是/SHI<br>持/VJ 印度/Nc 所/D","TW"
"原料/Na/CNA_CMN_20001213_wpr/16785",0.03500093711019,0.0950897269489553,"原料","CNA","2000","台塑/Nc 表示/VE ,/COMMACATEGORY<br>石化厂/Nc 恢复/Nv 运转/Nv 的/DE<br>开工/Nv 原则/Na 是/SHI <b>原料/Na</b><br>产销/Na 利润/Na 能/D 弥补/VC<br>变动/Nv 成本/Na ,/COMMACATEGORY<br>若/Cbb 石化厂/Nc 连/Cbb","TW"
"材料/Na/XIN_CMN_20030409_wpr/5029",0.176569714220822,-0.0898836084120558,"材料","XIN","2003","晶体/Na 还/D 具有/VJ 一定/A<br>的/DE 导热性/Na 。/PERIODCATEGORY<br>但/Cbb 与/P 传统/Na <b>材料/Na</b><br>相比/VB ,/COMMACATEGORY<br>其/Nep 导电/VH 性/Na 强/VH<br>、/PAUSECATEGORY 导热性/Na<br>差/VH 的/DE","ML"
"材料/Na/ZBN_CMN_20010119_wpr/24117",-0.0189702145990931,0.0183121366433347,"材料","ZBN","2001","，/COMMACATEGORY 并/Cbb<br>提供有/VJ 助/VF 于/P 学生/Na<br>学习/VC 的/DE 课外/A 补充/Nv<br><b>材料/Na</b> 。/PERIODCATEGORY<br>二/Neu 、/PAUSECATEGORY<br>设计/Na 富/VJ 创意/Na 又/D<br>有趣/VH 的/DE 写作/Nv","SG"
"原料/Na/XIN_CMN_20030626_wpr/21751",-0.0106893540634006,-0.00860853298043718,"原料","XIN","2003","将/P 中药材/Na 经过/Na 严格/VH<br>加工/VC ,/COMMACATEGORY<br>与/Caa 传统/Na 的/DE 烹饪/Nv<br><b>原料/Na</b> 相/D 结合/VHC<br>而/Caa 烹制/Nv 成/VG 的/DE<br>菜/Na 肴/Na ,/COMMACATEGORY<br>不/D","ML"
"材料/Na/CNA_CMN_20001128_wpr/3308",0.0499317700965637,0.0329429972366095,"材料","CNA","2000","B2/Na 福华/Nb 一/Neu 区/Nc<br>。/PERIODCATEGORY --/DASHCATEGORY<br>十三时/Nd 三十分/Nd ,/COMMACATEGORY<br>应用/Na <b>材料/Na</b> 捐赠/Nv<br>国科会/Nc 研究/VC 发展/Na 基/Na<br>金/Na 签约/Nv 仪式/Na ,/COMMACATEGORY<br>台北/Nc","TW"
"原料/Na/XIN_CMN_20030620_wpr/56495",0.0807683930295604,-0.0209406311538029,"原料","XIN","2003","原料/Na 储存/VC 设施/Na ,/COMMACATEGORY<br>并/Cbb 卖掉/VC 了/Di 其中/Nep<br>一些/Neqa 放射性/Na <b>原料/Na</b><br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br>新华/Nb 组稿/Na ./FW 志愿/Na<br>者/Na )/PARENTHESISCATEGORY<br>通讯/Nv :/COLONCATEGORY","ML"
"原材料/Na/ZBN_CMN_20001207_wpr/13767",0.00831954360789724,0.0258475929776065,"原材料","ZBN","2000","人/Na 为/VG 破坏/VC ，/COMMACATEGORY<br>只有/VJ 13/Neu 起/Nf 是/SHI<br>设备/Na 或/Caa <b>原材料/Na</b><br>不/D 合格/VH 造成/VK 的/DE<br>。/PERIODCATEGORY （/PARENTHESISCATEGORY<br>新华社/Nc 特稿/Na ）/PARENTHESISCATEGORY<br>马哈迪/Nb","SG"
"原料/Na/XIN_CMN_20030507_wpr/55761",0.103422515839485,0.0804568086222198,"原料","XIN","2003","类/Nf 水/Na 水质/Na 标准/Na<br>。/PERIODCATEGORY 中国/Nc<br>在/P 乌克兰/Nc 建立/VC 亚麻/Na<br><b>原料/Na</b> 基地/Nc 新华社/Nc<br>哈尔滨/Nc 5月/Nd 8日电/Na (/PARENTHESISCATEGORY<br>记者王/Nb 建华/Nb 罗静平/Nb )/PARENTHESISCATEGORY","ML"
