"id","x","y","variant","corpus","year","text","lect"
"医药/Na/ZBN_CMN_20030805_wpr/65873",-0.0224991075054956,-0.153795404827729,"医药","ZBN","2003","之 谜 的 ， 就是 陈笃 生 医院 实验<br>的 <b>医药</b> 科技 人员 。 沙斯<br>期间 ， 科技 人员 扮演 着重","SG"
"药物/Na/ZBN_CMN_20030413_wpr/10321",0.130998905060225,-0.0196712164646055,"药物","ZBN","2003","的 严重 副作用 。 他 指出 ， 这 两<br>种 <b>药物</b> ， 都 可能 对<br>患者 产生 相同 的 副作用 ，","SG"
"医药/Na/XIN_CMN_20001212_wpr/85686",-0.130929843973164,0.0371154661176492,"医药","XIN","2000","等 特点 呈现出 诱人 的 发展 前景 ,<br>便 决定 <b>医药</b> 经营 由 批<br>发 向 零售 转轨 。 公司 下属","ML"
"药物/Na/XIN_CMN_20030429_wpr/47914",0.131703632735577,-0.0355174565747821,"药物","XIN","2003","不停 洗手 、 想尽 各 种 办法 吃 抗<br>病毒 <b>药物</b> ; 偶尔 打 个<br>喷嚏 就 认为 感 染 ,","ML"
"药品/Na/CNA_CMN_20010112_wpr/30935",0.0150323801226664,0.132278109743926,"药品","CNA","2001","处方药 的 保存 方式 宣导 , 请 民众<br>不要 把 <b>药品</b> 名称 包装<br>撕除 , 以免 忘记 药品 用法 及 注意","TW"
"医药/Na/XIN_CMN_20030417_wpr/64644",-0.00911684950881278,-0.0171182498477462,"医药","XIN","2003","专家 防 “ 非典 ” 中药 处方 以来<br>, 北京 <b>医药</b> 股份 有限公司<br>把 防 “ 非典 ” 中药 供应 作为","ML"
"医药/Na/XIN_CMN_20030619_wpr/37751",-0.0938649308493121,-0.0978883015303449,"医药","XIN","2003","4 个 月 。 此 项目 由 上海 曦龙<br>生物 <b>医药</b> 工程 有限公司<br>投资 8.6 亿 元 兴建 , 占 地","ML"
"医药/Na/ZBN_CMN_20030514_wpr/82486",-0.060883047393382,-0.28943824975802,"医药","ZBN","2003","地 遏制 这 次 的 传染 情况 。 ”<br>卫生部 <b>医药</b> 总监 陈祝全<br>教授 昨晚 表示 ， 大家 当然 都 希望","SG"
"药品/Na/CNA_CMN_20001101_wpr/120156",-0.0369604944124305,0.0516072090255128,"药品","CNA","2000","委员会 组织 各 地 省级 价格 主管 部门<br>加大 降低 <b>药品</b> 虚 高 的<br>力度 , 今年 分 三 批 降低","TW"
"医药/Na/ZBN_CMN_20030504_wpr/85328",-0.295194912301984,-0.242161885975333,"医药","ZBN","2003","这 场 战斗 。 曾士生 说 ， 他 对<br>中 <b>医药</b> 团体 的 支持 和<br>适当 配合 有 信心 。 他","SG"
"医药/Na/CNA_CMN_20010103_wpr/45174",0.0323300029456446,-0.168698659355478,"医药","CNA","2001","阻断 治疗 , 预防 神经痛 后遗症 的<br>发生 。 中国 <b>医药</b> 学院<br>附设 医院 疼痛科 医师 林必盛 指出 ,<br>带 状","TW"
"药物/Na/CNA_CMN_20001123_wpr/12659",0.133388432577992,0.117486836692888,"药物","CNA","2000","」 , 宣导 手册 及 单张 , 提醒 民众<br>非法 <b>药物</b> 对 身心 伤害<br>外 , 也 提供 正确 控制体 重","TW"
"药物/Na/XIN_CMN_20030719_wpr/6150",0.122108148104257,-0.0809891244223989,"药物","XIN","2003","问题 , 其中 最 突出 的 就是 疫苗<br>和 治疗 <b>药物</b> 的 研制 。<br>“ 我们 已经 初步 建立 了 SARS","ML"
"医药/Na/XIN_CMN_20030417_wpr/43653",-0.0296809698957699,-0.0910686401897999,"医药","XIN","2003","快速 诊断 提供 可靠 的 实验 诊断 指标<br>。 卫生部 <b>医药</b> 生物工程<br>技术 研究 中心 教授 何蕴韶 17日 在<br>向 新华社","ML"
