"id","x","y","variant","corpus","year","text","lect"
"措施/Na/CNA_CMN_20001229_wpr/76707",-0.0127253705818761,0.00145032842588294,"措施","CNA","2000","组织 及 信用部 , 农委会 配合 拟定<br>採取 多 项 <b>措施</b> 净化 明年<br>农 、 渔 选风 , 其中 首要 指向","TW"
"方法/Na/XIN_CMN_20001101_wpr/73380",0.0266430929291165,-0.000192075991212794,"方法","XIN","2000","达到 95 % 。 专家 们 认为 , 这<br>种 <b>方法</b> 与 其他 判断 年龄<br>的 技术 相比 , 具有 简明","ML"
"做法/Na/ZBN_CMN_20030412_wpr/72773",-0.0509480868319144,-0.0886035858433176,"做法","ZBN","2003","， 病 人 的 判断 、 转移 、 隔离<br>等 <b>做法</b> 都 和 其他 诊所<br>医院 一样 。 尽管 没 立即","SG"
"方式/Na/XIN_CMN_20030805_wpr/484",0.022171250783159,0.00141229251515689,"方式","XIN","2003","只是 含糊 地 表示 , 不 管 以 何<br>种 <b>方式</b> 工作 , 他 都<br>是 在 按 总统 的 意愿","ML"
"措施/Na/XIN_CMN_20010107_wpr/25538",-0.0200037643651674,0.00017026828161017,"措施","XIN","2001","抓 支部 , 为 落实 从严 治部 的 各<br>项 <b>措施</b> 提供 保证 。 他<br>要求 , 把 组织 部门 建设成","ML"
"办法/Na/CNA_CMN_20001222_wpr/111888",-0.0361247498386619,0.0870306211102584,"办法","CNA","2000","国 中学生 基本 学力 测验 及 高中 多元<br>入学 招生 <b>办法</b> 宣导 说<br>明 会 , 今天 在 斗六 高中 举行","TW"
"办法/Na/XIN_CMN_20030425_wpr/6816",-0.0991746287958421,0.0690914832177633,"办法","XIN","2003","必须 以 基本 存款 账户 的 开 立为<br>前提 。 <b>办法</b> 完善 了 各<br>类 银行 结算账户 的 开户 条件 ,","ML"
"措施/Na/CNA_CMN_20001011_wpr/144968",-0.00728499641136176,0.00880323827991097,"措施","CNA","2000","都 是 属于 短期 措施 , 还 必须 搭配<br>中长期 <b>措施</b> , 包括 在<br>年底 以前 辅导 民间 成立 至少 一","TW"
"措施/Na/XIN_CMN_20001111_wpr/36280",-0.0274430490850885,-0.0280444871506277,"措施","XIN","2000",", 对 此 类 邪 恶 团体 必须 采取<br>坚决 <b>措施</b> 予以 根治 ,<br>决不 能 坐视 不管 , 任 其","ML"
"手段/Na/ZBN_CMN_20030603_wpr/60438",0.029086343254259,-0.0405309939943654,"手段","ZBN","2003","交 内部 报告 ， 建议 华盛顿 联合 北京<br>以 军事 <b>手段</b> 更替 金正日<br>政权 。 据 称 ， 这 一 反映","SG"
"做法/Na/CNA_CMN_20001018_wpr/154260",0.150404108072279,-0.0645710049782143,"做法","CNA","2000","持续 与 中共 交往 的 政策 , 或许<br>会 有 <b>做法</b> 上 的 调整<br>, 但 基本 策略 将 会 持续","TW"
"方式/Na/CNA_CMN_20010112_wpr/104918",-0.00473185542278683,0.0555931747288925,"方式","CNA","2001","与 实体 活动 结合 的 另 类 募 款<br>行销 <b>方式</b> , 因此 与 台北<br>纽约 纽约 举办 「 爱 在","TW"
"方式/Na/ZBN_CMN_20030602_wpr/63725",0.0357166649562037,0.00149526667256199,"方式","ZBN","2003","是 否 能够 维持 生计 ？ 以 我 的<br>生活 <b>方式</b> 来 说 ， 是<br>可以 的 。 当 你 第一","SG"
"办法/Na/CNA_CMN_20001218_wpr/111465",-0.0275251581268433,0.0103335104682917,"办法","CNA","2000","确定 与 沙盘 推演 , 日前 公佈 的<br>小三通 实施 <b>办法</b> 的 修正<br>意见 也 被 提出 讨论 , 相关 单位","TW"
"措施/Na/XIN_CMN_20030809_wpr/47668",-0.0117875190218318,-0.0100630069161962,"措施","XIN","2003","只要 贝宁 有关 当局 采取 适当 、 具体<br>的 保证 <b>措施</b> 防范 犯罪<br>活 动 的 发生 , 尼 日利 亚","ML"
"办法/Na/CNA_CMN_20001213_wpr/114542",-0.0327919251263134,0.0167697045105468,"办法","CNA","2000","过 「 试办 金门 马祖 与 大陆 地区<br>通航 实施 <b>办法</b> 」 , 政府期<br>待 实施 小三通 有助 两岸 关系 稳定","TW"
"手段/Na/ZBN_CMN_20001006_wpr/8560",0.0703807165974907,0.0436770497584243,"手段","ZBN","2000","节目 采用 “ 阴 险 、 不 光彩 的<br>采访 <b>手段</b> ， 并 形容 那<br>是 一 个 圈套 ” 。","SG"
"办法/Na/CNA_CMN_20001110_wpr/49013",-0.0354163114487402,0.0397777877051638,"办法","CNA","2000","依照 检疫 规定 办理 , 防疫 单位 想出<br>两全 齐美 <b>办法</b> , 即 特<br>别 准许 消防局 可以 全 天 派","TW"
"方法/Na/XIN_CMN_20001212_wpr/22948",0.0269413894020406,0.00855769836306672,"方法","XIN","2000","了 传统 的 工作 方式 , 将 用 崭新<br>的 <b>方法</b> 开始 对 三星 堆发<br>掘 、 研究 。 陈德安 自","ML"
"办法/Na/XIN_CMN_20030624_wpr/23752",-0.0242956642264193,-0.0422795442401426,"办法","XIN","2003","的 措施 、 必要 的 检测 措施 和 有效<br>的 <b>办法</b> 等 。 经过 非典<br>疫情 后 , 中国 未来 努力","ML"
