"id","x","y","variant","corpus","year","text","lect"
"措施/Na/CNA_CMN_20001229_wpr/76707",-0.0127253705818761,0.00145032842588294,"措施","CNA","2000","组织/Na 及/Caa 信用部/Nc ,/COMMACATEGORY<br>农委会/Nc 配合/VC 拟定/VC 採取/VC<br>多/VH 项/Nf <b>措施/Na</b><br>净化/VHC 明年/Nd 农/Na 、/PAUSECATEGORY<br>渔/Na 选风/Na ,/COMMACATEGORY<br>其中/Nep 首要/Na 指向/VC","TW"
"方法/Na/XIN_CMN_20001101_wpr/73380",0.0266430929291165,-0.000192075991212794,"方法","XIN","2000","达到/VJ 95/Neu %/Nf 。/PERIODCATEGORY<br>专家/Na 们/Na 认为/VE ,/COMMACATEGORY<br>这/Nep 种/Nf <b>方法/Na</b><br>与/P 其他/Neqa 判断/Na 年龄/Na<br>的/DE 技术/Na 相比/VB ,/COMMACATEGORY<br>具有/VJ 简明/VH","ML"
"做法/Na/ZBN_CMN_20030412_wpr/72773",-0.0509480868319144,-0.0886035858433176,"做法","ZBN","2003","，/COMMACATEGORY 病/Na<br>人/Na 的/DE 判断/Na 、/PAUSECATEGORY<br>转移/VD 、/PAUSECATEGORY<br>隔离/Nv 等/Cab <b>做法/Na</b><br>都/D 和/P 其他/Neqa 诊所/Nc<br>医院/Nc 一样/VH 。/PERIODCATEGORY<br>尽管/D 没/D 立即/D","SG"
"方式/Na/XIN_CMN_20030805_wpr/484",0.022171250783159,0.00141229251515689,"方式","XIN","2003","只是/D 含糊/VH 地/DE 表示/Nv<br>,/COMMACATEGORY 不/D 管/VE<br>以/P 何/Nes 种/Nf <b>方式/Na</b><br>工作/Na ,/COMMACATEGORY<br>他/Nh 都/D 是/SHI 在/P 按/VC<br>总统/Na 的/DE 意愿/Na","ML"
"措施/Na/XIN_CMN_20010107_wpr/25538",-0.0200037643651674,0.00017026828161017,"措施","XIN","2001","抓/VC 支部/Nc ,/COMMACATEGORY<br>为/VG 落实/VHC 从严/VH 治部/Nc<br>的/DE 各/Nes 项/Nf <b>措施/Na</b><br>提供/VC 保证/Na 。/PERIODCATEGORY<br>他/Nh 要求/Na ,/COMMACATEGORY<br>把/P 组织/Na 部门/Na 建设成/VG","ML"
"办法/Na/CNA_CMN_20001222_wpr/111888",-0.0361247498386619,0.0870306211102584,"办法","CNA","2000","国/Nc 中学生/Na 基本/Na 学力/Na<br>测验/Na 及/Caa 高中/Nc 多元/Na<br>入学/Nv 招生/Nv <b>办法/Na</b><br>宣导/VC 说/VE 明/Nd 会/D ,/COMMACATEGORY<br>今天/Nd 在/P 斗六/Nc 高中/Nc<br>举行/VC","TW"
"办法/Na/XIN_CMN_20030425_wpr/6816",-0.0991746287958421,0.0690914832177633,"办法","XIN","2003","必须/VH 以/P 基本/Na 存款/Na<br>账户/Na 的/DE 开/VC 立为/Nb<br>前提/Na 。/PERIODCATEGORY<br><b>办法/Na</b> 完善/VH 了/Di<br>各/Nes 类/Nf 银行/Nc 结算账户/Na<br>的/DE 开户/Nv 条件/Na ,/COMMACATEGORY","ML"
"措施/Na/CNA_CMN_20001011_wpr/144968",-0.00728499641136176,0.00880323827991097,"措施","CNA","2000","都/D 是/SHI 属于/VJ 短期/Na<br>措施/Na ,/COMMACATEGORY<br>还/Dfa 必须/VH 搭配/VC 中长期/Na<br><b>措施/Na</b> ,/COMMACATEGORY<br>包括/VK 在/P 年底/Nd 以前/Nd<br>辅导/VC 民间/Nc 成立/VC 至少/Da<br>一/Neu","TW"
"措施/Na/XIN_CMN_20001111_wpr/36280",-0.0274430490850885,-0.0280444871506277,"措施","XIN","2000",",/COMMACATEGORY 对/P 此/Nep<br>类/Nf 邪/VH 恶/VK 团体/Na<br>必须/VH 采取/VC 坚决/VH <b>措施/Na</b><br>予以/D 根治/VC ,/COMMACATEGORY<br>决不/D 能/D 坐视/VE 不管/Cbb<br>,/COMMACATEGORY 任/VG<br>其/Nep","ML"
"手段/Na/ZBN_CMN_20030603_wpr/60438",0.029086343254259,-0.0405309939943654,"手段","ZBN","2003","交/VD 内部/Ncd 报告/Na ，/COMMACATEGORY<br>建议/VC 华盛顿/Nb 联合/VC 北京/Nc<br>以/P 军事/Na <b>手段/Na</b><br>更替/VC 金正日/Nb 政权/Na 。/PERIODCATEGORY<br>据/P 称/VG ，/COMMACATEGORY<br>这/Nep 一/Neu 反映/Nv","SG"
