"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"货币/Na/XIN_CMN_20030411_wpr/84201",-0.0114238064753094,-0.0356099835473542,"货币","XIN","2003","24/Neu 国集团/Na 是/SHI 发展/Na<br>中国家/Nc 为/VG 在/P 国际/Nc/2.843<br>金融/Na/2.342 与/Caa <b>货币/Na</b><br>领域/Na 内/Ncd 协调/VC 立场/Na/1.872<br>和/Caa 政/Na/1.821 策/Na/2.587<br>以及/Caa 商讨/VE/1.516 有关/P","24/Neu 国集团/Na 是/SHI 发展/Na<br>中国家/Nc 为/VG 在/P 国际/Nc/2.843<br>金融/Na/2.342 与/Caa <b>货币/Na</b><br>领域/Na 内/Ncd 协调/VC 立场/Na/1.872<br>和/Caa 政/Na/1.821 策/Na/2.587<br>以及/Caa 商讨/VE/1.516 有关/P","ML"
"资金/Na/ZBN_CMN_20030822_wpr/54487",-0.011085258934116,-0.00622362680870158,"资金","ZBN","2003","刘江/Nb 所/D/1.078 指/VG<br>的/DE 困难/Na/2.024 ，/COMMACATEGORY<br>是/SHI 指/VG 诸如/P 缺乏/VJ/2.781<br><b>资金/Na</b> 援助/Na/2.677<br>，/COMMACATEGORY 人力/Na/2.281<br>资源/Na 培训/VC 不足/VH/2.693<br>，/COMMACATEGORY 以/P 及/Caa<br>投资/Na/2.061","刘江/Nb 所/D/1.078 指/VG<br>的/DE 困难/Na/2.024 ，/COMMACATEGORY<br>是/SHI 指/VG 诸如/P 缺乏/VJ/2.781<br><b>资金/Na</b> 援助/Na/2.677<br>，/COMMACATEGORY 人力/Na/2.281<br>资源/Na 培训/VC 不足/VH/2.693<br>，/COMMACATEGORY 以/P 及/Caa<br>投资/Na/2.061","SG"
"款项/Na/ZBN_CMN_20030916_wpr/45171",0.00534215753296891,0.0460004028629702,"款项","ZBN","2003","，/COMMACATEGORY 下/Nes<br>个/Nf 月/Na 还/D 会/D 推出/VC<br>VCD/FW/2.151 ，/COMMACATEGORY<br>所得/Na/5.073 <b>款项/Na</b><br>扣除/VC/4.872 开支/Na/2.242<br>后/Ng ，/COMMACATEGORY<br>将/D/1.296 拨/VC/2.345<br>捐/VD/4.237 儿童/Na 癌/Na<br>病/Na","，/COMMACATEGORY 下/Nes<br>个/Nf 月/Na 还/D 会/D 推出/VC<br>VCD/FW/2.151 ，/COMMACATEGORY<br>所得/Na/5.073 <b>款项/Na</b><br>扣除/VC/4.872 开支/Na/2.242<br>后/Ng ，/COMMACATEGORY<br>将/D/1.296 拨/VC/2.345<br>捐/VD/4.237 儿童/Na 癌/Na<br>病/Na","SG"
"资金/Na/XIN_CMN_20030716_wpr/67503",-0.000423193399893976,-0.0804013298438438,"资金","XIN","2003","途径/Na 。/PERIODCATEGORY<br>他/Nh 表示/VE ,/COMMACATEGORY<br>上海/Nc 慈善/Na 机构/Na/1.160<br>掌握/VC 的/DE <b>资金/Na</b><br>仅/Da 占/VJ 上海/Na GDP/FW<br>的/DE 千分之一/Neqa ,/COMMACATEGORY<br>而/Cbb 美国/Na 的/DE","途径/Na 。/PERIODCATEGORY<br>他/Nh 表示/VE ,/COMMACATEGORY<br>上海/Nc 慈善/Na 机构/Na/1.160<br>掌握/VC 的/DE <b>资金/Na</b><br>仅/Da 占/VJ 上海/Na GDP/FW<br>的/DE 千分之一/Neqa ,/COMMACATEGORY<br>而/Cbb 美国/Na 的/DE","ML"
"货币/Na/ZBN_CMN_20010128_wpr/16980",0.00970775039613856,-0.0530579266072783,"货币","ZBN","2001","个/Nf 劳工/Na 可以/VH 自由/Na<br>流/VC 动/VAC ，/COMMACATEGORY<br>而且/Caa 采用/Nv 共同/A/2.236<br><b>货币/Na</b> 的/DE 北美/Nc/1.247<br>共同/A/2.236 市场/Nc/2.138<br>的/DE 课题/Na 。/PERIODCATEGORY<br>同意/Nv 削减/Nv 核武/Na","个/Nf 劳工/Na 可以/VH 自由/Na<br>流/VC 动/VAC ，/COMMACATEGORY<br>而且/Caa 采用/Nv 共同/A/2.236<br><b>货币/Na</b> 的/DE 北美/Nc/1.247<br>共同/A/2.236 市场/Nc/2.138<br>的/DE 课题/Na 。/PERIODCATEGORY<br>同意/Nv 削减/Nv 核武/Na","SG"
"财产/Na/XIN_CMN_20001130_wpr/10665",-0.0123503605848629,0.051433411656276,"财产","XIN","2000","法院/Nc/2.066 判处/VC/3.256<br>韩前旭/Nb 12/Neu 年/Nf 有期徒刑/Na/1.830<br>,/COMMACATEGORY 并/Cbb/1.113<br>处/Nc/4.440 没收/VC/6.614<br><b>财产/Na</b> 人民币/Na/2.809<br>1万/Neu/1.346 元/Nf/1.346<br>的/DE 判决/Nv 。/PERIODCATEGORY<br>1994年/Nd ,/COMMACATEGORY<br>韩前旭/Nb 在/P","法院/Nc/2.066 判处/VC/3.256<br>韩前旭/Nb 12/Neu 年/Nf 有期徒刑/Na/1.830<br>,/COMMACATEGORY 并/Cbb/1.113<br>处/Nc/4.440 没收/VC/6.614<br><b>财产/Na</b> 人民币/Na/2.809<br>1万/Neu/1.346 元/Nf/1.346<br>的/DE 判决/Nv 。/PERIODCATEGORY<br>1994年/Nd ,/COMMACATEGORY<br>韩前旭/Nb 在/P","ML"
"财产/Na/ZBN_CMN_20001028_wpr/32632",-0.0493795575858536,-0.00204955860571488,"财产","ZBN","2000","，/COMMACATEGORY 原因/Na<br>是/SHI 国家/Na/1.205 解体/Nv<br>危机/Na ，/COMMACATEGORY<br>造成/Nv/3.165 生命/Na/5.168<br>与/Caa <b>财产/Na</b> 损失/Na/5.126<br>的/DE 暴力/VH 冲突/Na ，/COMMACATEGORY<br>以及/Cbb 各/Nes 种/Nf 动乱/VH<br>和/Caa/1.225","，/COMMACATEGORY 原因/Na<br>是/SHI 国家/Na/1.205 解体/Nv<br>危机/Na ，/COMMACATEGORY<br>造成/Nv/3.165 生命/Na/5.168<br>与/Caa <b>财产/Na</b> 损失/Na/5.126<br>的/DE 暴力/VH 冲突/Na ，/COMMACATEGORY<br>以及/Cbb 各/Nes 种/Nf 动乱/VH<br>和/Caa/1.225","SG"
"货币/Na/CNA_CMN_20001217_wpr/31192",-0.0450455566314146,-0.0581264034850751,"货币","CNA","2000","三通/Na 」/PARENTHESISCATEGORY<br>,/COMMACATEGORY 但/Cbb<br>有鑑于/Cbb 台湾/Na 并/D 不/D<br>是/SHI 国际/Nc/2.843 <b>货币/Na</b><br>基金会/Nc/3.635 的/DE 成员/Na<br>,/COMMACATEGORY 为了/P<br>确保/Nv 物资/Na 不致/D/2.105<br>被/P 掏空/VC","三通/Na 」/PARENTHESISCATEGORY<br>,/COMMACATEGORY 但/Cbb<br>有鑑于/Cbb 台湾/Na 并/D 不/D<br>是/SHI 国际/Nc/2.843 <b>货币/Na</b><br>基金会/Nc/3.635 的/DE 成员/Na<br>,/COMMACATEGORY 为了/P<br>确保/Nv 物资/Na 不致/D/2.105<br>被/P 掏空/VC","TW"
"货币/Na/XIN_CMN_20030910_wpr/103004",0.0351029940880543,-0.0190554494798292,"货币","XIN","2003",",/COMMACATEGORY 10/Neu<br>日/Nf 纽约/Nc/1.042 汇市/Na/3.011<br>上/Ncd 美元/Na/3.823 对/VH/3.274<br>其它/Neqa/3.924 主要/D/2.538<br><b>货币/Na</b> 比价/VA/4.760<br>有所/D 反弹/VC/2.225 。/PERIODCATEGORY<br>当天/Nd ,/COMMACATEGORY<br>由于/Cbb 欧元/Nb/3.396 对/P<br>美元/Na/3.823",",/COMMACATEGORY 10/Neu<br>日/Nf 纽约/Nc/1.042 汇市/Na/3.011<br>上/Ncd 美元/Na/3.823 对/VH/3.274<br>其它/Neqa/3.924 主要/D/2.538<br><b>货币/Na</b> 比价/VA/4.760<br>有所/D 反弹/VC/2.225 。/PERIODCATEGORY<br>当天/Nd ,/COMMACATEGORY<br>由于/Cbb 欧元/Nb/3.396 对/P<br>美元/Na/3.823","ML"
"货币/Na/CNA_CMN_20001130_wpr/157040",0.00505342192657163,-0.0363149165137231,"货币","CNA","2000","内需/Na/2.303 ,/COMMACATEGORY<br>实施/Nv/1.183 积极/VH 的/DE<br>财政/Na/2.275 政策/Na/4.050<br>和/Caa 稳健/VH/5.240 的/DE<br><b>货币/Na</b> 政策/Na/4.050<br>,/COMMACATEGORY 综合/VC<br>运用/VC/2.762 宏观/Na/3.116<br>调控/VC/4.158 手段/Na ,/COMMACATEGORY<br>巩固/Nv 和/Caa","内需/Na/2.303 ,/COMMACATEGORY<br>实施/Nv/1.183 积极/VH 的/DE<br>财政/Na/2.275 政策/Na/4.050<br>和/Caa 稳健/VH/5.240 的/DE<br><b>货币/Na</b> 政策/Na/4.050<br>,/COMMACATEGORY 综合/VC<br>运用/VC/2.762 宏观/Na/3.116<br>调控/VC/4.158 手段/Na ,/COMMACATEGORY<br>巩固/Nv 和/Caa","TW"
"款项/Na/CNA_CMN_20030628_wpr/12881",0.033046806052287,0.0570109650055652,"款项","CNA","2003","与/Caa 洛杉矶/Nc 两/Neu 地/DE<br>总计/Na/3.192 募得/VJ/5.548<br>超过/VJ/2.372 五百万/Neu/3.840<br>美元/Nf/1.652 的/DE <b>款项/Na</b><br>，/COMMACATEGORY 跨出/VCL/3.134<br>从/P 加州/Nc 迈向/VCL 胜选/Na<br>的/DE 第一/Neu 步/Nf 。/PERIODCATEGORY","与/Caa 洛杉矶/Nc 两/Neu 地/DE<br>总计/Na/3.192 募得/VJ/5.548<br>超过/VJ/2.372 五百万/Neu/3.840<br>美元/Nf/1.652 的/DE <b>款项/Na</b><br>，/COMMACATEGORY 跨出/VCL/3.134<br>从/P 加州/Nc 迈向/VCL 胜选/Na<br>的/DE 第一/Neu 步/Nf 。/PERIODCATEGORY","TW"
"资金/Na/XIN_CMN_20010117_wpr/93054",0.0117960986352705,0.0163512948158751,"资金","XIN","2001",",/COMMACATEGORY 全县/Na/1.564<br>投资/VC/1.534 开发/VC/1.543<br>水利/Na/1.925 达/VJ/1.174<br>1000多/Neu 家/Nf ,/COMMACATEGORY<br>投入/Nv/4.095 <b>资金/Na</b><br>700多万/Neu/3.964 元/Nf/2.318<br>。/PERIODCATEGORY 常/D<br>庄乡梁庄村/Nb 6/Neu 户/Nf 农民/Na<br>打井/Na/4.192 30多/Neu",",/COMMACATEGORY 全县/Na/1.564<br>投资/VC/1.534 开发/VC/1.543<br>水利/Na/1.925 达/VJ/1.174<br>1000多/Neu 家/Nf ,/COMMACATEGORY<br>投入/Nv/4.095 <b>资金/Na</b><br>700多万/Neu/3.964 元/Nf/2.318<br>。/PERIODCATEGORY 常/D<br>庄乡梁庄村/Nb 6/Neu 户/Nf 农民/Na<br>打井/Na/4.192 30多/Neu","ML"
"资金/Na/ZBN_CMN_20001031_wpr/34767",0.0474769462636322,-0.0830495216698963,"资金","ZBN","2000","，/COMMACATEGORY 这/Nep<br>一/Neu 年/Nf 期限/Na ，/COMMACATEGORY<br>对于/P 随时/D 要/D 调动/VC/2.708<br><b>资金/Na</b> 的/DE 外资/Na/1.364<br>来/D 说/VE 虽然/Cbb 仍然/D<br>是/SHI 一/Neu 个/Nf 障碍/Na","，/COMMACATEGORY 这/Nep<br>一/Neu 年/Nf 期限/Na ，/COMMACATEGORY<br>对于/P 随时/D 要/D 调动/VC/2.708<br><b>资金/Na</b> 的/DE 外资/Na/1.364<br>来/D 说/VE 虽然/Cbb 仍然/D<br>是/SHI 一/Neu 个/Nf 障碍/Na","SG"
