"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"报章/Na/ZBN_CMN_20030719_wpr/35665",-0.002974228702829,-0.00287962093151331,"报章","ZBN","2003","国家/Na 经济/Na 行动/Na 理事会/Na<br>在/VCP 马国/Nc/4.301 内/Ncd<br>各/Nes/1.351 语文/Na/4.360<br>主要/VH/2.584 <b>报章/Na</b><br>和/Caa 一/Neu 家/Nf/1.835<br>国际/Nc 报章/Na/2.622 亚洲/Nc<br>华尔街日报/Nb/4.374 （/PARENTHESISCATEGORY<br>ＡＷＳ/FW/8.049 Ｊ/FW","国家/Na 经济/Na 行动/Na 理事会/Na<br>在/VCP 马国/Nc/4.301 内/Ncd<br>各/Nes/1.351 语文/Na/4.360<br>主要/VH/2.584 <b>报章/Na</b><br>和/Caa 一/Neu 家/Nf/1.835<br>国际/Nc 报章/Na/2.622 亚洲/Nc<br>华尔街日报/Nb/4.374 （/PARENTHESISCATEGORY<br>ＡＷＳ/FW/8.049 Ｊ/FW","SG"
"报纸/Na/ZBN_CMN_20030603_wpr/10257",-0.202257028757557,-0.16705374959098,"报纸","ZBN","2003","不/D 敢/VL 告诉/Na 公司/Nc<br>的/DE 人/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>但/Cbb 因为/Cbb <b>报纸/Na</b><br>天天/D/3.195 讲/VE 她/Nh<br>胖/VH/1.743 ，/COMMACATEGORY<br>她/Nh 也/D 不得不/D 正视/VC<br>这/Nep","不/D 敢/VL 告诉/Na 公司/Nc<br>的/DE 人/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>但/Cbb 因为/Cbb <b>报纸/Na</b><br>天天/D/3.195 讲/VE 她/Nh<br>胖/VH/1.743 ，/COMMACATEGORY<br>她/Nh 也/D 不得不/D 正视/VC<br>这/Nep","SG"
"报章/Na/ZBN_CMN_20001115_wpr/19600",0.0801485618544822,0.0238994590642807,"报章","ZBN","2000","风雨/Na ，/COMMACATEGORY<br>中正机场/Nc 的/DE 能见度/Na 很/Dfa<br>低/VH （/PARENTHESISCATEGORY<br>11月/Nd 9日/Nd <b>报章/Na</b><br>报道/Na/4.265 只有/VJ 400/Neu<br>公/Na 尺/Nf ）/PARENTHESISCATEGORY/1.167<br>。/PERIODCATEGORY 尽管/Cbb<br>机场/Nc 说/VE","风雨/Na ，/COMMACATEGORY<br>中正机场/Nc 的/DE 能见度/Na 很/Dfa<br>低/VH （/PARENTHESISCATEGORY<br>11月/Nd 9日/Nd <b>报章/Na</b><br>报道/Na/4.265 只有/VJ 400/Neu<br>公/Na 尺/Nf ）/PARENTHESISCATEGORY/1.167<br>。/PERIODCATEGORY 尽管/Cbb<br>机场/Nc 说/VE","SG"
"报纸/Na/XIN_CMN_20030909_wpr/70111",0.0810367824698914,-0.0345336191160831,"报纸","XIN","2003","出/VC 警察/Na 队伍/Na 。/PERIODCATEGORY<br>另外/Cbb ,/COMMACATEGORY<br>多夫真科/Na/5.853 在/P 接受/VC<br>当地/Nc/2.364 <b>报纸/Na</b><br>采访/VC/2.225 时/Ng 说/VE<br>,/COMMACATEGORY 他/Nh<br>在/P 1997年/Nd 被/P 拘留/VC/1.315<br>期间/Na","出/VC 警察/Na 队伍/Na 。/PERIODCATEGORY<br>另外/Cbb ,/COMMACATEGORY<br>多夫真科/Na/5.853 在/P 接受/VC<br>当地/Nc/2.364 <b>报纸/Na</b><br>采访/VC/2.225 时/Ng 说/VE<br>,/COMMACATEGORY 他/Nh<br>在/P 1997年/Nd 被/P 拘留/VC/1.315<br>期间/Na","ML"
"报章/Na/ZBN_CMN_20030912_wpr/35780",-0.0427399618506548,0.112112218400259,"报章","ZBN","2003","”/PARENTHESISCATEGORY<br>当天/Nd 下午/Nd ，/COMMACATEGORY<br>通通编/Na 还/D 跟/P 另外/Nes/1.261<br>四/Neu 家/Nf/1.835 <b>报章/Na</b><br>的/DE 记者/Na ，/COMMACATEGORY<br>与/Caa 金城武/Nb 进行/VC 了/Di<br>15/Neu 分/Nf 钟/Na","”/PARENTHESISCATEGORY<br>当天/Nd 下午/Nd ，/COMMACATEGORY<br>通通编/Na 还/D 跟/P 另外/Nes/1.261<br>四/Neu 家/Nf/1.835 <b>报章/Na</b><br>的/DE 记者/Na ，/COMMACATEGORY<br>与/Caa 金城武/Nb 进行/VC 了/Di<br>15/Neu 分/Nf 钟/Na","SG"
"报章/Na/ZBN_CMN_20010111_wpr/17926",-0.116344048048085,0.0014343779084214,"报章","ZBN","2001","报纸/Na/1.013 方面/Na 的/DE<br>专才/Na ，/COMMACATEGORY<br>他们/Nh 会/D 把/P 这些/Neqa<br>旧/VH/1.741 <b>报章/Na</b><br>拍成/VG/3.506 缩微胶券/Na/8.049<br>，/COMMACATEGORY 也/D 会/D<br>上网/VA/1.033 ，/COMMACATEGORY<br>让/VL 更多/VH 人/Na","报纸/Na/1.013 方面/Na 的/DE<br>专才/Na ，/COMMACATEGORY<br>他们/Nh 会/D 把/P 这些/Neqa<br>旧/VH/1.741 <b>报章/Na</b><br>拍成/VG/3.506 缩微胶券/Na/8.049<br>，/COMMACATEGORY 也/D 会/D<br>上网/VA/1.033 ，/COMMACATEGORY<br>让/VL 更多/VH 人/Na","SG"
"报章/Na/ZBN_CMN_20030415_wpr/22165",0.0422970645347723,-0.0115416547637478,"报章","ZBN","2003","的/DE 非典型/Na 肺炎/Na 疫情/Na<br>受到/VJ 控制/VC 为止/Ng 。/PERIODCATEGORY<br>前天/Nd/2.671 香港/Nc/1.818<br><b>报章/Na</b> 报道/Na/4.265<br>，/COMMACATEGORY 马国/Nc/4.301<br>政府/Na 已经/D 撤销/VC 对/P<br>他们/Nh 的/DE 入境/Nv","的/DE 非典型/Na 肺炎/Na 疫情/Na<br>受到/VJ 控制/VC 为止/Ng 。/PERIODCATEGORY<br>前天/Nd/2.671 香港/Nc/1.818<br><b>报章/Na</b> 报道/Na/4.265<br>，/COMMACATEGORY 马国/Nc/4.301<br>政府/Na 已经/D 撤销/VC 对/P<br>他们/Nh 的/DE 入境/Nv","SG"
"报章/Na/ZBN_CMN_20030616_wpr/60195",-0.0175158510674917,0.0135582102021518,"报章","ZBN","2003","星洲日报/Nb/3.759 》/PARENTHESISCATEGORY/1.579<br>和/Caa 《/PARENTHESISCATEGORY/1.764<br>南洋/Nc/2.158 商报/Nb/3.034<br>》/PARENTHESISCATEGORY/1.579<br>等/Cab 本/Nes 地/Na/1.282<br><b>报章/Na</b> 也/D 只/Da<br>能/D 活/VH 在/P 老/VH 读者/Na/2.990<br>的/DE 记忆/Na 当中/Ng","星洲日报/Nb/3.759 》/PARENTHESISCATEGORY/1.579<br>和/Caa 《/PARENTHESISCATEGORY/1.764<br>南洋/Nc/2.158 商报/Nb/3.034<br>》/PARENTHESISCATEGORY/1.579<br>等/Cab 本/Nes 地/Na/1.282<br><b>报章/Na</b> 也/D 只/Da<br>能/D 活/VH 在/P 老/VH 读者/Na/2.990<br>的/DE 记忆/Na 当中/Ng","SG"
"报章/Na/ZBN_CMN_20030820_wpr/46724",-0.0795412259855426,0.0310780823145596,"报章","ZBN","2003","则/D 。/PERIODCATEGORY<br>仿佛/D 呼应/VC 调查/Na 小组/Na<br>的/DE 建议/VC 的/DE 英文/Na/3.899<br><b>报章/Na</b> 评论/VC/3.129<br>，/COMMACATEGORY 也/D 理直气壮/VH/3.517<br>，/COMMACATEGORY 以/P 情/Na<br>理/VJ 兼备/VJ 的/DE","则/D 。/PERIODCATEGORY<br>仿佛/D 呼应/VC 调查/Na 小组/Na<br>的/DE 建议/VC 的/DE 英文/Na/3.899<br><b>报章/Na</b> 评论/VC/3.129<br>，/COMMACATEGORY 也/D 理直气壮/VH/3.517<br>，/COMMACATEGORY 以/P 情/Na<br>理/VJ 兼备/VJ 的/DE","SG"
"报章/Na/ZBN_CMN_20030613_wpr/52475",-0.0069223450561041,-0.0423612248131111,"报章","ZBN","2003","。/PERIODCATEGORY ”/PARENTHESISCATEGORY<br>深色/VH 校服/Na 容易/VH 出/VC<br>意外/Na ？/QUESTIONCATEGORY/1.233<br>近日/Nd/2.101 从/P/1.416<br><b>报章/Na</b> 得知/VK/3.453<br>又/D 有/V_2 一/Neu 小学生/Na<br>过/VCL 马路/Na 时/Ng 被/P<br>巴士/Na","。/PERIODCATEGORY ”/PARENTHESISCATEGORY<br>深色/VH 校服/Na 容易/VH 出/VC<br>意外/Na ？/QUESTIONCATEGORY/1.233<br>近日/Nd/2.101 从/P/1.416<br><b>报章/Na</b> 得知/VK/3.453<br>又/D 有/V_2 一/Neu 小学生/Na<br>过/VCL 马路/Na 时/Ng 被/P<br>巴士/Na","SG"
