"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"晚上/Nd/XIN_CMN_20010101_wpr/62596",-0.0923658052584654,-0.0982021918879321,"晚上","XIN","2001","部门/Na 深化/Nv 改革/Nv 取得/Nv<br>了/Di 很/Dfa 大/VH 成绩/Na<br>,/COMMACATEGORY 昨天/Nd/2.762<br><b>晚上/Nd</b> 听/VE 了/Di<br>江总书/Nb/5.281 记/VK 的/DE<br>新年/Na 贺词/Na ,/COMMACATEGORY<br>对/P 祖国/Nc","部门/Na 深化/Nv 改革/Nv 取得/Nv<br>了/Di 很/Dfa 大/VH 成绩/Na<br>,/COMMACATEGORY 昨天/Nd/2.762<br><b>晚上/Nd</b> 听/VE 了/Di<br>江总书/Nb/5.281 记/VK 的/DE<br>新年/Na 贺词/Na ,/COMMACATEGORY<br>对/P 祖国/Nc","ML"
"深夜/Nd/CNA_CMN_20010104_wpr/24122",-0.111301157829658,-0.0318691459549736,"深夜","CNA","2001","(/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 黄自强/Nb 台北/Nc<br>四日电/Na/2.068 )/PARENTHESISCATEGORY<br>针对/P 立法院/Nc 昨天/Nd/4.003<br><b>深夜/Nd</b> 三读通过/VC/3.298<br>刑事/Na/1.652 诉讼法/Na/3.908<br>条文/Na 修正案/Na/1.547 ,/COMMACATEGORY<br>将/P 搜索权/Na 回归法/Na 院/Nc","(/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 黄自强/Nb 台北/Nc<br>四日电/Na/2.068 )/PARENTHESISCATEGORY<br>针对/P 立法院/Nc 昨天/Nd/4.003<br><b>深夜/Nd</b> 三读通过/VC/3.298<br>刑事/Na/1.652 诉讼法/Na/3.908<br>条文/Na 修正案/Na/1.547 ,/COMMACATEGORY<br>将/P 搜索权/Na 回归法/Na 院/Nc","TW"
"夜间/Nd/CNA_CMN_20010121_wpr/21455",0.0532553570667751,0.0840745311224559,"夜间","CNA","2001",",/COMMACATEGORY 约/Da<br>为/P 平时/Nd/1.360 的/DE<br>二/Neu 倍/Na/1.531 以上/Ng<br>,/COMMACATEGORY 显示/VK/1.303<br><b>夜间/Nd</b> 暂停/VHC/3.846<br>收费/Nv/3.775 措施/Na/1.384<br>确/D/1.917 已/D 发挥/Nv/1.454<br>分散/Nv 交通量/Na/4.289 的/DE<br>效果/Na/1.224",",/COMMACATEGORY 约/Da<br>为/P 平时/Nd/1.360 的/DE<br>二/Neu 倍/Na/1.531 以上/Ng<br>,/COMMACATEGORY 显示/VK/1.303<br><b>夜间/Nd</b> 暂停/VHC/3.846<br>收费/Nv/3.775 措施/Na/1.384<br>确/D/1.917 已/D 发挥/Nv/1.454<br>分散/Nv 交通量/Na/4.289 的/DE<br>效果/Na/1.224","TW"
"晚间/Nd/CNA_CMN_20001226_wpr/138498",-0.0756560620493513,0.0152910459187698,"晚间","CNA","2000","金门/Nc 准备/VC 小/VH 三通/Na<br>各/Nes 项/Nf 准备/VC 工作/VA<br>,/COMMACATEGORY 总统/Na/1.525<br><b>晚间/Nd</b> 主持/Na/1.626<br>总统府/Nc/3.113 召开/Nv/1.988<br>九/Neu/2.285 人/Na 协商/Nv/1.341<br>高层/Na 会/D 报时/Nv 听取/VC","金门/Nc 准备/VC 小/VH 三通/Na<br>各/Nes 项/Nf 准备/VC 工作/VA<br>,/COMMACATEGORY 总统/Na/1.525<br><b>晚间/Nd</b> 主持/Na/1.626<br>总统府/Nc/3.113 召开/Nv/1.988<br>九/Neu/2.285 人/Na 协商/Nv/1.341<br>高层/Na 会/D 报时/Nv 听取/VC","TW"
"晚上/Nd/ZBN_CMN_20001104_wpr/4811",-0.0530750462056973,-0.104498418920228,"晚上","ZBN","2000","综合/VC 电/Na 以色列/Nc 电台/Nc<br>报道/Na ，/COMMACATEGORY<br>以色列/Nc 安全/Na 内阁/Na 前天/Nd/3.721<br><b>晚上/Nd</b> 决定/Na ，/COMMACATEGORY<br>限/VJ 巴勒斯坦/Nc 当局/Na 在/P/1.064<br>24/Neu 小时/Nf 内/Ng 落实/VHC","综合/VC 电/Na 以色列/Nc 电台/Nc<br>报道/Na ，/COMMACATEGORY<br>以色列/Nc 安全/Na 内阁/Na 前天/Nd/3.721<br><b>晚上/Nd</b> 决定/Na ，/COMMACATEGORY<br>限/VJ 巴勒斯坦/Nc 当局/Na 在/P/1.064<br>24/Neu 小时/Nf 内/Ng 落实/VHC","SG"
"晚上/Nd/CNA_CMN_20001002_wpr/133025",-0.0453912751900167,0.0296920002558836,"晚上","CNA","2000","漏夜/D/3.619 动员/VAC 上百/Neu<br>名/Nf 救难/Nv/1.365 人员/Na<br>搜救/VC/1.620 ,/COMMACATEGORY<br>尸体/Na/1.165 于/P/1.821<br><b>晚上/Nd</b> 九时/Nd/3.392<br>二十分/Nd/3.209 寻获/VC/1.333<br>,/COMMACATEGORY 家属/Na<br>伤痛欲绝/VH 。/PERIODCATEGORY<br>蔡童/Nb 尸体/Na/1.165 被/P","漏夜/D/3.619 动员/VAC 上百/Neu<br>名/Nf 救难/Nv/1.365 人员/Na<br>搜救/VC/1.620 ,/COMMACATEGORY<br>尸体/Na/1.165 于/P/1.821<br><b>晚上/Nd</b> 九时/Nd/3.392<br>二十分/Nd/3.209 寻获/VC/1.333<br>,/COMMACATEGORY 家属/Na<br>伤痛欲绝/VH 。/PERIODCATEGORY<br>蔡童/Nb 尸体/Na/1.165 被/P","TW"
"晚上/Nd/CNA_CMN_20001107_wpr/104407",-0.234967126479041,0.243913764425072,"晚上","CNA","2000","商银/Nc 松/Na 南/Ncd 分行/Nc<br>提领/VC 一百万/Neu 元/Nf 现金/Na<br>,/COMMACATEGORY 准备/VC<br><b>晚上/Nd</b> 颁奖给/VD/2.508<br>赖姓/Nb/2.642 得奖人/Na/1.385<br>,/COMMACATEGORY 但/Cbb<br>制作/VC 单/A 位/Nf 却/D 发现/VE","商银/Nc 松/Na 南/Ncd 分行/Nc<br>提领/VC 一百万/Neu 元/Nf 现金/Na<br>,/COMMACATEGORY 准备/VC<br><b>晚上/Nd</b> 颁奖给/VD/2.508<br>赖姓/Nb/2.642 得奖人/Na/1.385<br>,/COMMACATEGORY 但/Cbb<br>制作/VC 单/A 位/Nf 却/D 发现/VE","TW"
"晚上/Nd/CNA_CMN_20010129_wpr/56861",-0.0488018519582406,0.00680184300743077,"晚上","CNA","2001","酒店/Nc 。/PERIODCATEGORY<br>高行健/Nb 今天/Nd/1.859 中午/Nd/2.941<br>会/D 有/V_2 私人/Nh 活动/VC/1.082<br>,/COMMACATEGORY <b>晚上/Nd</b><br>出席/Nv 法国/Na 总领/Na/3.671<br>事/Na 的/DE 晚宴/Na/2.853<br>,/COMMACATEGORY 庆祝/VE/1.115<br>高行健/Nb 获/VJ","酒店/Nc 。/PERIODCATEGORY<br>高行健/Nb 今天/Nd/1.859 中午/Nd/2.941<br>会/D 有/V_2 私人/Nh 活动/VC/1.082<br>,/COMMACATEGORY <b>晚上/Nd</b><br>出席/Nv 法国/Na 总领/Na/3.671<br>事/Na 的/DE 晚宴/Na/2.853<br>,/COMMACATEGORY 庆祝/VE/1.115<br>高行健/Nb 获/VJ","TW"
"晚上/Nd/XIN_CMN_20030821_wpr/54922",-0.141526358293756,-0.157710834995779,"晚上","XIN","2003",",/COMMACATEGORY 但/Cbb<br>他/Nh 现在/Nd 所/D 想/VE 的/DE<br>一切/Neqa 就/P 25日/Nd/1.971<br><b>晚上/Nd</b> 的/DE 决战/Na<br>。/PERIODCATEGORY 格林/Nb/1.307<br>接着/D 说/VE :/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>百/Neu 米/Nf",",/COMMACATEGORY 但/Cbb<br>他/Nh 现在/Nd 所/D 想/VE 的/DE<br>一切/Neqa 就/P 25日/Nd/1.971<br><b>晚上/Nd</b> 的/DE 决战/Na<br>。/PERIODCATEGORY 格林/Nb/1.307<br>接着/D 说/VE :/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>百/Neu 米/Nf","ML"
"晚上/Nd/CNA_CMN_20010121_wpr/59477",-0.042993070415063,0.00203927753688249,"晚上","CNA","2001","个/Nf 红包/Na 新台币/Na 一百/Neu<br>元/Nf 。/PERIODCATEGORY<br>县警局/Nc/1.259 将/P 次/Nes<br>二十三日/Nd/2.883 <b>晚上/Nd</b><br>六时/Nd/4.413 至/P/3.278<br>二十四/Neu/1.158 日/Nf/1.295<br>下午/Nd/2.260 一时/Nd ,/COMMACATEGORY<br>在/VCP 官田乡/Nc 西庄村/Nc","个/Nf 红包/Na 新台币/Na 一百/Neu<br>元/Nf 。/PERIODCATEGORY<br>县警局/Nc/1.259 将/P 次/Nes<br>二十三日/Nd/2.883 <b>晚上/Nd</b><br>六时/Nd/4.413 至/P/3.278<br>二十四/Neu/1.158 日/Nf/1.295<br>下午/Nd/2.260 一时/Nd ,/COMMACATEGORY<br>在/VCP 官田乡/Nc 西庄村/Nc","TW"
