"id","x","y","variant","corpus","year","text","lect"
"数字/Na/XIN_CMN_20030907_wpr/51066",-0.0414586227196155,0.0151395835291409,"数字","XIN","2003","那么/VH 总费用/Na 将/D 达/VJ<br>到/VCL 3000亿/Neu 美元/Nf<br>。/PERIODCATEGORY 这/Nep<br>一/Neu <b>数字/Na</b> 尚/D<br>不/D 包括/VK 伊拉克/Nc 的/DE<br>重建/Nv 等/Cab 费用/Na 。/PERIODCATEGORY<br>美国/Nc","ML"
"数额/Na/XIN_CMN_20001227_wpr/25428",0.104758754831919,-0.0340633154412754,"数额","XIN","2000","制度/Na ,/COMMACATEGORY<br>在/P 营业/Nv 执照/Na 上/Ncd<br>标明/VC 公司/Nc 实收/Nv 资本/Na<br><b>数额/Na</b> 。/PERIODCATEGORY<br>据/P 介绍/Na ,/COMMACATEGORY<br>从/P 明年/Nd 1月/Nd 1日/Nd<br>起/Ng ,/COMMACATEGORY","ML"
"数字/Na/CNA_CMN_20010116_wpr/62475",0.0202823516421743,0.123018006190778,"数字","CNA","2001","行政/Na 首长/Na 对于/P 各/Nes<br>种/Nf 意/Na 外/Ncd 事故/Na<br>的/DE 统计/Na <b>数字/Na</b><br>,/COMMACATEGORY 应/D 每/Nes<br>日/Nf 详阅/VC ,/COMMACATEGORY<br>以/P 做为/Na 施政/VA 的/DE","TW"
"数量/Na/XIN_CMN_20030701_wpr/62920",-0.0560118670759243,-0.278592664179398,"数量","XIN","2003","“/PARENTHESISCATEGORY<br>小鸟/Na 天堂/Nc ”/PARENTHESISCATEGORY<br>共憩居/Na 了/Di 48/Neu 种/Nf<br>鸟类/Na 。/PERIODCATEGORY<br><b>数量/Na</b> 最/Dfa 多/Neqa<br>的/DE 是/SHI 鹭鸟/Na ,/COMMACATEGORY<br>有/V_2 苍鹭/Na 、/PAUSECATEGORY<br>白鹭/Na","ML"
"数字/Na/ZBN_CMN_20030510_wpr/48214",0.0618072058434689,-0.0232308782328809,"数字","ZBN","2003","应该/D 尽量/D 减少/VHC 市民/Na<br>及/Caa 医护/A 人员/Na 感染/VJ<br>沙斯/Nb 的/DE <b>数字/Na</b><br>，/COMMACATEGORY 同时/Nd<br>设/VC 法/Na 与/Caa 中国/Na<br>融合/VC ，/COMMACATEGORY<br>吸引人/VH 才/Da","SG"
"数字/Na/XIN_CMN_20001116_wpr/67022",-0.187867977095039,-0.0922069955727972,"数字","XIN","2000","给/VD 它们/Nh 带来/VC 的/DE<br>严峻/VH 挑战/Nv 。/PERIODCATEGORY<br>现在/Nd ,/COMMACATEGORY<br>“/PARENTHESISCATEGORY<br><b>数字/Na</b> 鸿沟/Na ”/PARENTHESISCATEGORY<br>的/DE 出现/Nv 和/Caa 不断/VH<br>扩大/VC ,/COMMACATEGORY<br>使得/VL 南北/Na","ML"
"数字/Na/XIN_CMN_20001227_wpr/21065",-0.00406759744168767,0.0301380569114041,"数字","XIN","2000","电/Na 台北/Nc 消息/Na :/COLONCATEGORY<br>台湾/Na 近日/Nd 公/Na 布/Na<br>一连串/A 调查/Na <b>数字/Na</b><br>显示/Nv ,/COMMACATEGORY<br>各/Nes 项/Nf 失业率/Na 指标/Na<br>继续/VA 攀上/VC 新高/VH ,/COMMACATEGORY","ML"
"数字/Na/XIN_CMN_20030620_wpr/21960",-0.0408021315064551,-0.0240669369850308,"数字","XIN","2003","很/Dfa 大/VH 差距/Na ,/COMMACATEGORY<br>尤其/D 在/P 运用/VC 高科技/Na<br>手段/Na 和/Caa <b>数字/Na</b><br>化/VG 管理/Na 方面/Na 。/PERIODCATEGORY<br>“/PARENTHESISCATEGORY<br>然而/Cbb 最/Dfa 根本/VH 的/DE<br>差距/Na","ML"
"数字/Na/ZBN_CMN_20010129_wpr/10583",0.000206848837445336,0.0340378176284289,"数字","ZBN","2001","组织/Na 已/D 准备/VC 将/P 2001年/Nd<br>的/DE 世界/Nc 经济/Na 增长/Nv<br>预测/Na <b>数字/Na</b> ，/COMMACATEGORY<br>由/P 较/Dfa 早/VH 前/Ng 公布/VE<br>的/DE 4.2％/Neqa ，/COMMACATEGORY<br>下/Ncd","SG"
"数字/Na/XIN_CMN_20030605_wpr/58307",-0.000736122193382416,0.0456697051020989,"数字","XIN","2003","大部分/Neqa 地区/Nc 气温/Na<br>有所/D 下降/VA 。/PERIODCATEGORY<br>据/P 官方/Na 公布/VE 的/DE<br><b>数字/Na</b> ,/COMMACATEGORY<br>到/VCL 6月/Nd 5日/Nd 为止/Ng<br>,/COMMACATEGORY 印度/Nc<br>全国/Nc 已/T 有/V_2","ML"
