"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"患者/Na/ZBN_CMN_20030401_wpr/30589",-0.0373447657800468,0.017572570123274,"患者","ZBN","2003","被/P 发现/Na/1.996 染上/VJ/2.344<br>“/PARENTHESISCATEGORY<br>非典型/Na/3.406 肺炎/Na/3.413<br>”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 这/Nep<br>名/Nf/2.080 <b>患者/Na</b><br>一/Neu 去世/VH/1.971 ，/COMMACATEGORY<br>国家/Na 环境局/Nc 人员/Na/1.199<br>又/D 要/D 开始/VH 新/VH","被/P 发现/Na/1.996 染上/VJ/2.344<br>“/PARENTHESISCATEGORY<br>非典型/Na/3.406 肺炎/Na/3.413<br>”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 这/Nep<br>名/Nf/2.080 <b>患者/Na</b><br>一/Neu 去世/VH/1.971 ，/COMMACATEGORY<br>国家/Na 环境局/Nc 人员/Na/1.199<br>又/D 要/D 开始/VH 新/VH","SG"
"病患/Na/CNA_CMN_20010111_wpr/107157",0.20992197917485,-0.00258027393541777,"病患","CNA","2001","可以/VH 提升/Nv 国内/Nc 的/DE<br>血液/Na/2.479 净化/Nv/2.110<br>水准/Na ,/COMMACATEGORY<br>造福/VC/4.276 更多/VH <b>病患/Na</b><br>。/PERIODCATEGORY 900111/Neu/1.956<br>均衡/Nv/2.156 饮食/Na 过/VCL<br>年关/Nd 营养师/Na 推出/VC 个人/Nh<br>标准餐/Na","可以/VH 提升/Nv 国内/Nc 的/DE<br>血液/Na/2.479 净化/Nv/2.110<br>水准/Na ,/COMMACATEGORY<br>造福/VC/4.276 更多/VH <b>病患/Na</b><br>。/PERIODCATEGORY 900111/Neu/1.956<br>均衡/Nv/2.156 饮食/Na 过/VCL<br>年关/Nd 营养师/Na 推出/VC 个人/Nh<br>标准餐/Na","TW"
"患者/Na/CNA_CMN_20030727_wpr/5207",0.124683751358259,0.0403275621836819,"患者","CNA","2003","劲旅/Na 。/PERIODCATEGORY<br>其中/Nep/1.467 来自/VJ 菲律宾/Nc<br>、/PAUSECATEGORY 由/P 一/Neu<br>群/Nf 癌症/Na/3.991 <b>患者/Na</b><br>组成/VG 的/DE 混合/Nv/1.784<br>队伍/Na 最/Dfa 受/VJ 瞩目/Nv<br>。/PERIODCATEGORY 台北/Nc<br>爱乐/Nv","劲旅/Na 。/PERIODCATEGORY<br>其中/Nep/1.467 来自/VJ 菲律宾/Nc<br>、/PAUSECATEGORY 由/P 一/Neu<br>群/Nf 癌症/Na/3.991 <b>患者/Na</b><br>组成/VG 的/DE 混合/Nv/1.784<br>队伍/Na 最/Dfa 受/VJ 瞩目/Nv<br>。/PERIODCATEGORY 台北/Nc<br>爱乐/Nv","TW"
"病人/Na/ZBN_CMN_20030530_wpr/18051",-0.00153113470762239,0.0485364161303303,"病人","ZBN","2003","恢复/VHC 世卫/Nb 的/DE 定义/VC/1.471<br>来/D 厘定/VC 感染/Nv/2.795<br>个案/Na/1.813 ，/COMMACATEGORY<br>即/VG <b>病人/Na</b> 一旦/Cbb/1.556<br>出现/Nv/1.374 明显/VH 病征/Na/3.595<br>，/COMMACATEGORY 以及/Cbb<br>曾/D 有/V_2 机会/Na 接触/VC/3.794","恢复/VHC 世卫/Nb 的/DE 定义/VC/1.471<br>来/D 厘定/VC 感染/Nv/2.795<br>个案/Na/1.813 ，/COMMACATEGORY<br>即/VG <b>病人/Na</b> 一旦/Cbb/1.556<br>出现/Nv/1.374 明显/VH 病征/Na/3.595<br>，/COMMACATEGORY 以及/Cbb<br>曾/D 有/V_2 机会/Na 接触/VC/3.794","SG"
"病人/Na/CNA_CMN_20001114_wpr/35005",0.322260685069734,-0.172017230752206,"病人","CNA","2000","经过/Na 特殊/VH 的/DE 高科技/Na<br>处理/VC 之后/Ng ,/COMMACATEGORY<br>分批/D 注回/VC/4.546 原/A<br><b>病人/Na</b> 的/DE 体/Na/1.054<br>内/Ncd ,/COMMACATEGORY<br>以/Cbb 发挥/Na 对抗/VC 特定/A<br>目标/Na 的/DE","经过/Na 特殊/VH 的/DE 高科技/Na<br>处理/VC 之后/Ng ,/COMMACATEGORY<br>分批/D 注回/VC/4.546 原/A<br><b>病人/Na</b> 的/DE 体/Na/1.054<br>内/Ncd ,/COMMACATEGORY<br>以/Cbb 发挥/Na 对抗/VC 特定/A<br>目标/Na 的/DE","TW"
"患者/Na/XIN_CMN_20030417_wpr/31920",-0.111676226601291,-0.033937562084665,"患者","XIN","2003",",/COMMACATEGORY 统筹/Nv<br>医疗/Na/2.378 卫生/Na 资源/Na<br>。/PERIODCATEGORY 对/P<br>生活/Na 困难/Na/1.635 的/DE<br><b>患者/Na</b> ,/COMMACATEGORY<br>要/D 实行/VC/1.670 医疗/Na/2.378<br>救助/VC/2.401 ,/COMMACATEGORY<br>保证/Na 他们/Nh 及时/D/2.436<br>得到/Nv/1.493",",/COMMACATEGORY 统筹/Nv<br>医疗/Na/2.378 卫生/Na 资源/Na<br>。/PERIODCATEGORY 对/P<br>生活/Na 困难/Na/1.635 的/DE<br><b>患者/Na</b> ,/COMMACATEGORY<br>要/D 实行/VC/1.670 医疗/Na/2.378<br>救助/VC/2.401 ,/COMMACATEGORY<br>保证/Na 他们/Nh 及时/D/2.436<br>得到/Nv/1.493","ML"
"患者/Na/XIN_CMN_20030505_wpr/29003",-0.080491131108979,0.0136479024887496,"患者","XIN","2003","的/DE 大/VH 医院/Nc/2.326<br>多/VH ,/COMMACATEGORY<br>专门/VH/1.341 收治/VC/4.630<br>“/PARENTHESISCATEGORY<br>非典/Na/3.699 ”/PARENTHESISCATEGORY<br><b>患者/Na</b> 的/DE 市级/Na/2.835<br>定点/Na/3.455 医院/Nc/2.326<br>－－/Neu 胸科/Na/2.620 医院/Nc/2.326<br>就/D 位于/VCL 海淀区/Nc/3.313","的/DE 大/VH 医院/Nc/2.326<br>多/VH ,/COMMACATEGORY<br>专门/VH/1.341 收治/VC/4.630<br>“/PARENTHESISCATEGORY<br>非典/Na/3.699 ”/PARENTHESISCATEGORY<br><b>患者/Na</b> 的/DE 市级/Na/2.835<br>定点/Na/3.455 医院/Nc/2.326<br>－－/Neu 胸科/Na/2.620 医院/Nc/2.326<br>就/D 位于/VCL 海淀区/Nc/3.313","ML"
"患者/Na/XIN_CMN_20030724_wpr/34288",0.0199478196342978,0.0982507933727942,"患者","XIN","2003","廖翊/Nb )/PARENTHESISCATEGORY<br>台湾/Na 近期/Nd 持续/Nv 高温/Na/1.104<br>,/COMMACATEGORY “/PARENTHESISCATEGORY<br>军团病/Na/5.295 ”/PARENTHESISCATEGORY<br><b>患者/Na</b> 也/D 呈上/VC/1.820<br>升/VC 趋势/Na/1.129 。/PERIODCATEGORY<br>台湾/Na 疾病/Na/2.642 管制局/Nc<br>24日/Nd 通报/VE/1.954","廖翊/Nb )/PARENTHESISCATEGORY<br>台湾/Na 近期/Nd 持续/Nv 高温/Na/1.104<br>,/COMMACATEGORY “/PARENTHESISCATEGORY<br>军团病/Na/5.295 ”/PARENTHESISCATEGORY<br><b>患者/Na</b> 也/D 呈上/VC/1.820<br>升/VC 趋势/Na/1.129 。/PERIODCATEGORY<br>台湾/Na 疾病/Na/2.642 管制局/Nc<br>24日/Nd 通报/VE/1.954","ML"
"患者/Na/ZBN_CMN_20030601_wpr/79436",-0.0304279737558921,0.0200160351897736,"患者","ZBN","2003","开放/VC 国家/Na ，/COMMACATEGORY<br>我们/Nh 的/DE 挑战/Nv 是/SHI<br>出现/Nv/1.340 外国/Nc 沙斯/Nb/2.915<br><b>患者/Na</b> 时/Ng 如何/VH/1.320<br>确保/Nv/1.035 不会/D 把/P<br>病毒/Na/1.905 传给/VD/1.349<br>医护/A/2.387 人员/Na/1.199<br>。/PERIODCATEGORY","开放/VC 国家/Na ，/COMMACATEGORY<br>我们/Nh 的/DE 挑战/Nv 是/SHI<br>出现/Nv/1.340 外国/Nc 沙斯/Nb/2.915<br><b>患者/Na</b> 时/Ng 如何/VH/1.320<br>确保/Nv/1.035 不会/D 把/P<br>病毒/Na/1.905 传给/VD/1.349<br>医护/A/2.387 人员/Na/1.199<br>。/PERIODCATEGORY","SG"
"患者/Na/XIN_CMN_20030710_wpr/82571",0.0430279363612685,-0.00326243039708849,"患者","XIN","2003","讲述/VE 了/Di 一/Neu 位/Nf/1.630<br>心理/Na/1.806 博士/Na 向/P<br>社会/Na 招募/Nv/2.247 乳腺癌/Na/4.464<br><b>患者/Na</b> 组成/Nv 心理/Na/1.806<br>治疗/Na/3.531 小组/Na 的/DE<br>故事/Na 。/PERIODCATEGORY<br>但/Cbb 因/P 现在/Nd","讲述/VE 了/Di 一/Neu 位/Nf/1.630<br>心理/Na/1.806 博士/Na 向/P<br>社会/Na 招募/Nv/2.247 乳腺癌/Na/4.464<br><b>患者/Na</b> 组成/Nv 心理/Na/1.806<br>治疗/Na/3.531 小组/Na 的/DE<br>故事/Na 。/PERIODCATEGORY<br>但/Cbb 因/P 现在/Nd","ML"
