"id","x","y","variant","corpus","year","text","lect"
"警察/Na/ZBN_CMN_20001127_wpr/26411",-0.0526090928881437,0.00163077625005708,"警察","ZBN","2000","瓶子 及 其它 物品 。 当局 因此 出动<br>镇 暴 <b>警察</b> 设法 维持 秩序<br>。 镇暴 警察 使用 催泪弹 ， 设法","SG"
"警方/Na/ZBN_CMN_20030810_wpr/45141",-0.0108339039659977,-0.00570812202151225,"警方","ZBN","2003","向 印尼 国会 汇报 爆炸 调查 情况 时<br>指出 ， <b>警方</b> 至今 的 调查<br>方向 是 对准 回教 祈祷团 。 号码","SG"
"公安/Na/XIN_CMN_20030808_wpr/36849",-0.0244140756297326,0.0824882887829485,"公安","XIN","2003","公安局 长 引咎 辞职 。 据悉 , 河南省<br>各 级 <b>公安</b> 机关 都 将<br>设置 并 向 社会 公布 举报 电话","ML"
"警方/Na/ZBN_CMN_20030503_wpr/196",0.00779165042141399,-0.0488452985720646,"警方","ZBN","2003","在 汽车 的 行李 箱 内 。 他 说 ，<br><b>警方</b> 已 传召 相片 中 一<br>名 赤裸 的 女郎 进行","SG"
"警方/Na/CNA_CMN_20001007_wpr/43269",0.0372367238307028,0.037069750904181,"警方","CNA","2000","未 发 现有 帮派 份子 在 咖啡馆 内<br>, 经 <b>警方</b> 清查 店 内<br>消费者 , 没有 发现 有 人 携带","TW"
"员警/Na/CNA_CMN_20010116_wpr/147780",0.00538888251325856,0.0833688772535585,"员警","CNA","2001","安康 纪念 车票 三十一 . 陈水扁 慰问<br>北县 春安 工作 <b>员警</b> 三十二<br>. 基隆 关税局 新旧 任 局长 交接 三十三.三<br>信","TW"
"警员/Na/ZBN_CMN_20030803_wpr/53196",0.048693648454675,-0.117405645041915,"警员","ZBN","2003","分别 是 去年 比赛 的 亚军 和 季军<br>。 当 <b>警员</b> 爱上 毒贩 的<br>妹妹 这 部 动作片 是 续集 电影","SG"
"警察/Na/XIN_CMN_20030414_wpr/56515",-0.0532829035817536,-0.000596609799180297,"警察","XIN","2003","在 伊拉克 南部 的 巴士 拉 , 英军<br>与 当地 <b>警察</b> 共同 维持<br>秩序 , 居民 生活 逐步 正常 。 但","ML"
"警察/Na/ZBN_CMN_20030818_wpr/84811",-0.085114338671205,0.0841045887676949,"警察","ZBN","2003","， 但 罪案 却 不 多 ， 警察局长 凯利<br>归功于 <b>警察</b> 迅速 部署 ，<br>危险性 高地区 的 部署 更 快 。","SG"
"警察/Na/XIN_CMN_20010109_wpr/52549",-0.174282119546527,-0.0097653819892614,"警察","XIN","2001","人士 确认 , 这 架 飞机 上乘 有 伊里安<br>查亚省 <b>警察</b> 长 、 特里<br>卡拉 军区 司令 、 省 检察长 、","ML"
"公安/Na/XIN_CMN_20001013_wpr/40870",-0.0820648029143434,0.0770462755041551,"公安","XIN","2000",", 纠正 自身 存在 的 问题 。 要 大力<br>推动 <b>公安</b> 队伍 的 革命<br>化 、 正规化 、 现代化 建设 ,","ML"
"警方/Na/XIN_CMN_20030826_wpr/74521",-0.0491033490793389,-0.0551691143845834,"警方","XIN","2003","缴获 大量 武器 。 此 前 该 组织 一直<br>在 <b>警方</b> 监视 之下 。 发言人<br>没有 透露 任何 有关 细节 ,","ML"
"警方/Na/ZBN_CMN_20030627_wpr/23692",0.0544376528604115,-0.0431995638707718,"警方","ZBN","2003","治病 ， 竟然 在 浴室 里 惨遭 强奸<br>。 新山 <b>警方</b> 提醒 公众<br>人士 ， 尤其 是 少女 与 妇女 ，","SG"
"员警/Na/CNA_CMN_20010101_wpr/28947",-0.04075169745501,0.0672334320269636,"员警","CNA","2001","台中市 协 助 治安 工作 的 六百多 位<br>保四 总队 <b>员警</b> 举办 欢送<br>仪式 , 未 来 归队 的 保四 总队","TW"
"警方/Na/CNA_CMN_20001218_wpr/96672",0.0838725338447527,0.151172899987661,"警方","CNA","2000","仿冒 沙拉油 , 将 送 卫生 单 位 检验<br>。 <b>警方</b> 并 通知 「 一品<br>」 等 九 家 厂商 到","TW"
"员警/Na/CNA_CMN_20001201_wpr/93089",0.0218732122708305,0.0905860747340592,"员警","CNA","2000","少 的 可 怜 , 也 令 人 质疑 管区<br><b>员警</b> 是否 有 包庇 辖区<br>内 色情 行业 之 嫌 。","TW"
