"id","x","y","variant","corpus","year","text","lect"
"仪式/Na/XIN_CMN_20030404_wpr/30470",-0.175586812943049,0.000641156055495744,"仪式","XIN","2003",", 并 成为 中国 历代 帝王 、 民众<br>的 传统 <b>仪式</b> 。 最 大<br>的 一 次 祭祀 由 汉武帝 发起","ML"
"典礼/Na/CNA_CMN_20030824_wpr/175",0.0451301319569369,-0.045038068839429,"典礼","CNA","2003","问及 李登辉 上午 曾 暗批 连宋 ， 参加<br>李校 结业 <b>典礼</b> 是否 会<br>尴尬 ， 王金平 表示 ， 那 是 李登辉","TW"
"仪式/Na/CNA_CMN_20001207_wpr/167002",0.107718381741993,0.123537036387306,"仪式","CNA","2000","领袖 高峰会 , 以 签署 历史性 基本<br>人权 宪章 简短 <b>仪式</b> 展开<br>。 该 宪章 订定 了 欧盟 三亿七千五百万<br>公民 的","TW"
"典礼/Na/CNA_CMN_20001212_wpr/145395",0.0464378811798049,-0.0325569615091041,"典礼","CNA","2000","个 量级 , 另外 在 这 项 赛程 的<br>开幕 <b>典礼</b> 中 也 进 行<br>彰化县 跆拳道 委员会 主委 的 交接","TW"
"仪式/Na/XIN_CMN_20030709_wpr/54841",0.0378526388546153,0.0328470319589226,"仪式","XIN","2003","驻 多哥 大使馆 临时 代办 王 书平 出席<br>了 捐赠 <b>仪式</b> , 并 分别<br>代表 本 国 政府 在 移 交","ML"
"仪式/Na/CNA_CMN_20010112_wpr/4706",0.0672166361204414,-0.0738894713852052,"仪式","CNA","2001",", 市府 捐血 月 活动 暨 尊龙 一 号<br>捐赠 <b>仪式</b> , 市府 B1<br>广播室 。 -- 十四时 三十分 , 文化局","TW"
"仪式/Na/CNA_CMN_20030912_wpr/2905",0.000592868482839562,0.0037455564267342,"仪式","CNA","2003","在 今天 受 创伤 的 人 。 白宫 纪念<br>九一一 <b>仪式</b> 于 美东 时间<br>上午 八时 四十六分 在 白宫 南 草坪","TW"
"仪式/Na/XIN_CMN_20001225_wpr/10150",-0.0186752979076204,0.00465979970183265,"仪式","XIN","2000","还 举行 了 盛大 的 申奥 碑揭 碑 仪式<br>。 <b>仪式</b> 上 , 2008<br>只 和平鸽 直 冲 云霄 , 分别","ML"
"仪式/Na/XIN_CMN_20030605_wpr/6801",-0.013050635381418,0.016512791949381,"仪式","XIN","2003","5 日 举行 的 第三 次 抗 非典 捐<br>赠 <b>仪式</b> 上 宣布 的 。<br>捐赠 仪式 上 , 14 家","ML"
"仪式/Na/XIN_CMN_20001221_wpr/91102",-0.0202152471983991,-0.0340546176679365,"仪式","XIN","2000","有限公司 “ 国家 863 计划 成果 产业<br>化基地 ” 揭牌 <b>仪式</b> 在<br>合肥 高新区 隆重 举行 。 科大讯 飞<br>公司 致力","ML"
"仪式/Na/CNA_CMN_20001011_wpr/10663",0.00546414438172565,0.0459507214786843,"仪式","CNA","2000","世贸组织 同 一 会期 取得 入会 。 白宫<br>的 签署 <b>仪式</b> 上 , 并<br>没有 中共 方面 的 官员 , 出席","TW"
"典礼/Na/CNA_CMN_20001031_wpr/145365",0.124934596133264,0.209629181402702,"典礼","CNA","2000","回 学校 办 登记 分发 报名 , 因此<br>毕 业 <b>典礼</b> 无须 延后 ,<br>但 各 校 仍 可 自主 延后","TW"
"典礼/Na/CNA_CMN_20010106_wpr/31807",0.0319315907020654,-0.0595824235451716,"典礼","CNA","2001","的 活动 , 除了 上午 的 岁末 祝福<br>和 授证 <b>典礼</b> 外 , 下午<br>证严 法师 还 为 一千三百五十 位 环保","TW"
"仪式/Na/CNA_CMN_20010111_wpr/8871",-0.292014912631417,0.236895930556604,"仪式","CNA","2001","日 专电 ) 美国 国家 动物园 今 天<br>在 简单 <b>仪式</b> 下 , 开放<br>外界 观赏 中国 大陆 来 的 熊猫","TW"
"仪式/Na/ZBN_CMN_20001210_wpr/4397",-0.151804987449,-0.102823301143449,"仪式","ZBN","2000","时间 晚上 9时 （ 新加坡 时间 凌晨<br>2时 ） 祷告 <b>仪式</b> 进行<br>时 发生 的 。 由于 当天 是 回教 的","SG"
"仪式/Na/CNA_CMN_20010110_wpr/137917",0.0398872264010222,-0.0475860783309216,"仪式","CNA","2001","跑 绕境 到 霞海 城隍庙 , 主持 年货<br>大街 开锣 <b>仪式</b> 。 当 马英<br>九 按下 祈福 钮 时 , 祈福灯","TW"
"仪式/Na/XIN_CMN_20001213_wpr/67623",0.0352926712423448,-0.0305317801260876,"仪式","XIN","2000","合作 方面 所 作出 的 努力 。 出席<br>今晚 授奖 <b>仪式</b> 的 贵宾<br>有 在 悉尼奥运会 和 悉尼 残奥 会 上","ML"
