"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"仪式/Na/XIN_CMN_20030404_wpr/30470",-0.175586812943049,0.000641156055495744,"仪式","XIN","2003",",/COMMACATEGORY 并/Cbb<br>成为/VG 中国/Nc 历代/Nd 帝王/Na<br>、/PAUSECATEGORY 民众/Na<br>的/DE 传统/Na/1.118 <b>仪式/Na</b><br>。/PERIODCATEGORY 最/Dfa<br>大/VH 的/DE 一/Neu 次/Nf<br>祭祀/VC/3.375 由/P/1.220<br>汉武帝/Nb 发起/VC",",/COMMACATEGORY 并/Cbb<br>成为/VG 中国/Nc 历代/Nd 帝王/Na<br>、/PAUSECATEGORY 民众/Na<br>的/DE 传统/Na/1.118 <b>仪式/Na</b><br>。/PERIODCATEGORY 最/Dfa<br>大/VH 的/DE 一/Neu 次/Nf<br>祭祀/VC/3.375 由/P/1.220<br>汉武帝/Nb 发起/VC","ML"
"典礼/Na/CNA_CMN_20030824_wpr/175",0.0451301319569369,-0.045038068839429,"典礼","CNA","2003","问及/VE 李登辉/Nb/1.898 上午/Nd/2.239<br>曾/D 暗批/Na 连宋/Nb ，/COMMACATEGORY<br>参加/VC/2.625 李校/Nb/6.324<br>结业/VH/6.118 <b>典礼/Na</b><br>是否/D 会/D 尴尬/VH ，/COMMACATEGORY<br>王金平/Nb/1.724 表示/VE ，/COMMACATEGORY<br>那/Nep 是/SHI 李登辉/Nb/1.898","问及/VE 李登辉/Nb/1.898 上午/Nd/2.239<br>曾/D 暗批/Na 连宋/Nb ，/COMMACATEGORY<br>参加/VC/2.625 李校/Nb/6.324<br>结业/VH/6.118 <b>典礼/Na</b><br>是否/D 会/D 尴尬/VH ，/COMMACATEGORY<br>王金平/Nb/1.724 表示/VE ，/COMMACATEGORY<br>那/Nep 是/SHI 李登辉/Nb/1.898","TW"
"仪式/Na/CNA_CMN_20001207_wpr/167002",0.107718381741993,0.123537036387306,"仪式","CNA","2000","领袖/Na 高峰会/Na ,/COMMACATEGORY<br>以/P 签署/VC/2.506 历史性/Na/1.193<br>基本/Na 人权/Na 宪章/Na/2.111<br>简短/VH/4.136 <b>仪式/Na</b><br>展开/VC 。/PERIODCATEGORY<br>该/Nes 宪章/Na/2.111 订定/VC<br>了/Di 欧盟/Nb 三亿七千五百万/Neu<br>公民/Na 的/DE","领袖/Na 高峰会/Na ,/COMMACATEGORY<br>以/P 签署/VC/2.506 历史性/Na/1.193<br>基本/Na 人权/Na 宪章/Na/2.111<br>简短/VH/4.136 <b>仪式/Na</b><br>展开/VC 。/PERIODCATEGORY<br>该/Nes 宪章/Na/2.111 订定/VC<br>了/Di 欧盟/Nb 三亿七千五百万/Neu<br>公民/Na 的/DE","TW"
"典礼/Na/CNA_CMN_20001212_wpr/145395",0.0464378811798049,-0.0325569615091041,"典礼","CNA","2000","个/Nf 量级/Na ,/COMMACATEGORY<br>另外/D 在/P 这/Nep 项/Nf 赛程/Na<br>的/DE 开幕/Nv/5.197 <b>典礼/Na</b><br>中/Ng 也/D 进/VCL 行/VA 彰化县/Nc<br>跆拳道/Na/1.701 委员会/Nc 主委/Na/3.083<br>的/DE 交接/VC/5.867","个/Nf 量级/Na ,/COMMACATEGORY<br>另外/D 在/P 这/Nep 项/Nf 赛程/Na<br>的/DE 开幕/Nv/5.197 <b>典礼/Na</b><br>中/Ng 也/D 进/VCL 行/VA 彰化县/Nc<br>跆拳道/Na/1.701 委员会/Nc 主委/Na/3.083<br>的/DE 交接/VC/5.867","TW"
"仪式/Na/XIN_CMN_20030709_wpr/54841",0.0378526388546153,0.0328470319589226,"仪式","XIN","2003","驻/VCL 多哥/Nb/1.604 大使馆/Nc/1.806<br>临时/D 代办/VC/1.645 王/Nb<br>书平/Nb/5.392 出席/VC/4.154<br>了/Di 捐赠/Nv/4.689 <b>仪式/Na</b><br>,/COMMACATEGORY 并/Cbb<br>分别/D 代表/VC/1.263 本/Nes<br>国/Nc 政府/Na 在/P 移/VC/1.285<br>交/VD/1.665","驻/VCL 多哥/Nb/1.604 大使馆/Nc/1.806<br>临时/D 代办/VC/1.645 王/Nb<br>书平/Nb/5.392 出席/VC/4.154<br>了/Di 捐赠/Nv/4.689 <b>仪式/Na</b><br>,/COMMACATEGORY 并/Cbb<br>分别/D 代表/VC/1.263 本/Nes<br>国/Nc 政府/Na 在/P 移/VC/1.285<br>交/VD/1.665","ML"
"仪式/Na/CNA_CMN_20010112_wpr/4706",0.0672166361204414,-0.0738894713852052,"仪式","CNA","2001",",/COMMACATEGORY 市府/Nc/1.509<br>捐血/VA 月/Na 活动/Na 暨/Caa/2.589<br>尊龙/Nb/5.903 一/Neu 号/Nf<br>捐赠/Nv/4.689 <b>仪式/Na</b><br>,/COMMACATEGORY 市府/Nc/1.509<br>B1/Na/2.286 广播室/Nc/6.021<br>。/PERIODCATEGORY --/DASHCATEGORY<br>十四时/Nd 三十分/Nd/1.061 ,/COMMACATEGORY<br>文化局/Nc",",/COMMACATEGORY 市府/Nc/1.509<br>捐血/VA 月/Na 活动/Na 暨/Caa/2.589<br>尊龙/Nb/5.903 一/Neu 号/Nf<br>捐赠/Nv/4.689 <b>仪式/Na</b><br>,/COMMACATEGORY 市府/Nc/1.509<br>B1/Na/2.286 广播室/Nc/6.021<br>。/PERIODCATEGORY --/DASHCATEGORY<br>十四时/Nd 三十分/Nd/1.061 ,/COMMACATEGORY<br>文化局/Nc","TW"
"仪式/Na/CNA_CMN_20030912_wpr/2905",0.000592868482839562,0.0037455564267342,"仪式","CNA","2003","在/P 今天/Nd/1.196 受/P/1.380<br>创伤/Na 的/DE 人/Na 。/PERIODCATEGORY<br>白宫/Nc/1.525 纪念/Na/3.690<br>九一一/Neu/1.857 <b>仪式/Na</b><br>于/P 美东/Nc/2.213 时间/Na<br>上午/Nd/1.730 八时/Nd/1.609<br>四十六分/Nd 在/P 白宫/Nc/1.525<br>南/Ncd 草坪/Na","在/P 今天/Nd/1.196 受/P/1.380<br>创伤/Na 的/DE 人/Na 。/PERIODCATEGORY<br>白宫/Nc/1.525 纪念/Na/3.690<br>九一一/Neu/1.857 <b>仪式/Na</b><br>于/P 美东/Nc/2.213 时间/Na<br>上午/Nd/1.730 八时/Nd/1.609<br>四十六分/Nd 在/P 白宫/Nc/1.525<br>南/Ncd 草坪/Na","TW"
"仪式/Na/XIN_CMN_20001225_wpr/10150",-0.0186752979076204,0.00465979970183265,"仪式","XIN","2000","还/D 举行/VC/3.406 了/Di<br>盛大/VH/3.689 的/T 申奥/Nb<br>碑揭/Na/6.309 碑/Na/4.128<br>仪式/Na/2.978 。/PERIODCATEGORY<br><b>仪式/Na</b> 上/Ncd/2.252<br>,/COMMACATEGORY 2008/Neu/3.280<br>只/Nf 和平鸽/Na 直/D 冲/VC<br>云霄/Nc ,/COMMACATEGORY<br>分别/D","还/D 举行/VC/3.406 了/Di<br>盛大/VH/3.689 的/T 申奥/Nb<br>碑揭/Na/6.309 碑/Na/4.128<br>仪式/Na/2.978 。/PERIODCATEGORY<br><b>仪式/Na</b> 上/Ncd/2.252<br>,/COMMACATEGORY 2008/Neu/3.280<br>只/Nf 和平鸽/Na 直/D 冲/VC<br>云霄/Nc ,/COMMACATEGORY<br>分别/D","ML"
"仪式/Na/XIN_CMN_20030605_wpr/6801",-0.013050635381418,0.016512791949381,"仪式","XIN","2003","5/Neu 日/Nf 举行/VC/3.406<br>的/DE 第三/Neu 次/Nf 抗/VJ<br>非典/Na 捐/VD/1.932 赠/VD/3.494<br><b>仪式/Na</b> 上/Ncd/2.252<br>宣布/VE/1.195 的/DE 。/PERIODCATEGORY<br>捐赠/Nv/4.689 仪式/Na/2.978<br>上/Ncd/2.252 ,/COMMACATEGORY<br>14/Neu 家/Nf","5/Neu 日/Nf 举行/VC/3.406<br>的/DE 第三/Neu 次/Nf 抗/VJ<br>非典/Na 捐/VD/1.932 赠/VD/3.494<br><b>仪式/Na</b> 上/Ncd/2.252<br>宣布/VE/1.195 的/DE 。/PERIODCATEGORY<br>捐赠/Nv/4.689 仪式/Na/2.978<br>上/Ncd/2.252 ,/COMMACATEGORY<br>14/Neu 家/Nf","ML"
"仪式/Na/XIN_CMN_20001221_wpr/91102",-0.0202152471983991,-0.0340546176679365,"仪式","XIN","2000","有限公司/Nc “/PARENTHESISCATEGORY<br>国家/Na 863/Neu 计划/Na 成果/Na<br>产业/Na 化基地/Na/5.210 ”/PARENTHESISCATEGORY<br>揭牌/Na/6.097 <b>仪式/Na</b><br>在/P 合肥/Na 高新区/Nc/2.320<br>隆重/VH/5.305 举行/VC/3.406<br>。/PERIODCATEGORY 科大讯/Na<br>飞/VA 公司/Nc 致力/VL","有限公司/Nc “/PARENTHESISCATEGORY<br>国家/Na 863/Neu 计划/Na 成果/Na<br>产业/Na 化基地/Na/5.210 ”/PARENTHESISCATEGORY<br>揭牌/Na/6.097 <b>仪式/Na</b><br>在/P 合肥/Na 高新区/Nc/2.320<br>隆重/VH/5.305 举行/VC/3.406<br>。/PERIODCATEGORY 科大讯/Na<br>飞/VA 公司/Nc 致力/VL","ML"
