"id","x","y","variant","corpus","year","text","lect"
"公路/Na/XIN_CMN_20030630_wpr/4499",-0.029167609763552,-0.0185526320365644,"公路","XIN","2003","大 批 外商 看好 福 建 沿海 , 在<br>高速 <b>公路</b> 各 个 互通口<br>选择 投资 场所 , 一些 项目 已经","ML"
"道路/Na/ZBN_CMN_20030727_wpr/70706",0.0264347492788368,-0.064996181747573,"道路","ZBN","2003","、 守旧 的 城市 ， 这里 的 许多 建筑物<br>、 <b>道路</b> 甚至 人们 的 观念<br>和 法律 都 是 历史 遗产","SG"
"公路/Na/XIN_CMN_20001023_wpr/4746",-0.0278503206590742,-0.0365557192881808,"公路","XIN","2000","建设 的 又 一 座 具有 国 际 水平<br>的 <b>公路</b> 大桥 。 大 桥北起<br>扬州市 , 跨 江 连接 对岸","ML"
"道路/Na/XIN_CMN_20010105_wpr/40822",0.165769750768476,0.00328612526374711,"道路","XIN","2001","是 在 共产党 领导 下 , 西藏人 民<br>走上 社会主义 <b>道路</b> 以 后<br>才 获得 的 。 忘 了 这 点","ML"
"公路/Na/ZBN_CMN_20030529_wpr/25884",-0.0433544933513665,0.0171080043535352,"公路","ZBN","2003","罕见 意外 ， 一 头 “ 花豹 ” 冲上<br>高速 <b>公路</b> ， 在 黑夜 中<br>惨遭 车子 迎头 猛撞 ， 当场","SG"
"公路/Na/XIN_CMN_20001128_wpr/44964",0.0091480976441259,-0.0687570041443841,"公路","XIN","2000","村落 、 学校 、 矿区 , 宣 讲 高<br>速 <b>公路</b> 管理 法规 。 他们<br>还 与 当地 新闻 单位 合作","ML"
"公路/Na/XIN_CMN_20001219_wpr/36524",-0.0496597776627522,0.00124149140284613,"公路","XIN","2000","巨大 的 经济 效益 。 通行 能力 大<br>。 高速 <b>公路</b> 路面 宽 、<br>车道 多 , 因而 车流量 大 、","ML"
"公路/Na/XIN_CMN_20030406_wpr/46095",-0.0133542249453624,0.00116439521953523,"公路","XIN","2003","了 通往 伊拉克 首都 巴格达 的 两 条<br>主要 高速 <b>公路</b> , 形成<br>对 巴格达 西北方 向 的 包围 。 来自","ML"
"公路/Na/XIN_CMN_20030928_wpr/12463",-0.0287644866369343,-0.00383638001844839,"公路","XIN","2003","、 施工 难度 最大 、 科技 含量 最<br>高 的 <b>公路</b> 项目 。 大<br>运 高速 公路 全长 666 公里 ,","ML"
"公路/Na/XIN_CMN_20010124_wpr/22330",-0.0714947922181756,0.0542529625343669,"公路","XIN","2001","武汉 一 桥 、 长江 二桥 、 白 沙洲<br>三桥 <b>公路</b> 两旁 华灯初上<br>, 绵延 数 里 ; 百 里 江城","ML"
"公路/Na/CNA_CMN_20001123_wpr/14585",-0.102949964012412,-0.0524650678800624,"公路","CNA","2000","中央 警大 、 营建 属 及 所属 、 警政署<br>国道 <b>公路</b> 警察局 、 警政署<br>空中 警察队 , 以 及 行政院 公共","TW"
"道路/Na/CNA_CMN_20001124_wpr/40194",-0.0604744094772686,0.0255853458708609,"道路","CNA","2000","。 今天 上午 , 使用 环东大道 及 南港<br>一 号 <b>道路</b> 的 车辆 ,<br>比起 昨天 倒是 增加 , 但 仍","TW"
"道路/Na/XIN_CMN_20030906_wpr/23177",0.0757403997904292,0.0223202366242207,"道路","XIN","2003","打造 东北 装备 制造业 基地 是 中国<br>走 新型 工业化 <b>道路</b> ,<br>到 2020年 基本 实现 工业化 的 战略<br>举措 。","ML"
"公路/Na/XIN_CMN_20001128_wpr/29181",-0.0763809171069206,-0.0134038107996612,"公路","XIN","2000","称 。 目前 , 通往 格尔木市 有 著名<br>的 青藏 <b>公路</b> 和 青藏铁路<br>。 据 了解 , 格尔木 机场 可 供","ML"
"街道/Na/ZBN_CMN_20030723_wpr/7202",0.00596649574675748,0.00400328935963472,"街道","ZBN","2003","的 交通 工具 以 脚踏车 为主 ， 环<br>市 主要 <b>街道</b> 只有 一 条<br>， 绝不 会 迷路 。 马列 游","SG"
