"id","x","y","variant","corpus","year","text","lect"
"地点/Na/CNA_CMN_20001005_wpr/132821",-0.0614294407340383,-0.107133685350714,"地点","CNA","2000","在 埃及 红海 渡假 胜地 夏姆钖 克 展开<br>。 会谈 <b>地点</b> 的 一 家<br>旅馆 的 闭路电视 显示 会谈 已经 开始","TW"
"立场/Na/XIN_CMN_20030805_wpr/62113",0.0773823081421418,-0.0253778239255508,"立场","XIN","2003","( 完 ) ( 国际 ) 俄 副外长 称美<br>目前 <b>立场</b> 对 朝核 问题<br>会谈 具有 建设性 新华社 吉隆坡 8月<br>5日","ML"
"位置/Na/ZBN_CMN_20030526_wpr/38719",-0.0693707055700581,0.0180385135542695,"位置","ZBN","2003","射脚榜 上 ， 他 以 10 球 暂 列<br>第二 <b>位置</b> ， 虽然 只 比<br>领先 的 比 迪 蓬 （","SG"
"立场/Na/CNA_CMN_20001123_wpr/142044",0.0485152895446994,-0.0214711507403617,"立场","CNA","2000","。 不过 , 蔡辉昇 强调 , 市府 一定<br>会 坚持 <b>立场</b> , 维护 北<br>市 民众 权益 。 891123 铁娘子<br>陈菊","TW"
"地点/Na/ZBN_CMN_20001219_wpr/15761",-0.0512712959732407,-0.0653525841155146,"地点","ZBN","2000","没有 重大 事故 发生 。 瓦希德 将 参加<br>的 集会 <b>地点</b> ， 即 拜<br>都 拉曼大回 教堂 已 装饰 一 新","SG"
"地位/Na/CNA_CMN_20001130_wpr/81129",0.106877518540435,0.00891908364580451,"地位","CNA","2000","而 用 「 台湾 地区 」 , 明显 矮化<br>中华民国 <b>地位</b> 。 三 ﹑<br>中共 中央 台办 ﹑ 国务院 台办 受","TW"
"地位/Na/XIN_CMN_20001010_wpr/34523",0.0253840749225959,0.08622503047344,"地位","XIN","2000","。 发达 国家 应 充分 考虑 和 照顾<br>处于 弱势 <b>地位</b> 的 发展<br>中国家 的 利益 , 增加 对 发展 中国家","ML"
"地位/Na/ZBN_CMN_20001113_wpr/27339",0.00810768867329082,0.00282165589983811,"地位","ZBN","2000","下 ， 他们 在 美国 国内外 ， 作为<br>总统 的 <b>地位</b> 与 形象 ，<br>都 难免 会 受到 影响 。 过时","SG"
"地点/Na/XIN_CMN_20030412_wpr/376",-0.129902244545862,-0.334756097633073,"地点","XIN","2003","任务 目前 正在 与 美军 协商 , 派<br>遣 的 <b>地点</b> 很 可能 是<br>伊拉克 南部 。 ( 国际 ) 各国","ML"
"地位/Na/ZBN_CMN_20001013_wpr/5210",0.167559539785701,0.0825645885168245,"地位","ZBN","2000","以南 的 地区 可能 丧失 全 球 首要<br>高科技区 的 <b>地位</b> ， 原因<br>是 这里 的 生活费 和 经商 成本 都","SG"
"位置/Na/XIN_CMN_20001019_wpr/41396",-0.0581450869646763,0.097720987457657,"位置","XIN","2000","强大 动力 。 必须 把 体制 创新 摆<br>在 突出 <b>位置</b> , 通过 深<br>化 市场 取向 的 改革 , 使","ML"
"形势/Na/XIN_CMN_20030907_wpr/50632",0.0125104417029584,0.00630664345779608,"形势","XIN","2003","是否 充足 以 及 伊拉克国 内 日益 恶化<br>的 安全 <b>形势</b> 不断 提出<br>疑问 。 目前 , 美军 在 伊 拉克","ML"
"立场/Na/CNA_CMN_20030529_wpr/4646",0.000449058771731865,-0.0223723280822741,"立场","CNA","2003","正常 运作 。 据 了解 ， 站 在 秘书处<br>的 <b>立场</b> ， 苏帕猜 希望<br>两岸 能 圆满 解决 争议 ， 但","TW"
"地位/Na/CNA_CMN_20001121_wpr/69772",0.00212896622423357,0.0251593755244301,"地位","CNA","2000","硅岛 , 在下 世纪 全球 竞争 中 取得<br>优 势 <b>地位</b> 。 陈 总统<br>最后 也 鼓励 得奖人 , 能 为","TW"
"局面/Na/XIN_CMN_20001122_wpr/37978",0.144272053099053,0.106482768049982,"局面","XIN","2000","、 行人 自 觉 遵守 交通 信号 指挥<br>的 良好 <b>局面</b> 。 在 实施<br>“ 畅通 工程 ” 中 , 石家庄市","ML"
"地位/Na/CNA_CMN_20001111_wpr/30934",0.021569293050028,0.00141445577525028,"地位","CNA","2000",", 同时 也 将 有助 台湾 提升 国际<br>形象 和 <b>地位</b> , 无论 对<br>促进 国民 外交 、 强化 宗教 文化","TW"
"地位/Na/XIN_CMN_20030917_wpr/64783",-0.00273355121577671,0.0937523674958543,"地位","XIN","2003","大大 动摇 布什 在 国家 安全 问题 上<br>的 优势 <b>地位</b> , 同时 也<br>使 一些 民主党 候选人 的 军人 背景","ML"
"地位/Na/CNA_CMN_20001018_wpr/145167",-0.0174777828020277,0.0984719950812097,"地位","CNA","2000","在 文件 影像 扫瞄机 领域 里 柯达 一向<br>居于 领先 <b>地位</b> , 以往<br>柯达 高速 文件 影像 扫瞄机 DS 9500<br>,","TW"
"立场/Na/XIN_CMN_20030829_wpr/10649",0.262272101721162,-0.0463395168453362,"立场","XIN","2003","对待 。 俄罗斯 、 韩国 和 日本 在<br>阐述 自己 <b>立场</b> 的 同时<br>, 也 分别 作 了 大量 劝 和","ML"
"地位/Na/XIN_CMN_20001113_wpr/37517",0.10924536933025,0.131228565018843,"地位","XIN","2000","运动 发展 迅速 , 在 全 国有 着重<br>要 的 <b>地位</b> 。 同时 ,<br>新疆 发展 拳击 运动 有 自己 独特","ML"
"立场/Na/CNA_CMN_20001230_wpr/79509",0.0391548863858754,-0.0236738580304198,"立场","CNA","2000",", 也 不 排除 任何 事 。 余政宪 基于<br>好朋友 <b>立场</b> 支持 他 接受<br>民进党 征召 , 但 民进党 有 提名","TW"
"立场/Na/CNA_CMN_20001214_wpr/1967",0.118124035516001,-0.0547119393998534,"立场","CNA","2000","自由派 , 邵特 由 老 布希 总统 任命<br>, 但 <b>立场</b> 接 近 自由派<br>法官 。 美国 各界 相当 一致 的","TW"
"立场/Na/CNA_CMN_20030603_wpr/10684",0.00549220687922104,-0.024841049157045,"立场","CNA","2003","有 间接 进行 游说 ， 站 在 政党 领袖<br>的 <b>立场</b> ， 其实 台湾 未来<br>十年军 购 金额 有限 ， 美方","TW"
"地点/Na/ZBN_CMN_20001031_wpr/26499",-0.138421887728484,-0.00456964698165433,"地点","ZBN","2000","的 球场 观看 ， 但是 ， 新 的 主要<br>赛馆 <b>地点</b> 也 不能 过于<br>偏远 ， 必须 能 给 看球 者","SG"
"地位/Na/ZBN_CMN_20030723_wpr/56492",0.0126537982030504,0.0175997979885203,"地位","ZBN","2003","， 随着 中国 的 日益 强大 ， 中国人<br>的 国际 <b>地位</b> 已 不断 地<br>得到 提高 ， 包括 在 新加坡 的","SG"
"形势/Na/XIN_CMN_20030515_wpr/63077",0.0572954184263723,-0.00475219798757802,"形势","XIN","2003","会谈 , 双方 讨论 了 中东 和平 进程<br>和 地区 <b>形势</b> 等 问题 。<br>索拉纳 在 会谈 后 对 记者 说","ML"
"形势/Na/ZBN_CMN_20030619_wpr/46410",0.0247443803746098,-0.0428283420880525,"形势","ZBN","2003","。 相反 ， 它们 行宪政 完全 是 国<br>内政 治 <b>形势</b> 迫使 他们<br>走上 了 这 一 条 对 它们 来","SG"
"局面/Na/XIN_CMN_20030626_wpr/12215",-0.0213056963988887,0.0421080128605485,"局面","XIN","2003","质量 和 赢利 能力 , 从而 创造 多<br>赢 的 <b>局面</b> 。 中国 都市<br>出现 同性恋 志愿 服务者 新华社 哈尔滨<br>6月","ML"
"局面/Na/XIN_CMN_20001208_wpr/4647",-0.118295137131662,0.115486470909146,"局面","XIN","2000","命 ” 的 艰苦 准备 。 后来 , 我<br>的 <b>局面</b> 稍 好 , 和 棋<br>不难 。 但 我 想","ML"
