"id","x","y","variant","corpus","year","text","lect"
"情绪/Na/CNA_CMN_20001027_wpr/52839",-0.0583622557813732,0.0358759337776704,"情绪","CNA","2000","又/Caa 一/Neu 次/Nf 利用/VC<br>各/Nes 种/Nf 利益/VC 团体/Na<br>的/DE 不满/VK <b>情绪/Na</b><br>制造/Na 「/PARENTHESISCATEGORY<br>倒董/Nb 」/PARENTHESISCATEGORY<br>声势/Na ,/COMMACATEGORY<br>而/Cbb 在/P 一些/Neqa 报章/Na","TW"
"感觉/Na/ZBN_CMN_20030730_wpr/50760",0.00515864914192821,-0.0105398586144195,"感觉","ZBN","2003","一/Neu 个/Nf 大/VH 棚/Na<br>里/Ncd 的/DE 婚宴/Na ，/COMMACATEGORY<br>那/Nep 种/Nf <b>感觉/Na</b><br>特别/VH 亲切/Nv 。/PERIODCATEGORY<br>我们/Nh 现在/Nd 要/D 重新/D<br>建立/VC 的/DE 南/Ncd","SG"
"心情/Na/CNA_CMN_20010128_wpr/28388",0.00854072185570481,-0.0935533459655474,"心情","CNA","2001","船只/Na 请/VF 注意/VK 。/PERIODCATEGORY<br>900128/Neu 低调/Na 过/VCL<br>春节/Nd 印尼/Na 华裔/Na <b>心情/Na</b><br>不一/VH (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 吴显申/Nb 新加坡/Nc<br>二十七/Neu 日/Nf 专电/Na )/PARENTHESISCATEGORY","TW"
"感觉/Na/ZBN_CMN_20030408_wpr/12672",0.0043117686850015,-0.0103044479049757,"感觉","ZBN","2003","后来/Nd 和/Caa 外甥/Na 、/PAUSECATEGORY<br>侄儿/Na 侄女/Na 们/Na 在一起/VH<br>，/COMMACATEGORY 反而/Cbb<br><b>感觉/Na</b> 像/VG 个/Nf<br>大哥/Na 哥/Na 。/PERIODCATEGORY<br>有/V_2 次/Nf 采访/VC 他/Nh<br>，/COMMACATEGORY","SG"
"情绪/Na/XIN_CMN_20030424_wpr/6215",-0.0223092130177716,0.000355002274155721,"情绪","XIN","2003","同样/VH 的/DE 情绪/Na 反应/Na<br>,/COMMACATEGORY 这样/VH<br>做/VC 能/D 使/VL 不良/VH <b>情绪/Na</b><br>很/Dfa 快/VH 减弱/VHC 。/PERIODCATEGORY<br>当前/Nd ,/COMMACATEGORY<br>应该/D 提倡/VE 通过/VC 电话/Na","ML"
"心情/Na/XIN_CMN_20030603_wpr/54803",0.00147692611886002,0.00883952939770004,"心情","XIN","2003","面对/VC 这样/VH 的/DE 表现/Na<br>,/COMMACATEGORY 教练/Na<br>和/Caa 球员/Na 们/Na 的/DE<br><b>心情/Na</b> 都/D 不会/D<br>好过/VH 。/PERIODCATEGORY<br>虽然/Cbb 几/Neu 天/Nf 后/Ng<br>就/D 将/D","ML"
"心情/Na/ZBN_CMN_20030415_wpr/73900",0.0126020757910314,0.00367971025918188,"心情","ZBN","2003","假想/VE 观众/Na 的/DE 心情/Na<br>，/COMMACATEGORY 其实/D<br>就是/SHI 他/Nh 自己/VH 的/DE<br><b>心情/Na</b> 。/PERIODCATEGORY<br>王/Nb 昌伟/Nb 以/P 人们/Na<br>对/P 文化/Na 所/D 持有/VJ 的/DE","SG"
"心情/Na/ZBN_CMN_20030812_wpr/69827",0.0378429279983899,0.00273936855870637,"心情","ZBN","2003","从/P 自己/VH 铐/VC 上/Ng 的/DE<br>枷锁/Na 中/Ng 解脱/VC 出来/VA<br>。/PERIODCATEGORY <b>心情/Na</b><br>是/SHI 轻松/VH 自在/VH 的/DE<br>，/COMMACATEGORY 更何况/Cbb<br>逛/VC 书局/Nc ，/COMMACATEGORY<br>泡/VC","SG"
"情绪/Na/CNA_CMN_20030426_wpr/12640",-0.187605734523731,-0.0891976743319952,"情绪","CNA","2003","也/D 会/D 让/VL 人/Na 越来越/Dfa<br>远离/VCL 毁灭性/Na 的/DE 负/VH<br>面/Nf <b>情绪/Na</b> 。/PERIODCATEGORY<br>根据/P 大卫森/Nb 的/DE 说法/Na<br>，/COMMACATEGORY 此/Nep<br>一/Neu 信仰/Na 是/SHI","TW"
"心情/Na/ZBN_CMN_20030809_wpr/66889",0.113639469165669,0.0581541800865881,"心情","ZBN","2003","林明利/Nb 中校/Na ，/COMMACATEGORY<br>分/Nf 享/VJ 他们/Nh 参与/VC<br>国庆/Nd 庆典/Na 的/DE <b>心情/Na</b><br>和/Caa 喜悦/Na 。/PERIODCATEGORY<br>如果/Cbb 检阅/VC 礼/Na 司令官/Na<br>是/SHI 整/VC 个/Nf","SG"
