"id","x","y","variant","corpus","year","text","lect"
"体育/Na/XIN_CMN_20030513_wpr/40504",-0.0944144160075615,0.0635435227582808,"体育","XIN","2003","了/Di 严密/VH 的/DE “/PARENTHESISCATEGORY<br>非典/Na ”/PARENTHESISCATEGORY<br>防治/Nv 方案/Na 。/PERIODCATEGORY<br>(/PARENTHESISCATEGORY<br><b>体育/Na</b> )/PARENTHESISCATEGORY<br>今/Nd 春/Nd 首/Nes 支/Nf<br>登山队/Na 撤离/Nv 珠峰/Na 大本营/Na<br>新华社/Nc","ML"
"运动/Na/ZBN_CMN_20030428_wpr/16605",0.223716720051828,-0.0793370179255743,"运动","ZBN","2003","肺部/Nc 供/VF 氧/Na 有/V_2<br>些/Nf 不足/VH ，/COMMACATEGORY<br>不能/D 做/VC 剧烈/VH <b>运动/Na</b><br>，/COMMACATEGORY “/PARENTHESISCATEGORY<br>主要/D 是/SHI 说不上/VG 话/Na<br>，/COMMACATEGORY 很多/Neaq<br>时候/Na 说/VE","SG"
"体育/Na/CNA_CMN_20010117_wpr/36170",-0.0189119464205212,-0.0301500231526574,"体育","CNA","2001","以上/Ng 的/DE 标准/Na ,/COMMACATEGORY<br>部分/Na 学生/Na 也/D 代表/VC<br>学校/Nc 参加/VC <b>体育/Na</b><br>比赛/Na 获奖/VH ,/COMMACATEGORY<br>但/Cbb 课任/Na 杨姓/Nb 教师/Na<br>却/D 将/D 评分/VA","TW"
"运动/Na/XIN_CMN_20030518_wpr/54771",0.0218886306952486,-0.0340438233137026,"运动","XIN","2003","长期/Na 持续/Nv 。/PERIODCATEGORY<br>非典/Na 点燃/VC 体育/Na 休闲/Nv<br>产业/Na :/COLONCATEGORY<br>通过/Nv <b>运动/Na</b> 提高/VC<br>机体/Na 免疫力/Na 、/PAUSECATEGORY<br>预防/Nv 非典/Na 的/DE 侵/VC<br>袭/Nf ,/COMMACATEGORY","ML"
"体育/Na/XIN_CMN_20030713_wpr/32832",-0.0310689004929653,0.0390082813642889,"体育","XIN","2003","而/Cbb 遭到/P 周边/Nc 国家/Na<br>的/DE 强烈/Nv 抗/VJ 议/VE<br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br><b>体育/Na</b> )/PARENTHESISCATEGORY<br>击退/VC 非典/Na 充满/VJ 活力/Na<br>北京/Nc 百万/Neu 市民/Na 参加/VC<br>“/PARENTHESISCATEGORY","ML"
"体育/Na/XIN_CMN_20001028_wpr/3171",0.0289479576160007,-0.075479530507723,"体育","XIN","2000","回族/Na 聚居/VA 的/DE 宁夏/Nc<br>有/V_2 着/Di 丰富/VH 的/DE<br>回族/Na 民间/Nc <b>体育/Na</b><br>项/Nf 目/Na 。/PERIODCATEGORY<br>流行/VH 于/P 山/Na 间/Ncd<br>沃野/Na 的/DE 木球/Na","ML"
"体育/Na/XIN_CMN_20001123_wpr/10145",-0.0715177825342999,-0.0108218566087281,"体育","XIN","2000","预赛/Na 。/PERIODCATEGORY<br>有关/Nv 人士/Na 表示/VE ,/COMMACATEGORY<br>通过/Nv 预赛/Na ,/COMMACATEGORY<br>浙江/Nc <b>体育/Na</b> 代表团/Na<br>争取/VC 有/V_2 290/Neu 名/Nf<br>左右/Na 的/DE 运动员/Na 进入/Nv<br>全运会/Na","ML"
"体育/Na/XIN_CMN_20030408_wpr/67398",-0.111836313510625,0.0519447984643762,"体育","XIN","2003","记者/Na 丧生/VH ,/COMMACATEGORY<br>一/Neu 名/Nf 工作/Na 人员/Na<br>受伤/VH 。/PERIODCATEGORY<br>(/PARENTHESISCATEGORY<br><b>体育/Na</b> )/PARENTHESISCATEGORY<br>讨厌/VK NBA/*CATEGORY 的/DE<br>理由/Na 新华社/Nc 华盛顿/Nb 4月/Nd<br>8日/Nd 电/Na","ML"
"体育/Na/XIN_CMN_20030617_wpr/38357",0.0141183473349135,0.00383743620410169,"体育","XIN","2003","运动/Na 协会/Nc 参与/VC 并/D<br>给予/VD 技术/Na 指导/VC ,/COMMACATEGORY<br>由/P 国家/Na <b>体育/Na</b><br>总局/Nc 、/PAUSECATEGORY<br>国家/Na 广播/Na 电影/Na 电视/Na<br>总局/Nc 和/Caa 青海省/Nc 人民/Na","ML"
"体育/Na/XIN_CMN_20030404_wpr/37369",0.000749116746973968,-0.0117321589122397,"体育","XIN","2003","足球/Na 俱乐部/Nc 副董事长/Na<br>曹富杰/Nb 来到/Nv 沈阳/Nc ,/COMMACATEGORY<br>反覆/D 向/P 辽宁省/Nc <b>体育/Na</b><br>运动/Na 技术/Na 学院/Nc 方面/Na<br>承诺/Na ,/COMMACATEGORY<br>辽足/Na 的/Na 冠名/Na 决不会/VC","ML"
"体育/Na/CNA_CMN_20001103_wpr/142896",0.0288111736590562,0.0484543336925603,"体育","CNA","2000","两国/Nc 政府/Na 副/A 总理级/Na<br>教育/Na 、/PAUSECATEGORY<br>文化/Na 、/PAUSECATEGORY<br>卫生/Na 、/PAUSECATEGORY<br><b>体育/Na</b> 合作/VH 委员会/Nc<br>。/PERIODCATEGORY 双方/Nh<br>并/D 商定/VE ,/COMMACATEGORY<br>中共/Nb 副总理/Na 李岚清/Nb","TW"
"运动/Na/XIN_CMN_20001009_wpr/54548",0.0669261716111638,-0.25082221775097,"运动","XIN","2000","。/PERIODCATEGORY 这/Nep<br>篇/Nf 论文/Na 认/VC 为/VG<br>,/COMMACATEGORY 学生/Na<br>未来/Nd 对/P <b>运动/Na</b><br>方式/Na 的/DE 选择/Na 与/Caa<br>喜爱/Nv 程度/Na ,/COMMACATEGORY<br>深受/VJ 早期/Nd 参/VC","ML"
"运动/Na/XIN_CMN_20030915_wpr/53086",-0.0354839744895909,-0.0277086323215958,"运动","XIN","2003","名/Nf 法国/Na 优秀/VH 运动员/Na<br>时/Ng 指出/VE ,/COMMACATEGORY<br>兴奋剂/Na 对/P 体育/Na <b>运动/Na</b><br>是/SHI 一/Neu 种/Nf “/PARENTHESISCATEGORY<br>真正/A 的/DE 毒药/Na ”/PARENTHESISCATEGORY<br>和/Caa “/PARENTHESISCATEGORY","ML"
"体育/Na/XIN_CMN_20001028_wpr/19344",0.00692804038092593,-0.00289503635899219,"体育","XIN","2000","对/P 残疾人/Na 举重/Na 多多/D<br>给予/VD 肯定/Nv 。/PERIODCATEGORY<br>作为/Na 国际性/Na 的/DE <b>体育/Na</b><br>管理/Na 机构/Na ,/COMMACATEGORY<br>国际/Nc 残疾/Na 人举/Na 联/Na<br>当然/D 不/D 会/D","ML"
