"id","x","y","variant","corpus","year","text","lect"
"教师/Na/XIN_CMN_20030909_wpr/52366",-0.00377553930728498,-0.078379844822388,"教师","XIN","2003","对 孩子 进行 素质教育 时 , 温家宝<br>说 , 幼儿 <b>教师</b> 从事 的<br>是 一 项 光荣 而 神圣 的 事业","ML"
"老师/Na/ZBN_CMN_20030829_wpr/24203",0.0147090094426839,-0.00396891043409868,"老师","ZBN","2003","教师节 快乐 ◇ 祝泉原 中学 1 I 班<br>的 级任 <b>老师</b> Miss Tan<br>教 师 节 快乐 ！ －－1Igirls<br>◆ 生日","SG"
"教师/Na/CNA_CMN_20001201_wpr/115948",-0.0548609488854303,0.0283720069803979,"教师","CNA","2000","致使 全县 教师 考核 奖金 慢发 。 据<br>永宁 国小 <b>教师</b> 会 指出<br>, 考核 奖金 本 应 在 九 月份","TW"
"老师/Na/ZBN_CMN_20030601_wpr/8683",0.0307075963881147,-0.00246075226953338,"老师","ZBN","2003","一 个 教师 世家 ， 祖父母 和 父母<br>都 是 <b>老师</b> 。 安 告诉<br>记者 ， 在 越南 当 老师 收入","SG"
"教师/Na/ZBN_CMN_20001227_wpr/7837",0.167860211560215,0.0541460570011917,"教师","ZBN","2000","她 ， 要 她 交出 身上 的 财物 。<br>女 <b>教师</b> 吓 得 连忙 向<br>屋 里 的 母亲 叫喊 ，","SG"
"教师/Na/CNA_CMN_20010102_wpr/85433",-0.0762442453775891,0.019555215766589,"教师","CNA","2001","队 、 教师 男子组 九 人 制 三 队<br>、 <b>教师</b> 男子组 六人制 六<br>队 、 长青组 三 队 , 参赛","TW"
"教师/Na/XIN_CMN_20001010_wpr/14128",-0.0269825083145958,-0.0287278714756356,"教师","XIN","2000","。 中国 还 派遣 了 相当 数量 的 学生<br>和 <b>教师</b> 到 非洲 去 学习<br>和 任教 。 韦钰 认为 ,","ML"
"教师/Na/XIN_CMN_20030504_wpr/9896",-0.0137979870345849,0.0426256469740733,"教师","XIN","2003","中文系 , 做 过 知青 , 当 过 乡村<br>小学 <b>教师</b> , 现任 第十<br>届 人大 代表 、 武汉 市文联 主席","ML"
"教师/Na/ZBN_CMN_20001112_wpr/13483",-0.0357962965304404,-0.01813519605318,"教师","ZBN","2000","注意 幼儿 在 这 群 受 过 更多 训练<br>的 <b>教师</b> 指导 下 的 反应<br>。 学前 教育 新 课程 计划","SG"
"教师/Na/XIN_CMN_20030418_wpr/39241",-0.00716467492564176,-0.0248878111230041,"教师","XIN","2003","详细 了解 疫病 防治 工作 。 温家宝<br>十分 惦记 广大 <b>教师</b> 和<br>学生 的 健康 状况 。 在 北京 航空<br>航天","ML"
"教师/Na/CNA_CMN_20001019_wpr/110483",-0.0451112153046118,0.00403956753827208,"教师","CNA","2000","忙 于 各 地 各 校 教师 评审 委员会<br>报名 <b>教师</b> 甄选 , 因此<br>将 运用 公权力 , 协调 相关 单位","TW"
"老师/Na/ZBN_CMN_20001222_wpr/22118",0.0835606696146873,0.0467761309571552,"老师","ZBN","2000","， 买 玩具 奖励 他 。 这 位 可敬<br>的 <b>老师</b> 姓 陈 ， 为了<br>安抚 小 侄儿 ， 让 他","SG"
"老师/Na/ZBN_CMN_20030721_wpr/71105",0.0901915718245175,-0.00109898341679267,"老师","ZBN","2003","一段 我们 完全 不 知道 的 故事 ：<br>原来 林 <b>老师</b> 年纪 小时<br>吃 过 许多 苦 ， 长大 后 以为","SG"
"教师/Na/CNA_CMN_20001230_wpr/105824",-0.0692748430914221,-0.0285669285310307,"教师","CNA","2000","应 自 定 或 授权 学校 自行 发展 各<br>领域 <b>教师</b> 授课 时数 ,<br>使 能 执行 学校 本位 课程 的","TW"
"教师/Na/ZBN_CMN_20030826_wpr/628",-0.0531138430567298,0.00365892779854372,"教师","ZBN","2003","教师 的 ， 他 在 他 的 文章 里 说<br><b>教师</b> 教课 繁重 ， 又 须<br>做 行政 工作 ， 还","SG"
"教师/Na/CNA_CMN_20001229_wpr/41053",-0.0347719480769586,0.0178909836782665,"教师","CNA","2000","中 最 大 问题 就是 教师 会 组织 无法<br>保障 <b>教师</b> 权益 , 因此<br>, 会 中 要求 教师 会 转型","TW"
"教师/Na/XIN_CMN_20010128_wpr/38691",-0.156869189518103,0.0890889229480798,"教师","XIN","2001","记者 李新民 ) “ 凡是 出现 新 拖欠<br>公务员 和 <b>教师</b> 工资 的<br>地方 , 本 级 领导 机关 不得 用","ML"
"教师/Na/CNA_CMN_20001222_wpr/134059",-0.0374482791259503,-0.0123261452432704,"教师","CNA","2000","上课 十八 小时 , 另外 也 将 聘请<br>部分 大陆 <b>教师</b> 协助 混合<br>教学 , 但 仍 以 国内 教师 为","TW"
"老师/Na/ZBN_CMN_20030829_wpr/34274",0.113170120210424,-0.00196343506058143,"老师","ZBN","2003","为 他们 解决 烦恼 。 ” 她 说 ：<br>“ <b>老师</b> 就 应该 是 这样<br>， 像 《 阳光 列车 》","SG"
"教师/Na/XIN_CMN_20001024_wpr/21027",-0.229319029255629,0.0998744815364992,"教师","XIN","2000","广西 、 四川 、 云南 的 部分 地市<br>进行 了 <b>教师</b> 资格 认定<br>试点工 作 。 为 积极 稳妥 地 做好","ML"
"老师/Na/ZBN_CMN_20030705_wpr/16059",0.0449247902870829,0.00614366098908564,"老师","ZBN","2003","女生 在 阅读室 自修 时 ， 她们 的<br>工艺 指导 <b>老师</b> 突然 来到<br>她们 面前 ， 说 要 给 她们 激光","SG"
"老师/Na/ZBN_CMN_20030624_wpr/55086",0.0516208648881761,0.0185144745269278,"老师","ZBN","2003","， 很 荣幸 成为 他们 的 最后 一 位<br>华文 <b>老师</b> 。 ” 也 因为<br>如此 ， 她 更 希望 这些","SG"
"老师/Na/ZBN_CMN_20030721_wpr/71160",0.165268114556931,0.0648440131618628,"老师","ZBN","2003","她 从此 过 着 孤苦 零丁 的 生活 。<br>林 <b>老师</b> 说 不下 去 了<br>， 双眼 又 红 又 肿","SG"
"教师/Na/ZBN_CMN_20001225_wpr/14629",-0.0256508723879143,-0.01617074406854,"教师","ZBN","2000","的 补习 介绍所 时常 会 开办 训练 课程<br>给 补习 <b>教师</b> 进修 ， 确保<br>他们 不会 和 现在 学校 的 教育","SG"
"教师/Na/XIN_CMN_20030805_wpr/34540",-0.0419060090226859,0.174365598940749,"教师","XIN","2003","3 部门 要求 各 地 有关 部门 坚决<br>依法 打击 <b>教师</b> 队伍 中<br>的 性 犯罪 分子 , 根 据 刑法","ML"
"老师/Na/XIN_CMN_20030701_wpr/39891",0.0614412558350734,-0.00575352972797382,"老师","XIN","2003","薄 而 出 的 朝阳 冉冉 升起 。 北大<br>团委兰明善 <b>老师</b> 的 话 代表<br>了 同学 们 的 心声 : “","ML"
"老师/Na/ZBN_CMN_20030413_wpr/32979",-0.0319512095207765,-0.0216379377150672,"老师","ZBN","2003","违令 者 。 确保 环境卫生 安全 学校<br>已经 消毒 ， <b>老师</b> 已经<br>学会 如何 检查 身体 ， 校方 也 已经<br>拟定","SG"
