"id","x","y","variant","corpus","year","text","lect"
"轨道/Na/XIN_CMN_20030703_wpr/22222",-0.00188850305545603,0.0408033449054573,"轨道","XIN","2003","海拔 高 、 纬度 低 , 是 发射 地球<br>同步 <b>轨道</b> 卫 星 理想 的<br>地方 。 但 由于 地形 复杂","ML"
"道路/Na/XIN_CMN_20030918_wpr/24501",0.114087131716984,-0.0295945112137942,"道路","XIN","2003","“ 仿制 、 改型 、 创 新 ” 的 发展<br><b>道路</b> 。 中 航 第二 集团<br>通过 率先 从 法国 引进","ML"
"路线/Na/CNA_CMN_20030520_wpr/12079",0.211093132510736,-0.167614232555703,"路线","CNA","2003","而 他 预期 中国 在 两岸 关系 上将<br>保持 温和 <b>路线</b> ， 并 对<br>美国 未来 二 至 四 年 妥善","TW"
"道路/Na/XIN_CMN_20010111_wpr/18086",-0.0263914877541358,0.000556711156001131,"道路","XIN","2001","接着 另 一 条 关闭 了 10 天 的<br>主要 <b>道路</b> －－ 海滨 大道<br>开始 对 车辆 和 行人 开放 ,","ML"
"途径/Na/CNA_CMN_20010109_wpr/43176",0.0545004112829069,0.00625544116267193,"途径","CNA","2001","真相 , 他 本人 也 将 设法 寻求 这样<br>的 <b>途径</b> 。 监察院 院会<br>今天 通过 中央 研究院 近代史 研究所<br>研究","TW"
"路线/Na/XIN_CMN_20030714_wpr/80076",0.0212136669216318,-0.138317451933975,"路线","XIN","2003","还是 选择 在 广东省 徐 闻 县海安镇排尾角<br>, 具体 横渡 <b>路线</b> 要 根据<br>当时 的 海情 及 气象 预报 而 定","ML"
"路线/Na/ZBN_CMN_20030510_wpr/1838",-0.0889318530770183,-0.0378449081373391,"路线","ZBN","2003","统计 和 追查 了 。 因为 乘客 通常<br>只 看 <b>路线</b> 号码 ， 不会<br>去 注意 车牌 。 教育 民众 卫生","SG"
"轨道/Na/XIN_CMN_20001107_wpr/37372",0.0314181894611555,-0.019406845987794,"轨道","XIN","2000","到 以 经济 建设为 中心 的 和平 时期<br>现代化 建设 <b>轨道</b> 上来 ;<br>由 应付 一般 条件 下 的 常规 战争","ML"
"轨道/Na/ZBN_CMN_20030828_wpr/20608",-0.0562092209723787,-0.0212799150120432,"轨道","ZBN","2003","的 篱笆 ， 连 闯 3 关 后 卡在 地铁<br><b>轨道</b> 上 ， 最终 与 一<br>列 北 上 的 地铁","SG"
"轨道/Na/XIN_CMN_20001016_wpr/89421",0.0436575078749218,0.0253250908080661,"轨道","XIN","2000",", 逐步 把 国防 和 军队 建设 事业<br>纳入 法制 <b>轨道</b> 。 1998年<br>以来 , 中国 的 军事 立法 速度 明显","ML"
"路线/Na/CNA_CMN_20001021_wpr/3193",-0.0553009010237548,0.197958295778316,"路线","CNA","2000",", 但是 它们 横跨 在 重要 的 航运<br>与 海军 <b>路线</b> , 尤其 是<br>在 澳洲 与 美国 之间 的 航运线","TW"
