"id","x","y","variant","corpus","year","text","lect"
"变化/Na/XIN_CMN_20030606_wpr/47249",-0.00589542635846893,0.0160418946402908,"变化","XIN","2003","规定/Na 。/PERIODCATEGORY<br>近/Nes 几十/Neu 年/Nf 来/Ng<br>,/COMMACATEGORY 由于/Cbb<br>自然/Na 条件/Na <b>变化/Na</b><br>和/Caa 人/Na 为/VG 活动/A<br>的/DE 综合/VC 影响/Nv ,/COMMACATEGORY<br>青海湖/Na 流/VC","ML"
"改变/Na/ZBN_CMN_20030712_wpr/42434",-0.0448186897866846,-0.0785392265200743,"改变","ZBN","2003","等到/VC 北京/Nc 向/P 台北/Nc<br>摊牌/VA 之前/Ng ，/COMMACATEGORY<br>民进党/Nb 有/V_2 依据/Na <b>改变/Na</b><br>台湾/Nc 现状/Na ，/COMMACATEGORY<br>寻求/VC 国际/Nc 社会/Na 的/DE<br>支持/Nv 。/PERIODCATEGORY<br>至于/Caa","SG"
"变化/Na/CNA_CMN_20010112_wpr/97341",-0.0181263900851022,0.330598642080093,"变化","CNA","2001","赤道/Nc 异常区/Nc ,/COMMACATEGORY<br>因/Cbb 此/Nep 电离层/Na 的/DE<br>电浆/Na 浓度/Na 及/Caa <b>变化/Na</b><br>的/DE 复杂度/Na 为/P 世界/Nc<br>之/DE 最/Dfa ,/COMMACATEGORY<br>建立/VC 崙/b 坪/Nf","TW"
"改变/Na/XIN_CMN_20030928_wpr/17592",-0.0466987018535934,-0.018222092867169,"改变","XIN","2003","的/DE 地位/Na 正在/D 逐步/D<br>提高/VC 。/PERIODCATEGORY<br>社会观/Na 念/VC 的/DE 深刻/Nv<br><b>改变/Na</b> 也/D 是/SHI<br>一/Neu 个/Nf 不容/Nv 忽视/Nv<br>的/DE 因素/Na ,/COMMACATEGORY<br>从/P","ML"
"变化/Na/XIN_CMN_20030911_wpr/9749",-0.0545246144581009,0.142303645299445,"变化","XIN","2003","水域/Na )/PARENTHESISCATEGORY<br>,/COMMACATEGORY 使/VL<br>西湖/Nc 引水/Na 不再/VH 受/P<br>钱塘江/Nc 水质/Na <b>变化/Na</b><br>的/DE 影响/Nv ,/COMMACATEGORY<br>年/Nf 引水/Na 总量/Na 可/D<br>达/VJ 1.2/Neu 亿/Neu","ML"
"变化/Na/XIN_CMN_20001016_wpr/35396",0.0127430504146695,0.181302836204112,"变化","XIN","2000","施工/VA 中/Ng ,/COMMACATEGORY<br>有/V_2 一/Neu 处/Nf 是/SHI<br>黄/Nb 土丘陵地区/Nc ,/COMMACATEGORY<br><b>变化/Na</b> 无常/VH 的/DE<br>气候/Na 使/VL 边坡/Na 难以/D<br>固定/VHC ,/COMMACATEGORY<br>塌/VH 方/Na","ML"
"变化/Na/XIN_CMN_20001121_wpr/34888",-0.0922216184553363,0.0341613705950428,"变化","XIN","2000","持续/VL 到/P 2008年/Nd 。/PERIODCATEGORY<br>1997年/Nd 12月/Nd ,/COMMACATEGORY<br>《/PARENTHESISCATEGORY<br>联合国/Nc 气候/Na <b>变化/Na</b><br>框架/Na 公约/Na 》/PARENTHESISCATEGORY<br>第/Neu 3/Neu 次/Nf 缔约方/Na<br>大会/Na 在/P 日本/Nc","ML"
"变化/Na/XIN_CMN_20030417_wpr/53255",0.0429146921225254,-0.00490239029308783,"变化","XIN","2003","没有/D 任何/Neqa 迹象/Na 显示/VK<br>法美/Nb 军事/Na 合作/Na 关系/Na<br>发生/VJ 了/Di <b>变化/Na</b><br>,/COMMACATEGORY 实际/VH<br>上/Ncd 法美/Nb 军事/Na 合作/Na<br>每/Nes 天/Nf 都/D 在/P","ML"
"变化/Na/XIN_CMN_20030729_wpr/29797",0.00740909599732333,0.0634594482496348,"变化","XIN","2003","关系/Na 。/PERIODCATEGORY<br>副热带/Nc 高气压/Na 是/SHI 影响/Nv<br>中国/Na 夏季/Nd 雨/Na 带/VC<br><b>变化/Na</b> 和/Caa 高温/Na<br>天气/Na 的/DE 主要/D 天气/Na<br>系统/Na 。/PERIODCATEGORY<br>今年/Nd 南方/Ncd","ML"
"变化/Na/XIN_CMN_20030410_wpr/27385",0.40561841243271,0.0516905927322177,"变化","XIN","2003","常言道/VE “/PARENTHESISCATEGORY<br>世事/Na 如/P 棋/Na ”/PARENTHESISCATEGORY<br>,/COMMACATEGORY 许多/Neqa<br>事情/Na 的/DE <b>变化/Na</b><br>都/D 难以/D 捉摸/VE 。/PERIODCATEGORY<br>第二/Neu 次/Nf 遇到/VC 穆/Nb<br>罕默德/Nb ,/COMMACATEGORY","ML"
"变化/Na/CNA_CMN_20001109_wpr/34584",0.173916472950137,-0.0529201795628775,"变化","CNA","2000","。/PERIODCATEGORY 891109/Neu<br>从/P 华府/Nc 看/VC 美国/Na<br>总统/Na 大选/Na 的/DE 戏剧性/Na<br><b>变化/Na</b> (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 潘应辰/Nb 华盛顿/Nb<br>特稿/Na )/PARENTHESISCATEGORY<br>美国/Nc 民众/Na 观看/VC","TW"
"改变/Na/XIN_CMN_20001220_wpr/21939",0.0220389762210184,-0.0534896521766419,"改变","XIN","2000","电视/Na 组织/Nv 等/Cab 邻接权/Na<br>,/COMMACATEGORY 或者/Caa<br>认定/Nv 故意/Nv 去除/Nv 或者/Caa<br><b>改变/Na</b> 著作权/Na 管理信/Na<br>息/VHC 而/Cbb 导致/VL 侵权/VA<br>后果/Na 的/DE 行为/Na 构成/VG","ML"
"改变/Na/ZBN_CMN_20030413_wpr/27460",0.0163909992384446,-0.00069778727315957,"改变","ZBN","2003","清洗/VC 住家/Na 环境/Na 方面/Na<br>，/COMMACATEGORY 其实/D<br>没有/D 太/Dfa 大/VH 的/DE<br><b>改变/Na</b> 。/PERIODCATEGORY<br>不过/Cbb ，/COMMACATEGORY<br>我/Nh 洗手/VA 的/DE 次数/Na<br>就/D 增加/VHC 了/Di","SG"
