"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"协议/Na/CNA_CMN_20001020_wpr/95847",-0.0447887884303361,-0.00315769596037301,"协议","CNA","2000","暴力/VH/1.710 冲突/Na/1.981<br>持/VC 续/VF ,/COMMACATEGORY<br>致使/VL 双方/Nh/3.037 达成/VC/5.527<br>口头/Na/3.047 停火/VH/5.572<br><b>协议/Na</b> 以来/Ng ,/COMMACATEGORY<br>仍/D 有/V_2 人/Na 在/P 冲突/Na/1.981<br>中/Ng 丧生/VH 。/PERIODCATEGORY","暴力/VH/1.710 冲突/Na/1.981<br>持/VC 续/VF ,/COMMACATEGORY<br>致使/VL 双方/Nh/3.037 达成/VC/5.527<br>口头/Na/3.047 停火/VH/5.572<br><b>协议/Na</b> 以来/Ng ,/COMMACATEGORY<br>仍/D 有/V_2 人/Na 在/P 冲突/Na/1.981<br>中/Ng 丧生/VH 。/PERIODCATEGORY","TW"
"条约/Na/XIN_CMN_20010128_wpr/16141",0.26939710211024,-0.145286680922925,"条约","XIN","2001","珠海/Nc 横/A 琴/Na 岛/Na/1.149<br>中/Ncd 转/VAC ,/COMMACATEGORY<br>再/D 通过/VC 一/Neu <b>条约/Na</b><br>1/Neu 公里/Nf 长/VH 的/DE<br>海/Na 底/Ng 电缆/Na 进入/VCL<br>澳门/Nc 。/PERIODCATEGORY","珠海/Nc 横/A 琴/Na 岛/Na/1.149<br>中/Ncd 转/VAC ,/COMMACATEGORY<br>再/D 通过/VC 一/Neu <b>条约/Na</b><br>1/Neu 公里/Nf 长/VH 的/DE<br>海/Na 底/Ng 电缆/Na 进入/VCL<br>澳门/Nc 。/PERIODCATEGORY","ML"
"公约/Na/ZBN_CMN_20010112_wpr/21634",0.0403490446186974,-0.0766309327673067,"公约","ZBN","2001","。/PERIODCATEGORY 马来西亚/Nc<br>和/Caa 新加坡/Nc 同/D/1.108<br>属/VG 签约国/Nc/7.156 ，/COMMACATEGORY<br>必须/VH 遵守/VJ/4.661 <b>公约/Na</b><br>的/DE 规定/Na/3.380 。/PERIODCATEGORY<br>在/P 去年/Nd 1月/Nd 到/P 6月/Nd<br>间/Ng ，/COMMACATEGORY","。/PERIODCATEGORY 马来西亚/Nc<br>和/Caa 新加坡/Nc 同/D/1.108<br>属/VG 签约国/Nc/7.156 ，/COMMACATEGORY<br>必须/VH 遵守/VJ/4.661 <b>公约/Na</b><br>的/DE 规定/Na/3.380 。/PERIODCATEGORY<br>在/P 去年/Nd 1月/Nd 到/P 6月/Nd<br>间/Ng ，/COMMACATEGORY","SG"
"协议/Na/ZBN_CMN_20010117_wpr/35393",0.0822053443630575,-0.0836431728363282,"协议","ZBN","2001","不满/VK 。/PERIODCATEGORY<br>根据/P/3.079 韩国/Nc 及/Caa<br>日本/Nc 在/P 1996年/Nd 敲定/VE/2.269<br>的/DE <b>协议/Na</b> ，/COMMACATEGORY<br>即将/D 到来/VA 的/DE 世界杯/Nb<br>将/D 称为/VG “/PARENTHESISCATEGORY<br>2002年/Nd 世界杯/Nb","不满/VK 。/PERIODCATEGORY<br>根据/P/3.079 韩国/Nc 及/Caa<br>日本/Nc 在/P 1996年/Nd 敲定/VE/2.269<br>的/DE <b>协议/Na</b> ，/COMMACATEGORY<br>即将/D 到来/VA 的/DE 世界杯/Nb<br>将/D 称为/VG “/PARENTHESISCATEGORY<br>2002年/Nd 世界杯/Nb","SG"
"协议/Na/CNA_CMN_20010108_wpr/49677",-0.0725008838586297,0.032113871452604,"协议","CNA","2001","航空/Na/1.117 公司/Nc 提出/VC<br>的/DE 破产/VH 保护/Nv 中/Ng<br>,/COMMACATEGORY 租/VD<br>机/Na <b>协议/Na</b> 将/P<br>重新/A 谈判/Na/2.756 。/PERIODCATEGORY<br>同时/Nd ,/COMMACATEGORY<br>美国/Nc 航空/Na/1.117 公司/Nc<br>已/D","航空/Na/1.117 公司/Nc 提出/VC<br>的/DE 破产/VH 保护/Nv 中/Ng<br>,/COMMACATEGORY 租/VD<br>机/Na <b>协议/Na</b> 将/P<br>重新/A 谈判/Na/2.756 。/PERIODCATEGORY<br>同时/Nd ,/COMMACATEGORY<br>美国/Nc 航空/Na/1.117 公司/Nc<br>已/D","TW"
"协定/Na/CNA_CMN_20001204_wpr/139826",0.141950235294312,-0.327009595741423,"协定","CNA","2000","瓩/Nf 电力/Na 便/D 能/D 运作/VA<br>。/PERIODCATEGORY 891204/Neu/1.527<br>世界/Nc 防治/VC 污染/VC <b>协定/Na</b><br>会议/Na 在/P 南非/Nc 召开/Nv<br>(/PARENTHESISCATEGORY<br>中央社/Nc 约翰尼斯堡/Nc 四/Neu<br>日/Nf 法新电/Na","瓩/Nf 电力/Na 便/D 能/D 运作/VA<br>。/PERIODCATEGORY 891204/Neu/1.527<br>世界/Nc 防治/VC 污染/VC <b>协定/Na</b><br>会议/Na 在/P 南非/Nc 召开/Nv<br>(/PARENTHESISCATEGORY<br>中央社/Nc 约翰尼斯堡/Nc 四/Neu<br>日/Nf 法新电/Na","TW"
"协定/Na/XIN_CMN_20001013_wpr/51242",-0.175072171710787,0.0182773417906941,"协定","XIN","2000","在/P 今年/Nd 的/DE 贺词/Na<br>中/Ng 所/D 说/VE ,/COMMACATEGORY<br>“/PARENTHESISCATEGORY<br>没有/V_J <b>协定/Na</b> ,/COMMACATEGORY<br>就/D 没有/D 和平/VH/2.481<br>;/SEMICOLONCATEGORY 没有/D<br>和平/VH/2.481 ,/COMMACATEGORY<br>就/D 不可能/D","在/P 今年/Nd 的/DE 贺词/Na<br>中/Ng 所/D 说/VE ,/COMMACATEGORY<br>“/PARENTHESISCATEGORY<br>没有/V_J <b>协定/Na</b> ,/COMMACATEGORY<br>就/D 没有/D 和平/VH/2.481<br>;/SEMICOLONCATEGORY 没有/D<br>和平/VH/2.481 ,/COMMACATEGORY<br>就/D 不可能/D","ML"
"协定/Na/ZBN_CMN_20030609_wpr/51559",-0.0231507731078238,0.026138805202213,"协定","ZBN","2003","把握/VC 谈判/Na/3.836 良机/Na<br>，/COMMACATEGORY 注定/VK<br>了/Di 日本/Nc 和/Caa 亚细安/Nb/3.347<br>签署/VC/5.089 <b>协定/Na</b><br>的/DE 进程/Na/1.117 落在/VCL/1.280<br>中国/Nc 后面/Ncd 。/PERIODCATEGORY<br>该/Nes 报/Na 指出/VE ：/COLONCATEGORY","把握/VC 谈判/Na/3.836 良机/Na<br>，/COMMACATEGORY 注定/VK<br>了/Di 日本/Nc 和/Caa 亚细安/Nb/3.347<br>签署/VC/5.089 <b>协定/Na</b><br>的/DE 进程/Na/1.117 落在/VCL/1.280<br>中国/Nc 后面/Ncd 。/PERIODCATEGORY<br>该/Nes 报/Na 指出/VE ：/COLONCATEGORY","SG"
"协议/Na/CNA_CMN_20001209_wpr/7910",-0.0246559704460406,0.000944255330594175,"协议","CNA","2000","包含/VJ/1.069 它/Nh 与/P<br>世贸组织/Nb/2.386 个别/VH/1.131<br>会员/Na 国/Nc 达成/VC/5.527<br>的/DE 所有/Nv <b>协议/Na</b><br>要点/Na/1.597 的/DE 总/A<br>协议/Na/3.224 。/PERIODCATEGORY<br>有/V_2 一百四十/Neu/1.547<br>个/Nf 会员国/Na/1.641 的/DE","包含/VJ/1.069 它/Nh 与/P<br>世贸组织/Nb/2.386 个别/VH/1.131<br>会员/Na 国/Nc 达成/VC/5.527<br>的/DE 所有/Nv <b>协议/Na</b><br>要点/Na/1.597 的/DE 总/A<br>协议/Na/3.224 。/PERIODCATEGORY<br>有/V_2 一百四十/Neu/1.547<br>个/Nf 会员国/Na/1.641 的/DE","TW"
"协定/Na/ZBN_CMN_20030506_wpr/81550",0.0676733746378173,-0.0124168810124008,"协定","ZBN","2003","多/VH 个/Nf 层面/Na 的/DE<br>关系/Na 。/PERIODCATEGORY<br>此外/Cbb ，/COMMACATEGORY<br>这/Nep 份/Nf/1.842 <b>协定/Na</b><br>也/D 有助/VK/2.373 加深/VJ<br>美国/Na/1.369 同/Nes 东南亚/Nc/1.034<br>区域/Na/2.153 的/DE 经/P<br>济/VC/1.184","多/VH 个/Nf 层面/Na 的/DE<br>关系/Na 。/PERIODCATEGORY<br>此外/Cbb ，/COMMACATEGORY<br>这/Nep 份/Nf/1.842 <b>协定/Na</b><br>也/D 有助/VK/2.373 加深/VJ<br>美国/Na/1.369 同/Nes 东南亚/Nc/1.034<br>区域/Na/2.153 的/DE 经/P<br>济/VC/1.184","SG"
