"id","x","y","variant","corpus","year","text","lect"
"工资/Na/ZBN_CMN_20030522_wpr/60154",-0.0403131731276542,-0.00157164019047804,"工资","ZBN","2003","竞争/Na 。/PERIODCATEGORY<br>全国/Nc 工资/Na 理事会/Na 一再/D<br>呼吁/VE 公司/Nc 加速/D 重组/VC<br><b>工资/Na</b> 制度/Na ，/COMMACATEGORY<br>为/VG 的/DE 正/D 是/SHI 维持/VJ<br>本地/Nb 劳工/Na 的/DE","SG"
"薪金/Na/ZBN_CMN_20030830_wpr/76781",-0.0073226599747532,-0.00583520400536497,"薪金","ZBN","2003","建设/Na 计划/Na 政府/Na 削减/Nv<br>成本/Na 措施/Na ./FW 检讨/VC<br>公务/Na 员/Nf <b>薪金/Na</b><br>./FW 设立/VC 减少/Nv 浪费/Nv<br>委员会/Nc 总数/Na 10.27/Neu<br>亿/Neu 元/Nf 本地/Nb","SG"
"工资/Na/XIN_CMN_20001118_wpr/45939",-0.0827166262780439,-0.00756838808978975,"工资","XIN","2000",",/COMMACATEGORY 扩大/VC<br>活/VH 的/DE 部/Nc 分/Nf ,/COMMACATEGORY<br>建立起/VC 了/Di 职工/Na <b>工资/Na</b><br>随/P 单位/Na 经济/Na 效益/Na<br>和/Caa 个人/Nh 工作/Na 业绩/Na<br>上/Ncd 下/Ncd","ML"
"薪金/Na/CNA_CMN_20001219_wpr/109049",-0.000818857426403888,-0.0611315509504691,"薪金","CNA","2000","相对/Nv 来/D 说/VE ,/COMMACATEGORY<br>某些/Neqa 方面/Na 的/DE 成本/Na<br>,/COMMACATEGORY 如/P <b>薪金/Na</b><br>、/PAUSECATEGORY 租金/Na<br>等/Cab 都/D 比/P 邻近/VJ 国家/Na<br>为/VG 高/VH ;/SEMICOLONCATEGORY","TW"
"工资/Na/ZBN_CMN_20030813_wpr/23741",-0.121380583178692,-0.0227187167540723,"工资","ZBN","2003","敬礼/Nv 仪式/Na 时/Ng 指出/VE<br>，/COMMACATEGORY 我国/Nc<br>当前/Nd 急务/Na 是/SHI 重组/Nv<br><b>工资/Na</b> 结构/Na 。/PERIODCATEGORY<br>他/Nh 说/VE ，/COMMACATEGORY<br>工资/Na 改革/VC 是/SHI 一/Neu<br>帖/Nf","SG"
"工资/Na/XIN_CMN_20001218_wpr/59220",0.0091234459590755,-0.0223015818650984,"工资","XIN","2000","虽然/Cbb 失业率/Na 居高不下/VH<br>,/COMMACATEGORY 但是/Cbb<br>今年/Nd 拉美/Nc 地区/Nc 的/DE<br>平均/VH <b>工资/Na</b> 增加/VHC<br>了/Di 1.2/Neu %/Nf ,/COMMACATEGORY<br>其中/Nep 最/Dfa 低/VH 工资/Na<br>增加/VHC","ML"
"工资/Na/XIN_CMN_20010123_wpr/40555",0.00229575380070887,0.0344537263790785,"工资","XIN","2001","的/DE 工资/Na 就/D 能/D 买/VC<br>过去/VH 一/Neu 个/Nf 月/Na<br>的/DE <b>工资/Na</b> 才能/Na<br>买/VC 的/DE 花/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>随后/Nd 刘/Nb 先生/Na 给/VD","ML"
"工资/Na/XIN_CMN_20030923_wpr/14159",-0.15920056342038,0.0814666031065701,"工资","XIN","2003","、/PAUSECATEGORY 《/PARENTHESISCATEGORY<br>上海/Nc 合作/Nv 组织/Na 常设/A<br>机构/Na 编内/Nb 工作/Na 人员/Na<br><b>工资/Na</b> 、/PAUSECATEGORY<br>保障/Nv 和/Caa 补贴/Na 条例/Na<br>》/PARENTHESISCATEGORY<br>和/Caa 《/PARENTHESISCATEGORY<br>上海/Nc 合作/Nv","ML"
"工资/Na/ZBN_CMN_20030609_wpr/76887",-0.0424093330804859,-0.0734298913625075,"工资","ZBN","2003","下/Ncd 运作/VA 。/PERIODCATEGORY<br>即使/Cbb 在/P 同/Nes 一/Neu<br>个/Nf 行业/Na ，/COMMACATEGORY<br><b>工资/Na</b> 成本/Na 也/D<br>可能/D 具备/VJ 不同/Na 的/DE<br>形式/Na 。/PERIODCATEGORY<br>因此/Cbb ，/COMMACATEGORY","SG"
"工资/Na/XIN_CMN_20030916_wpr/17063",0.0176323299370284,0.153968777166514,"工资","XIN","2003","并/Cbb 要求/Na 公司/Nc 支付/Nv<br>他/Nh 约/Da 25.43/Neu 万/Neu<br>日元/Nf 的/DE <b>工资/Na</b><br>。/PERIODCATEGORY 后来/Nd<br>,/COMMACATEGORY 他/Nh<br>释放/VC 了/Di 除/P 分公司/Nc<br>经理/Na 以外/Ng","ML"
"工资/Na/CNA_CMN_20001126_wpr/36719",0.00221375254971191,-0.439184075744688,"工资","CNA","2000",",/COMMACATEGORY 更/Dfa<br>是/SHI 频频/VH 表达/VC 意见/Na<br>,/COMMACATEGORY 如/P 东南/Ncd<br>亚/Nc <b>工资/Na</b> 水准/Na<br>为/P 台湾/Nc 八分之一/Neqa ,/COMMACATEGORY<br>大陆/Nc 为/VG 十五分之一/Neqa<br>等/Cab ,/COMMACATEGORY","TW"
