"id","x","y","variant","corpus","year","text","lect"
"轨道/Na/XIN_CMN_20030618_wpr/52246",-0.0257168314198362,-0.0732733973502965,"轨道","XIN","2003","坠毁 。 此次 美国 宇航局 将 安排 宇航员<br>在 太空 <b>轨道</b> 上 , 对<br>航天飞机 外部 在 发 射过 程 中","ML"
"道路/Na/ZBN_CMN_20001230_wpr/9875",-0.00522172605213388,-0.107303581041944,"道路","ZBN","2000","新 的 电脑 制度 ， 让 会员 通过 电脑<br>提出 <b>道路</b> 挖掘 工程 的<br>申请 。 这样一来 ， 既 可 减少","SG"
"路线/Na/XIN_CMN_20001218_wpr/78567",0.0103353986472052,0.0418041635165903,"路线","XIN","2000","对号 入座 ” 的 基础 上 , 坚持 走<br>群众 <b>路线</b> , 开门 搞 “<br>三讲 ” , 通过 走出去 搞","ML"
"道路/Na/XIN_CMN_20030416_wpr/21192",0.014782441466226,-0.0637077818151176,"道路","XIN","2003","加强 对 交通 系统 广大 干部 职工 特别<br>是 从事 <b>道路</b> 、 水路 客运<br>生产 一 线 的 工作 人员 进行","ML"
"途径/Na/CNA_CMN_20010131_wpr/74402",-0.0497660732465342,-0.0587322721364077,"途径","CNA","2001","不过 , 杜马 指引 他 另 一 条 可行<br>的 <b>途径</b> 。 据 谢聪敏 表<br>示 , 杜马 认为 可以 由","TW"
"路线/Na/ZBN_CMN_20001001_wpr/8689",0.00521465430073626,0.184395575526961,"路线","ZBN","2000","他 也 在 仪式 上 颁发 奖项 给 “<br>最佳 <b>路线</b> 竞赛 ” 的 优胜<br>队伍 。 在 长达 1 年","SG"
"路线/Na/ZBN_CMN_20030522_wpr/3113",0.0293991956667102,-0.031184234625965,"路线","ZBN","2003","影响 。 而 我们 也 会 经常 检讨 各<br>条 <b>路线</b> 的 行车 时间 及<br>川行 状况 ， 以 在 必要","SG"
"轨道/Na/XIN_CMN_20001023_wpr/70589",0.0163347511119673,-0.0298275146466459,"轨道","XIN","2000","公里 的 京秦 铁路 改 造 工程 和 上海<br>城市 <b>轨道</b> 交通 工程 方案<br>中 标的 单位 和 个人 , 拿出","ML"
"轨道/Na/ZBN_CMN_20030902_wpr/42729",-0.0543065696104922,-0.111209490610804,"轨道","ZBN","2003","太空梭 2月 1日 出事 之前 ， 宣布<br>了 有关 的 <b>轨道</b> 太空机<br>计划 。 哥伦比亚号 惨案 进一步 推动<br>宇航局 寻找 更","SG"
"轨道/Na/CNA_CMN_20010126_wpr/31869",0.0572805961655179,0.0128242887498277,"轨道","CNA","2001","在 屋顶 上 的 碟型 天线 接收 由 绕行<br>地球 <b>轨道</b> 卫星 发送 的<br>节目 , 在 机 上 盒 插入","TW"
"路线/Na/CNA_CMN_20001201_wpr/119219",0.0487405600460008,-0.0423811020215648,"路线","CNA","2000","规划 三 条 通往 捷运 昆阳 站 的 接驳<br>公车 <b>路线</b> , 将 于 昆阳<br>段 通车日 起 开始 营运 。","TW"
