"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"妻子/Na/CNA_CMN_20001122_wpr/166422",-0.0933722677484339,0.241243713315169,"妻子","CNA","2000","官员/Na 为/VG 媒体/Na 指称/VE/1.399<br>某/Nes 投资/Na 公司/Nc 股东/Na<br>朱明/Nb/6.776 的/DE <b>妻子/Na</b><br>,/COMMACATEGORY 报导/Nv/1.940<br>与/Caa/1.205 事/Na 实/D<br>不符/VJ 。/PERIODCATEGORY<br>891122/Neu 歌手/Na 孙燕/Nb","官员/Na 为/VG 媒体/Na 指称/VE/1.399<br>某/Nes 投资/Na 公司/Nc 股东/Na<br>朱明/Nb/6.776 的/DE <b>妻子/Na</b><br>,/COMMACATEGORY 报导/Nv/1.940<br>与/Caa/1.205 事/Na 实/D<br>不符/VJ 。/PERIODCATEGORY<br>891122/Neu 歌手/Na 孙燕/Nb","TW"
"老婆/Na/ZBN_CMN_20030515_wpr/42377",-0.0499171796216906,-0.0913410277002718,"老婆","ZBN","2003","吃/VC/1.284 他们/Nh 的/DE<br>饭/Na ，/COMMACATEGORY<br>讨/VD/3.285 了/Di 一/Neu<br>个/Nf/1.202 德国/Na <b>老婆/Na</b><br>，/COMMACATEGORY 而是/Cbb/1.801<br>那里/D/3.032 确实/D 有/V_2<br>让/VL 人/Na 尊敬/Nv 和/Caa<br>佩服/Nv","吃/VC/1.284 他们/Nh 的/DE<br>饭/Na ，/COMMACATEGORY<br>讨/VD/3.285 了/Di 一/Neu<br>个/Nf/1.202 德国/Na <b>老婆/Na</b><br>，/COMMACATEGORY 而是/Cbb/1.801<br>那里/D/3.032 确实/D 有/V_2<br>让/VL 人/Na 尊敬/Nv 和/Caa<br>佩服/Nv","SG"
"太太/Na/ZBN_CMN_20001119_wpr/8118",-0.0236274998162905,0.00567626676299554,"太太","ZBN","2000","在/P 受访/VC/2.216 时/Ng<br>说/VE/1.309 ，/COMMACATEGORY<br>十多/Neu 年前/Nd/1.546 当/P/1.472<br>他/Nh/1.777 到/P <b>太太/Na</b><br>位于/VCL 泰国/Nc 东北部/Ncd<br>一/Neu 个/Nf 称为/VG 春佩/Nb<br>（/PARENTHESISCATEGORY/1.018<br>Chum/FW Phae/FW","在/P 受访/VC/2.216 时/Ng<br>说/VE/1.309 ，/COMMACATEGORY<br>十多/Neu 年前/Nd/1.546 当/P/1.472<br>他/Nh/1.777 到/P <b>太太/Na</b><br>位于/VCL 泰国/Nc 东北部/Ncd<br>一/Neu 个/Nf 称为/VG 春佩/Nb<br>（/PARENTHESISCATEGORY/1.018<br>Chum/FW Phae/FW","SG"
"妻子/Na/ZBN_CMN_20030822_wpr/21312",0.148894665037088,-0.00751273562154019,"妻子","ZBN","2003","处理/VC 离婚/VA/4.663 时/Ng<br>，/COMMACATEGORY 在/VCP<br>法庭/Nc 内堂/Nc/4.697 放肆/VH/3.832<br>，/COMMACATEGORY 拳打/Na/4.830<br><b>妻子/Na</b> 的/DE 律师/Na/1.342<br>哈/D/1.424 莉/Nb/3.499<br>佳/VH ，/COMMACATEGORY<br>触犯/VJ 了/Di 刑事/Na 法典/Na","处理/VC 离婚/VA/4.663 时/Ng<br>，/COMMACATEGORY 在/VCP<br>法庭/Nc 内堂/Nc/4.697 放肆/VH/3.832<br>，/COMMACATEGORY 拳打/Na/4.830<br><b>妻子/Na</b> 的/DE 律师/Na/1.342<br>哈/D/1.424 莉/Nb/3.499<br>佳/VH ，/COMMACATEGORY<br>触犯/VJ 了/Di 刑事/Na 法典/Na","SG"
"妻子/Na/XIN_CMN_20001230_wpr/12970",0.0309079375647758,-0.0108755684478123,"妻子","XIN","2000","脑力/Na 鏖战/VA 30多/Neu 个/Nf<br>小时/Na ,/COMMACATEGORY<br>又/D 不能/D 睡觉/VA/2.161<br>,/COMMACATEGORY <b>妻子/Na</b><br>的/DE 担心/Nv/1.555 不无/VJ/2.625<br>道理/Na 。/PERIODCATEGORY<br>潘晓洁/Nb/5.390 知道/VK/1.277<br>丈夫/Na/4.298 是/SHI 个/Nf","脑力/Na 鏖战/VA 30多/Neu 个/Nf<br>小时/Na ,/COMMACATEGORY<br>又/D 不能/D 睡觉/VA/2.161<br>,/COMMACATEGORY <b>妻子/Na</b><br>的/DE 担心/Nv/1.555 不无/VJ/2.625<br>道理/Na 。/PERIODCATEGORY<br>潘晓洁/Nb/5.390 知道/VK/1.277<br>丈夫/Na/4.298 是/SHI 个/Nf","ML"
"太太/Na/ZBN_CMN_20030512_wpr/21725",0.00522511641875646,-0.047021383512883,"太太","ZBN","2003","金/Nb 海岸/Nc 酒店/Nc 借酒浇愁/VA<br>，/COMMACATEGORY 也/D 不/D<br>愿/VK 回家/VA/3.115 与/Caa<br><b>太太/Na</b> 和/Caa 孩子/Na/2.420<br>聚/VA/1.753 天伦/Na/3.280<br>。/PERIODCATEGORY 罗嘉良/Nb/4.181<br>长途跋涉/VA 也/D 要/D 见/VE/1.755","金/Nb 海岸/Nc 酒店/Nc 借酒浇愁/VA<br>，/COMMACATEGORY 也/D 不/D<br>愿/VK 回家/VA/3.115 与/Caa<br><b>太太/Na</b> 和/Caa 孩子/Na/2.420<br>聚/VA/1.753 天伦/Na/3.280<br>。/PERIODCATEGORY 罗嘉良/Nb/4.181<br>长途跋涉/VA 也/D 要/D 见/VE/1.755","SG"
"太太/Na/ZBN_CMN_20030615_wpr/53920",-0.00570312070771266,-0.0564927654438658,"太太","ZBN","2003","居然/D 是/SHI 一/Neu 条/Nf<br>狗/Na ……/ETCCATEGORY 萧君/Nb/6.999<br>赶着/D/3.685 去/D/1.162<br>接/VC <b>太太/Na</b> 下班/VA/2.231<br>，/COMMACATEGORY 刘/Nb/3.541<br>小姐/Na/2.842 要/D 带/VC/2.371<br>猫儿/Na 节育/VA ，/COMMACATEGORY<br>大家/Nh","居然/D 是/SHI 一/Neu 条/Nf<br>狗/Na ……/ETCCATEGORY 萧君/Nb/6.999<br>赶着/D/3.685 去/D/1.162<br>接/VC <b>太太/Na</b> 下班/VA/2.231<br>，/COMMACATEGORY 刘/Nb/3.541<br>小姐/Na/2.842 要/D 带/VC/2.371<br>猫儿/Na 节育/VA ，/COMMACATEGORY<br>大家/Nh","SG"
"太太/Na/ZBN_CMN_20030921_wpr/23022",0.00816843313763064,-0.0117693828032775,"太太","ZBN","2003","赌博/VA ，/COMMACATEGORY<br>抽烟/VA 他/Nh/1.777 样样/Neqa<br>行/Nf ，/COMMACATEGORY<br>幸好/D/2.591 在/P 和/P/1.406<br><b>太太/Na</b> 结婚/VA/2.610<br>后/Ng 、/PAUSECATEGORY<br>当/VG 太太/Na/3.987 有/V_2<br>了/Di 身孕/Na/4.775 时/Ng<br>，/COMMACATEGORY","赌博/VA ，/COMMACATEGORY<br>抽烟/VA 他/Nh/1.777 样样/Neqa<br>行/Nf ，/COMMACATEGORY<br>幸好/D/2.591 在/P 和/P/1.406<br><b>太太/Na</b> 结婚/VA/2.610<br>后/Ng 、/PAUSECATEGORY<br>当/VG 太太/Na/3.987 有/V_2<br>了/Di 身孕/Na/4.775 时/Ng<br>，/COMMACATEGORY","SG"
"妻子/Na/CNA_CMN_20010119_wpr/78351",0.0371418829988354,-0.0114150785027808,"妻子","CNA","2001","绯闻案/Na 中/Ng 扮演/VC 和事佬/Na<br>的/DE 角色/Na 。/PERIODCATEGORY<br>当/VG/1.136 柯林顿/Nb 向/P<br><b>妻子/Na</b> 希拉蕊/Nb/3.186<br>与/Caa/1.205 女儿/Na/3.791<br>雀儿喜/Nb/5.598 承认/VE 绯闻/Na<br>事件/Na 时/Ng ,/COMMACATEGORY<br>贾克逊/Nb","绯闻案/Na 中/Ng 扮演/VC 和事佬/Na<br>的/DE 角色/Na 。/PERIODCATEGORY<br>当/VG/1.136 柯林顿/Nb 向/P<br><b>妻子/Na</b> 希拉蕊/Nb/3.186<br>与/Caa/1.205 女儿/Na/3.791<br>雀儿喜/Nb/5.598 承认/VE 绯闻/Na<br>事件/Na 时/Ng ,/COMMACATEGORY<br>贾克逊/Nb","TW"
"太太/Na/ZBN_CMN_20030913_wpr/20449",-0.0366815955216282,-0.0125396371302422,"太太","ZBN","2003","有/V_2 一/Neu 回/Nf 向/P<br>她/Nh/1.479 倾/VC 诉说/VE/3.097<br>，/COMMACATEGORY 他/Nh/1.777<br>的/DE <b>太太/Na</b> 病倒/VH/3.034<br>了/T ，/COMMACATEGORY 经济/Na<br>状况/Na 出现/Nv 了/Di 问题/Na<br>，/COMMACATEGORY 热心/VJ","有/V_2 一/Neu 回/Nf 向/P<br>她/Nh/1.479 倾/VC 诉说/VE/3.097<br>，/COMMACATEGORY 他/Nh/1.777<br>的/DE <b>太太/Na</b> 病倒/VH/3.034<br>了/T ，/COMMACATEGORY 经济/Na<br>状况/Na 出现/Nv 了/Di 问题/Na<br>，/COMMACATEGORY 热心/VJ","SG"
