"x","y"
"最近/Nd/CNA_CMN_20001213_wpr/122897",-0.0237888288647634,-0.00259185322978526
"未来/Nd/ZBN_CMN_20010109_wpr/30536",0.0494496639153612,-0.000126876153711084
"今后/Nd/XIN_CMN_20010113_wpr/45698",0.0354396129326418,0.00984097861961672
"未来/Nd/XIN_CMN_20001103_wpr/52494",0.0664773557834614,-0.00566551978226229
"最近/Nd/XIN_CMN_20030718_wpr/35999",-0.0669380156226664,-0.0214002104523705
"今后/Nd/XIN_CMN_20030830_wpr/46012",0.0174998755369582,0.00241401077483558
"今后/Nd/ZBN_CMN_20030611_wpr/43131",-0.0257137332191448,-0.0176161318402727
"将来/Nd/ZBN_CMN_20030902_wpr/42051",-0.078378722335156,-0.0398121970626601
"最近/Nd/XIN_CMN_20001220_wpr/35702",-0.0406471372055672,-0.0176090290437414
"将来/Nd/ZBN_CMN_20030612_wpr/6741",-0.0479146271355017,-0.0469371772115176
"今后/Nd/CNA_CMN_20001231_wpr/57314",0.0152110521206997,-0.0095121718688832
"未来/Nd/CNA_CMN_20010109_wpr/93641",0.104807475644219,-0.0775125736824894
"未来/Nd/XIN_CMN_20030626_wpr/42392",0.015320968265719,0.0302659614915748
"今后/Nd/XIN_CMN_20030829_wpr/23348",0.0444770955643612,-0.120303323303963
"未来/Nd/CNA_CMN_20001013_wpr/14705",0.0199219308760299,0.000571783310131355
"今后/Nd/XIN_CMN_20030813_wpr/51133",-0.0169900162833324,0.0202381974339199
"将来/Nd/ZBN_CMN_20001129_wpr/15183",-0.0496263486839293,-0.106962952186209
"今后/Nd/XIN_CMN_20030617_wpr/59671",0.040803557665076,-0.00411369719935189
"未来/Nd/ZBN_CMN_20010127_wpr/32892",0.0238074487290831,-0.0886929549133418
"今后/Nd/ZBN_CMN_20030712_wpr/31367",0.0236753023484916,0.0100658914041404
"未来/Nd/XIN_CMN_20030408_wpr/75046",-0.00179780674891069,0.17186758164535
"未来/Nd/XIN_CMN_20001222_wpr/26066",-0.0239887946658354,0.05033636857549
"未来/Nd/XIN_CMN_20030702_wpr/31642",0.0337225925801303,0.0135951246098652
"最近/Nd/XIN_CMN_20030704_wpr/42481",-0.192481460703874,0.26975994599857
"最近/Nd/CNA_CMN_20001115_wpr/22050",-0.0613198318843471,0.0776022287885361
"未来/Nd/CNA_CMN_20001220_wpr/123512",-0.0208485259397205,-0.0087918986311165
"未来/Nd/CNA_CMN_20010125_wpr/14434",0.156898502937334,-0.0124888215289056
"未来/Nd/CNA_CMN_20001028_wpr/81988",0.128893744046554,0.115700309583191
"未来/Nd/CNA_CMN_20001015_wpr/67133",0.00326325255654331,0.0255283985395243
"未来/Nd/CNA_CMN_20001016_wpr/13888",-0.00655458086608559,-0.0860344927896696
"未来/Nd/ZBN_CMN_20001008_wpr/7468",0.00176966679886335,-0.0184368847971234
"将来/Nd/CNA_CMN_20001021_wpr/103565",0.248143914694778,0.167261538411031
"未来/Nd/CNA_CMN_20001201_wpr/128279",-0.0239467165233189,-0.0315413746548998
"最近/Nd/ZBN_CMN_20010121_wpr/15796",-0.0869837982943501,0.0229757086458775
"未来/Nd/XIN_CMN_20030512_wpr/80503",0.0247367164825184,0.0217577124059725
"未来/Nd/CNA_CMN_20001116_wpr/42049",0.0282375082281547,0.0211557429740118
"今后/Nd/XIN_CMN_20001229_wpr/4193",0.0140416098016752,0.0134260841586702
"最近/Nd/ZBN_CMN_20030428_wpr/33335",0.0958627412865158,-0.150618906201031
"未来/Nd/CNA_CMN_20001212_wpr/50541",0.0628878009941025,-0.0186168278139051
"今后/Nd/ZBN_CMN_20030508_wpr/64880",-0.0208344013686751,-0.0129911389638497
"未来/Nd/CNA_CMN_20030510_wpr/12898",-0.00397150788224469,-0.0110385462246693
"未来/Nd/ZBN_CMN_20030616_wpr/60085",-0.019934273228812,-0.0278936926334664
"最近/Nd/ZBN_CMN_20030402_wpr/23437",-0.0828235969704752,-0.059629558483985
"未来/Nd/CNA_CMN_20001130_wpr/65167",-0.00128302765300329,-0.0120726190438815
"未来/Nd/CNA_CMN_20001220_wpr/69368",0.11931201439593,0.0251143960318986
"未来/Nd/CNA_CMN_20001116_wpr/80342",-0.00669986307249885,0.0171912391049832
