,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
任意球/N/XIN_CMN_20020311_wpr/17324,任意球/N/XIN_CMN_20020311_wpr/17324,任意球,XIN,Mainland,quality,裁判/N;裁判/N;时/N,"""<small>强调 的 犯规 动作 , 并 录 分析 球员 旨</small> 欺骗 <u>裁判</u><sup>3.459</sup> 的 假 摔 及 拽 球衣 , 发 <span class='target'>任意球</span> <u>时</u><sup>1.807</sup> 拖延 时间 等 行为 , 提高 <u>裁判</u><sup>3.459</sup> 的 执法 <small>水平 。 韩国 加强 世界杯赛场 的 防空网 新华社 汉城 3月</small>""",6.94419370847699,1.65016403333298,NA,NA
任意球/N/XIN_CMN_20030713_wpr/27184,任意球/N/XIN_CMN_20030713_wpr/27184,任意球,XIN,Mainland,quality,钟/N;罚出/V;前/N;国力队/N;场/N;脱手/N;插上/V;门将/N;对方/N;补/V,"""<small>下 半 时 , 卡洛斯 教练 调整 了 阵容 。</small> 不甘 落后 的 <u>国力队</u><sup>4.772</sup> 第六十二 分 <u>钟</u><sup>3.894</sup> <u>罚出</u><sup>7.898</sup> <u>前</u><sup>2.638</sup> <u>场</u><sup>3.027</sup> <span class='target'>任意球</span> , <u>对方</u><sup>4.876</sup> <u>门将</u><sup>5.051</sup> 邓小飞 扑球 <u>脱手</u><sup>5.725</sup> , 朱永胜 <u>插上</u><sup>4.614</sup> <u>补</u><sup>2.636</sup> <small>射入 网 , 分 改写为 2 : 2 。 这时</small>""",-1.63184764477726,3.17581333824682,NA,NA
任意球/N/XIN_CMN_19920504_wpr/41609,任意球/N/XIN_CMN_19920504_wpr/41609,任意球,XIN,Mainland,quality,获/V;下/N;半/N;次/N;前/N;禁区/N;场/N;队/N;击出/V;上海队/N;门将/N;一/N;次/N;机会/N,"""<small>次 机会 , 但 球 北京队 守门员 接住 。 北京队</small> <u>下</u><sup>1.059</sup> <u>半</u><sup>2.172</sup> <u>场</u><sup>3.027</sup> 上海 <u>队</u><sup>2.985</sup> <u>禁区</u><sup>6.345</sup> <u>前</u><sup>2.638</sup> <u>获</u><sup>2.199</sup> 两 <u>次</u><sup>1.979</sup> <span class='target'>任意球</span> <u>机会</u><sup>4.206</sup> , 但 <u>一</u><sup>1.482</sup> <u>次</u><sup>1.979</sup> 直射 <u>上海队</u><sup>3.515</sup> <u>门将</u><sup>5.051</sup> 蔡建林 <u>击出</u><sup>2.073</sup> <small>, 一 次 球踢偏 。 北 京 队 “ 快马</small>""",1.65134315599811,-3.66588139641072,NA,NA
自由球/N/CNA_CMN_20020629_wpr/124003,自由球/N/CNA_CMN_20020629_wpr/124003,自由球,CNA,Taiwan,quality,造成/V;钟/N;犯规/V;直接/V;土耳其/N;罚踢/N;禁区/N;边缘/N;获得/N;土耳其/N;机会/N;飞/V,"""<small>一 球 后 , 展开 大 反攻 , 第九 分</small> <u>钟</u><sup>3.562</sup> <u>禁区</u><sup>5.831</sup> <u>边缘</u><sup>4.747</sup> <u>造成</u><sup>1.474</sup> <u>土耳其</u><sup>3.028</sup> <u>犯规</u><sup>6.552</sup> , <u>获得</u><sup>2.867</sup> <u>罚踢</u><sup>10.528</sup> <u>直接</u><sup>3.498</sup> <span class='target'>自由球</span> 的 <u>机会</u><sup>3.093</sup> , 李乙容主踢 , <u>飞</u><sup>3.096</sup> 火 流星 绕过 <u>土耳其</u><sup>3.028</sup> <small>球员 部署 门 前 的 一 道 人墙 , 直接</small>""",1.24389192180196,6.61838292264187,NA,NA
任意球/N/XIN_CMN_20020402_wpr/38292,任意球/N/XIN_CMN_20020402_wpr/38292,任意球,XIN,Mainland,quality,开出/V;门/N;前/N;禁区/N;球/N;获得/N;8/N;号/N;0/N;4/N;机会/N,"""<small>分钟 , 山西队 守门员 犯下 低级 错 误 , 持</small> <u>球</u><sup>4.787</sup> 跑出 <u>禁区</u><sup>6.345</sup> 才 <u>开出</u><sup>4.524</sup> , 湖北 <u>获得</u><sup>2.494</sup> <u>门</u><sup>3.563</sup> <u>前</u><sup>2.638</sup> <span class='target'>任意球</span> <u>机会</u><sup>4.206</sup> , <u>8</u><sup>1.557</sup> <u>号</u><sup>3.206</sup> 文婷 而 , <u>4</u><sup>1.41</sup> : <u>0</u><sup>2.071</sup> <small>。 下 半 时 , 山西队 加强 了 拼抢 ,</small>""",0.74596370733038,3.74259342368063,NA,NA
任意球/N/XIN_CMN_19950518_wpr/3417,任意球/N/XIN_CMN_19950518_wpr/3417,任意球,XIN,Mainland,quality,分钟/N;时/N;附近/N;一/N;次/N;获得/V;门/N;槌/N;获/V;成功/V;前头/N;机会/N,"""<small>线站位过平 , 盯 人不 紧 。 当 比赛 进行到 第六十</small> 五 <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , 阿森纳队 角球区 <u>附近</u><sup>1.771</sup> <u>获得</u><sup>3.084</sup> <u>一</u><sup>1.482</sup> <u>次</u><sup>1.979</sup> <span class='target'>任意球</span> <u>机会</u><sup>4.206</sup> , 金沃姆亚 <u>门</u><sup>3.563</sup> <u>前头</u><sup>5.944</sup> <u>槌</u><sup>5.785</sup> , <u>获</u><sup>2.199</sup> <u>成功</u><sup>1.385</sup> 。 <small>天津队 全 场 比赛 中 由于 失去 中场 , 多次</small>""",2.17040409152856,-0.037509771419427,NA,NA
任意球/N/XIN_CMN_20040730_wpr/54371,任意球/N/XIN_CMN_20040730_wpr/54371,任意球,XIN,Mainland,quality,克/V;直接/V;一/N;前锋/N;脚/N;乌兹别克/N;大门/N;分钟/N;攻破/V;施/V,"""<small>领先 。 全 场 第一 个 进球 出现 第59 分钟</small> , <u>乌兹别克</u><sup>2.199</sup> 斯坦 <u>前锋</u><sup>4.394</sup> 格 里 <u>克</u><sup>1.256</sup> <u>一</u><sup>1.482</sup> <u>脚</u><sup>4.883</sup> <u>直接</u><sup>3.99</sup> <span class='target'>任意球</span> , <u>攻破</u><sup>5.757</sup> 了 巴林 <u>大门</u><sup>4.491</sup> 。 第86 <u>分钟</u><sup>5.116</sup> , <u>施</u><sup>1.604</sup> <small>谢罗夫 与 队友 前 场 做 了 一 个 配合</small>""",-1.19288691619788,1.89670713380103,NA,NA
自由球/N/CNA_CMN_19980624_wpr/1419,自由球/N/CNA_CMN_19980624_wpr/1419,自由球,CNA,Taiwan,quality,码/N;时/N;犯规/V;二/N;主罚/V;时/N;中场/N;踢出/V;左脚/N,"""<small>中场 智队 死守 。 上 半 场 二十一 分钟 之</small> <u>时</u><sup>1.87</sup> , 喀麦隆 <u>犯规</u><sup>6.552</sup> , 智利 获判 <u>二</u><sup>1.584</sup> 十 <u>码</u><sup>6.425</sup> <span class='target'>自由球</span> , 智队 <u>中场</u><sup>5.897</sup> 席耶拉 操刀 <u>主罚</u><sup>7.252</sup> <u>时</u><sup>1.87</sup> 起 <u>左脚</u><sup>7.136</sup> <u>踢出</u><sup>6.816</sup> <small>强 劲 香蕉球 , 直接 攻门 , 球 应声 挂网</small>""",-4.42176566992702,3.38478450555736,5,in
自由球/N/CNA_CMN_20020612_wpr/103646,自由球/N/CNA_CMN_20020612_wpr/103646,自由球,CNA,Taiwan,quality,瑞典队/N;分钟/N;开赛/N;主罚/V;之后/N;瑞典队/N;分钟/N;时/N;阿根廷队/N;进网/N;领先/V,"""<small>但 错 过多 次 进球 机会 , 下 半 场</small> <u>开赛</u><sup>3.811</sup> 十四 <u>分钟</u><sup>4.59</sup> <u>之后</u><sup>1.767</sup> , <u>瑞典队</u><sup>4.676</sup> 安德 . 史文森 <u>主罚</u><sup>7.252</sup> <span class='target'>自由球</span> <u>进网</u><sup>7.951</sup> , <u>瑞典队</u><sup>4.676</sup> <u>领先</u><sup>3.701</sup> 。 第八十七 <u>分钟</u><sup>4.59</sup> <u>时</u><sup>1.87</sup> , <u>阿根廷队</u><sup>4.671</sup> <small>奥蒂 加 主罚 十二码球 , 瑞典队 守门 海德曼 扑 球</small>""",0.105555969111323,-3.97487697957264,NA,NA
任意球/N/XIN_CMN_20040410_wpr/16816,任意球/N/XIN_CMN_20040410_wpr/16816,任意球,XIN,Mainland,quality,分钟/N;队员/N;第五十七/N;时/N;后卫/N;获得/N;祁宏/N;一/N;记/N;右脚/N;机会/N,"""<small>朱挺 罚球区 内 接 队友 传球 后 射门 , 国际队</small> <u>后卫</u><sup>4.704</sup> <u>队员</u><sup>3.252</sup> 破坏 。 <u>第五十七</u><sup>4.747</sup> <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , 国际队 <u>获得</u><sup>2.494</sup> <span class='target'>任意球</span> <u>机会</u><sup>4.206</sup> , <u>祁宏</u><sup>5.666</sup> 用 <u>右脚</u><sup>5.591</sup> 内侧 射出 <u>一</u><sup>1.482</sup> <u>记</u><sup>5.268</sup> 大 <small>弧线 的 低平 球 飞 球门 右下角 , 球 贴</small>""",-1.83866821550898,-2.0696128687169,NA,NA
