,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
守门员/N/XIN_CMN_19980217_wpr/42901,守门员/N/XIN_CMN_19980217_wpr/42901,守门员,XIN,Mainland,quality,最后/N;中国队/N;下/N;前/N;搏/V;换上/V;攻/V;反击/V;前锋/N;芬兰队/N;得手/V;打/V;进/V,"""<small>反 3 : 1 领先 。 第三 局 比赛 结</small> 束 <u>前</u><sup>1.41</sup> , <u>中国队</u><sup>3.073</sup> 作 <u>最后</u><sup>1.354</sup> <u>搏</u><sup>2.051</sup> , 撤 <u>下</u><sup>1.235</sup> <span class='target'>守门员</span> <u>换上</u><sup>3.169</sup> <u>前锋</u><sup>4.416</sup> , <u>进</u><sup>1.494</sup> <u>攻</u><sup>3.089</sup> 。 <u>芬兰队</u><sup>4.079</sup> <u>打</u><sup>2.248</sup> <u>反击</u><sup>3.779</sup> <u>得手</u><sup>3.594</sup> <small>, 球 射进 空门 , 比分 定格 4 : 1</small>""",0.169750080066278,1.08197819690541,NA,NA
守门员/N/XIN_CMN_19940610_wpr/22502,守门员/N/XIN_CMN_19940610_wpr/22502,守门员,XIN,Mainland,quality,美国队/N;・/F;教练/V;米卢/N;号/N;托尼/N;守门员/N;・/F;米奥拉/N;1/N,"""<small>资料 : 1994 世界杯 足球 赛 参赛队 名单 ( A组</small> ) <u>美国队</u><sup>3.2</sup> ( A1 ) <u>教练</u><sup>4.012</sup> 博拉 <u>.</u><sup>2.269</sup> <u>米卢</u><sup>3.105</sup> 廷诺维奇 <span class='target'>守门员</span> <u>1</u><sup>1.532</sup> <u>号</u><sup>3.048</sup> <u>托尼</u><sup>4.336</sup> <u>.</u><sup>2.269</sup> <u>米奥拉</u><sup>7.441</sup> <u>守门员</u><sup>6.119</sup> 18 <u>号</u><sup>3.048</sup> 布赖特 <u>.</u><sup>2.269</sup> <small>弗里德尔 守门员 12 号 于尔根 ・ 萨默 后卫 17 号</small>""",4.0158656872858,1.37907142148484,NA,NA
守门员/N/XIN_CMN_19990613_wpr/13550,守门员/N/XIN_CMN_19990613_wpr/13550,守门员,XIN,Mainland,quality,;但/C;教练/N,"""<small>中国 国奥队 守门员 教练 桑廷良 认为 , 凯利 的 理论</small> 他 很 有 启发 。 他 说 : “ 我们 <span class='target'>守门员</span> <u>教练</u><sup>3.358</sup> 摸索 一些 规律 性 的 东西 , <u>但</u><sup>1.099</sup> 他 <small>那样 上升 如此 简洁 而 实用 的 理论 高度 。</small>""",4.94988144585002,0.129378064362294,NA,NA
门将/N/CNA_CMN_20020628_wpr/86068,门将/N/CNA_CMN_20020628_wpr/86068,门将,CNA,Taiwan,quality,踢进/V;罗纳/N;世界盃/N;德国队/N;球/N;巴拉克/N;卡恩/N;中场/N,"""<small>包括 巴西队 的 卡洛斯 、 李瓦度 与 罗纳狄诺 与 本</small> 届 <u>世界盃</u><sup>2.202</sup> <u>踢进</u><sup>4.1</sup> 最多 <u>球</u><sup>4.436</sup> 的 <u>罗纳</u><sup>4.811</sup> 度 ; <u>德国队</u><sup>3.69</sup> <span class='target'>门将</span> <u>卡恩</u><sup>6.957</sup> 、 <u>中场</u><sup>5.012</sup> <u>巴拉克</u><sup>3.284</sup> 和 箭头 克罗斯 光荣 膺选 。 <small>二00二年 世界盃 明星 球队 全部 名单 如下 : 门将 :</small>""",2.71169763621983,-2.41911664768346,NA,NA
门将/N/XIN_CMN_20040710_wpr/9317,门将/N/XIN_CMN_20040710_wpr/9317,门将,XIN,Mainland,quality,保障部/N;,"""<small>, 劳动 和 社会 保障部 副部长 张小建 明确 要求 各</small> 项目 城市 和 在 省 ( 区 ) 劳动 <u>保障部</u><sup>3.96</sup> <span class='target'>门将</span> 这 一 项目 的 实施 纳入 当地 就业 再就业工 作 <small>总体 规划 。 了解 , 为 保证 项目 顺利 实施</small>""",-0.409277416979919,-7.10102564137669,NA,NA
守门员/N/XIN_CMN_19961026_wpr/13928,守门员/N/XIN_CMN_19961026_wpr/13928,守门员,XIN,Mainland,quality,连/V;过/D;带/V;面对/N;球/N;踢进/V;致胜/V;角度/N;球/N;劲射/V,"""<small>抽 射入 网 。 仅 过 1 0 分钟 ,</small> 庆 高中路 <u>带</u><sup>1.978</sup> <u>球</u><sup>4.774</sup> <u>连</u><sup>2.375</sup> <u>过</u><sup>1.135</sup> 数 人 , <u>面对</u><sup>3.165</sup> <span class='target'>守门员</span> 小 <u>角度</u><sup>2.827</sup> <u>劲射</u><sup>5.825</sup> , <u>踢进</u><sup>4.492</sup> <u>致胜</u><sup>3.218</sup> 的 一 <u>球</u><sup>4.774</sup> 。 <small>香港 吸烟 与 健康 国际 会议 呼吁 继续 加强 烟草</small>""",-3.09211373642031,1.96556281380997,NA,NA
门将/N/XIN_CMN_20030503_wpr/36353,门将/N/XIN_CMN_20030503_wpr/36353,门将,XIN,Mainland,quality,教育部/N;,"""<small>非典 ” 疫情 中小学校 的 影响 , 保障 北京市 137万</small> 中小学 生 的 身体 健康 。 放假 期间 , <u>教育部</u><sup>1.087</sup> <span class='target'>门将</span> 利用 各 种 媒体 , 5月 6日 起 开办 “ <small>空中课 堂 ” , 指导 和 推动 中小学 学生 家</small>""",-0.664997519896232,-7.35732506910768,NA,NA
守门员/N/XIN_CMN_19951112_wpr/11629,守门员/N/XIN_CMN_19951112_wpr/11629,守门员,XIN,Mainland,quality,国安/N;左/N;起脚/V;队/N;球/N;滚入/V;符宾/N;网/N;下/N;脚/N,"""<small>朝阳 手球 犯规 。 郝 海东主罚点球 , 他 左 虚晃一下</small> , <u>起脚</u><sup>6.28</sup> 轻推 , <u>球</u><sup>4.774</sup> <u>左</u><sup>3.008</sup> 扑地 的 <u>国安</u><sup>2.022</sup> <u>队</u><sup>3.015</sup> <span class='target'>守门员</span> <u>符宾</u><sup>7.087</sup> <u>脚</u><sup>4.345</sup> <u>下</u><sup>1.235</sup> <u>滚入</u><sup>6.663</sup> <u>网</u><sup>3.035</sup> 内 。 首都 举行 仪式 <small>纪念 孙中山 诞辰 129周年 新华社 北京 11月 12日电 ( 记者</small>""",-3.99710680163358,2.64646257192559,2,in
门将/N/CNA_CMN_20020627_wpr/172607,门将/N/CNA_CMN_20020627_wpr/172607,门将,CNA,Taiwan,quality,发/N;德国队/N;射出/V;Oliver/F;卡恩/N;Kahn/F,"""<small>巴西 ( 中央社 汉城 二十七 日 法新电 ) 在世 足</small> 决赛 开踢 前夕 , 第一 <u>发</u><sup>2.231</sup> 砲弹 <u>射出</u><sup>5.366</sup> , <u>德国队</u><sup>3.69</sup> <span class='target'>门将</span> <u>卡恩</u><sup>6.957</sup> ( <u>Oliver</u><sup>7.655</sup> <u>Kahn</u><sup>8.115</sup> ) 坚称 , 球场 效率 高 <small>但 缺乏 光芒 的 该 队 可以 爆冷踢败 看 好</small>""",3.12810161164219,-3.21470037324286,NA,NA
门将/N/CNA_CMN_20020612_wpr/105812,门将/N/CNA_CMN_20020612_wpr/105812,门将,CNA,Taiwan,quality,英格兰/N;自由球/N;突破/V;奈及利亚/N;开赛/N;指/V;前/N,"""<small>Okocha ) 在 上 半 场 一 记 精采 的</small> <u>自由球</u><sup>5.429</sup> 。 而 另一方面 , <u>英格兰</u><sup>3.049</sup> 发现 <u>突破</u><sup>1.234</sup> <u>奈及利亚</u><sup>2.218</sup> 年轻 <span class='target'>门将</span> 恩耶马 的 十 <u>指</u><sup>1.169</sup> 大关 , 恩耶马 <u>开赛</u><sup>1.924</sup> <u>前</u><sup>1.179</sup> 才 <small>意外 的 列 入 先发 名单 , 取代 老将 索鲁恩姆</small>""",2.15073955605927,-0.410101263639478,NA,NA
门将/N/CNA_CMN_20020629_wpr/51254,门将/N/CNA_CMN_20020629_wpr/51254,门将,CNA,Taiwan,quality,德国/N;卡恩/N;指/V,"""<small>德国 , 追平 义大利 一九三四 一九三八年 横跨 两 届 世界盃</small> 保持 的 七 连胜 纪录 。 <u>德国</u><sup>1.08</sup> 现在 希望 寄託 <span class='target'>门将</span> <u>卡恩</u><sup>6.957</sup> , 祈求 他 的 十 <u>指</u><sup>1.169</sup> 神功 , 封阻 <small>巴西 破门 。 而 这 没有 机会 , 因为 巴西</small>""",3.63534206116435,-3.00307931418501,NA,NA
守门员/N/XIN_CMN_20011128_wpr/49140,守门员/N/XIN_CMN_20011128_wpr/49140,守门员,XIN,Mainland,quality,国家队/N;主力/N;,"""<small>阶段 比赛 中 遇到 强队 , 但 分组 抽签 前</small> 感到 十分 焦急 。 杜德克 是 波兰 <u>国家队</u><sup>3.839</sup> 的 <u>主力</u><sup>3.38</sup> <span class='target'>守门员</span> , 他 接受 波通 社 记者 采访 时 表示 , <small>他 看好 西班牙 、 英格兰 、 阿根廷 和 法国 队</small>""",4.84030542207327,0.202086295377364,NA,NA
门将/N/CNA_CMN_19980922_wpr/53070,门将/N/CNA_CMN_19980922_wpr/53070,门将,CNA,Taiwan,quality,公安部/N;主/N,"""<small>。 现在 大陆 各 地 的 公安 全面 拘捕 中国</small> 民主党 筹委会成 员 , 做出 详细 调查 后 , <u>公安部</u><sup>3.473</sup> <span class='target'>门将</span> 中共 高层 汇总 报告 , 中国民 <u>主</u><sup>1.309</sup> 党 筹委会 成员 <small>做出 统一 行动 。 墨西哥 唿吁 各 国 一致 行动</small>""",-0.423399747393615,-6.79901732659142,NA,NA
